Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
1.00000000e-02, 5.33349487e-01, 2.21864570e-01, 7.55214057e-01, 1.55954801e+02, 4.28480112e+00, 6.54508270e+01
2.00000000e-02, 1.82258777e-01, 5.80658585e-01, 7.62917362e-01, 8.49892706e+02, 2.46220325e+00, 6.54508270e+01
3.00000000e-02, 1.38676278e-01, 6.45800878e-01, 7.84477156e-01, 9.75883398e+02, 2.35918970e+00, 6.54508270e+01
4.00000000e-02, 3.34485708e-01, 4.76278448e-01, 8.10764157e-01, 6.48012713e+02, 3.62022067e+00, 6.54508270e+01
5.00000000e-02, 5.16975594e-01, 3.24889420e-01, 8.41865014e-01, 3.55213557e+02, 4.67243500e+00, 6.54508270e+01
6.00000000e-02, 5.00511046e-01, 3.54291071e-01, 8.54802117e-01, 4.12078831e+02, 4.55053895e+00, 6.54508270e+01
7.00000000e-02, 4.24615578e-01, 4.45415947e-01, 8.70031526e-01, 5.88322032e+02, 3.97901053e+00, 6.54508270e+01
8.00000000e-02, 4.33281850e-01, 4.57574242e-01, 8.90856092e-01, 6.11837200e+02, 3.91208037e+00, 6.54508270e+01
9.00000000e-02, 5.12904200e-01, 4.03105243e-01, 9.16009444e-01, 5.06489560e+02, 4.41671426e+00, 6.54508270e+01
1.00000000e-01, 5.67879950e-01, 3.72550666e-01, 9.40430616e-01, 4.47394428e+02, 4.82576194e+00, 6.54508270e+01
1.10000000e-01, 5.40023466e-01, 4.22405123e-01, 9.62428589e-01, 5.43817157e+02, 4.66979035e+00, 6.54508270e+01
1.20000000e-01, 4.48888479e-01, 5.27310633e-01, 9.76199112e-01, 7.46713266e+02, 4.12491733e+00, 6.54508270e+01
1.30000000e-01, 4.05061581e-01, 5.82888428e-01, 9.87950009e-01, 8.54205412e+02, 3.90217436e+00, 6.54508270e+01
1.40000000e-01, 4.80258405e-01, 5.26167395e-01, 1.00642580e+00, 7.44502147e+02, 4.36634988e+00, 6.54508270e+01
1.50000000e-01, 5.99724117e-01, 4.32578909e-01, 1.03230303e+00, 5.63494116e+02, 5.14211426e+00, 6.54508270e+01
1.60000000e-01, 6.17679048e-01, 4.34453348e-01, 1.05213240e+00, 5.67119439e+02, 5.32817518e+00, 6.54508270e+01
1.70000000e-01, 5.36801495e-01, 5.25596961e-01, 1.06239846e+00, 7.43398880e+02, 4.85748697e+00, 6.54508270e+01
1.80000000e-01, 4.97031157e-01, 5.80581296e-01, 1.07761245e+00, 8.49743224e+02, 4.56017205e+00, 6.54508270e+01
1.90000000e-01, 5.27580734e-01, 5.67817868e-01, 1.09539860e+00, 8.25057677e+02, 4.72319108e+00, 6.54508270e+01
