Block size, s at T=500K, s at T=750K, s at T=1000K
2.05000000e+05, 3.69283421e+04, 1.27081411e+04, 5.25453213e+03
2.07500000e+05, 3.41010568e+04, 1.62560210e+04, 4.32732497e+03
2.10000000e+05, 3.61240608e+04, 1.69430534e+04, 4.50162238e+03
2.12500000e+05, 3.97399463e+04, 1.45502333e+04, 4.26338900e+03
2.15000000e+05, 4.00973767e+04, 1.55153956e+04, 3.87953725e+03
2.17500000e+05, 3.11217808e+04, 1.55940849e+04, 5.49435056e+03
2.20000000e+05, 3.37623378e+04, 1.49502435e+04, 4.58521021e+03
2.22500000e+05, 3.75340347e+04, 1.44222805e+04, 4.89851442e+03
2.25000000e+05, 3.73361141e+04, 1.48278456e+04, 5.04471587e+03
2.27500000e+05, 3.12585895e+04, 1.37059960e+04, 5.47030323e+03
2.30000000e+05, 3.90045213e+04, 1.07963442e+04, 5.79005545e+03
2.32500000e+05, 3.84737401e+04, 1.42889669e+04, 4.85670233e+03
2.35000000e+05, 3.43632068e+04, 1.62157501e+04, 4.95908172e+03
2.37500000e+05, 3.57728889e+04, 1.05126725e+04, 6.86717434e+03
2.40000000e+05, 3.45430978e+04, 1.02074100e+04, 5.52089376e+03
2.42500000e+05, 4.14218536e+04, 1.52240888e+04, 4.64265139e+03
2.45000000e+05, 3.50953061e+04, 1.49443643e+04, 4.69991429e+03
2.47500000e+05, 3.07051242e+04, 1.39647570e+04, 6.16806680e+03
2.50000000e+05, 3.86372645e+04, 1.10247266e+04, 6.05649928e+03
2.52500000e+05, 4.02065063e+04, 1.13862714e+04, 4.84586470e+03
2.55000000e+05, 3.96980719e+04, 1.35159745e+04, 5.75986061e+03
2.57500000e+05, 4.42865724e+04, 1.78287731e+04, 5.43391687e+03
2.60000000e+05, 4.16944322e+04, 1.41581153e+04, 4.78251337e+03
2.62500000e+05, 4.00280745e+04, 1.33965373e+04, 5.13643390e+03
2.65000000e+05, 3.77610894e+04, 1.01395924e+04, 4.28820114e+03
2.67500000e+05, 3.60569018e+04, 1.43220906e+04, 4.00658213e+03
2.70000000e+05, 4.07513889e+04, 2.04825927e+04, 5.80327476e+03
2.72500000e+05, 4.45535649e+04, 1.63624261e+04, 5.46882556e+03
2.75000000e+05, 4.02958422e+04, 1.14487556e+04, 6.61637761e+03
2.77500000e+05, 3.26073453e+04, 1.16185853e+04, 4.55916084e+03
2.80000000e+05, 3.47865978e+04, 1.41269859e+04, 5.84358538e+03
2.82500000e+05, 3.82616751e+04, 1.21899061e+04, 5.05119315e+03
2.85000000e+05, 3.69226111e+04, 1.32755954e+04, 5.64351921e+03
2.87500000e+05, 4.37152685e+04, 1.33857057e+04, 5.09855498e+03
2.90000000e+05, 4.30300758e+04, 1.16720373e+04, 5.84709207e+03
2.92500000e+05, 3.75185609e+04, 1.01268244e+04, 4.77989588e+03
2.95000000e+05, 3.64627917e+04, 1.14791578e+04, 4.85514771e+03
2.97500000e+05, 3.60472747e+04, 1.35934092e+04, 6.56592805e+03
3.00000000e+05, 3.55190048e+04, 1.55548102e+04, 5.53933688e+03
3.02500000e+05, 4.56820917e+04, 1.31798863e+04, 5.35250509e+03
3.05000000e+05, 4.19832000e+04, 1.21647482e+04, 4.01456340e+03
3.07500000e+05, 4.02984075e+04, 1.06896933e+04, 5.49997008e+03
3.10000000e+05, 3.40535995e+04, 1.34292037e+04, 5.53935719e+03
3.12500000e+05, 3.69003894e+04, 1.22028769e+04, 6.27369467e+03
3.15000000e+05, 3.92313026e+04, 1.40366252e+04, 5.65849015e+03
3.17500000e+05, 4.87393382e+04, 1.24884450e+04, 4.71266218e+03
3.20000000e+05, 4.01442294e+04, 1.28168328e+04, 3.60276773e+03
3.22500000e+05, 3.50360546e+04, 1.22665741e+04, 4.65147711e+03
3.25000000e+05, 3.81485065e+04, 1.58864965e+04, 5.13634385e+03
3.27500000e+05, 4.06250241e+04, 1.48462535e+04, 6.17968369e+03
3.30000000e+05, 4.22554252e+04, 1.17622040e+04, 7.81992734e+03
3.32500000e+05, 3.74233665e+04, 1.31439700e+04, 5.45936748e+03
3.35000000e+05, 3.35504036e+04, 1.28361690e+04, 4.74361004e+03
3.37500000e+05, 3.50650640e+04, 1.46528882e+04, 3.87599321e+03
3.40000000e+05, 4.32559698e+04, 1.19145117e+04, 4.40600278e+03
3.42500000e+05, 4.76195701e+04, 1.47401553e+04, 5.21293853e+03
3.45000000e+05, 4.49478114e+04, 1.52549198e+04, 6.73515059e+03
3.47500000e+05, 4.33339073e+04, 1.39043908e+04, 7.35831955e+03
3.50000000e+05, 4.24585128e+04, 1.33206971e+04, 6.50232641e+03
3.52500000e+05, 4.71602228e+04, 9.79427532e+03, 6.44088389e+03
3.55000000e+05, 4.64481739e+04, 8.50725022e+03, 5.51953188e+03
3.57500000e+05, 4.72491838e+04, 1.17183677e+04, 5.69928310e+03
3.60000000e+05, 3.87825756e+04, 1.39261442e+04, 6.18643029e+03
3.62500000e+05, 3.38656781e+04, 1.08665154e+04, 5.79777476e+03
3.65000000e+05, 2.94456767e+04, 1.10330334e+04, 5.58190477e+03
3.67500000e+05, 3.38591122e+04, 1.11359637e+04, 6.06915538e+03
3.70000000e+05, 3.69213455e+04, 1.24441815e+04, 5.71896495e+03
3.72500000e+05, 4.24458382e+04, 1.14672703e+04, 6.29027950e+03
3.75000000e+05, 4.50424442e+04, 1.46551637e+04, 5.96000462e+03
3.77500000e+05, 4.65273420e+04, 1.40195361e+04, 4.65639563e+03
3.80000000e+05, 4.53856885e+04, 1.08060097e+04, 4.54465131e+03
3.82500000e+05, 4.78669560e+04, 9.70234451e+03, 4.70657209e+03
3.85000000e+05, 5.48368204e+04, 1.27879850e+04, 4.58248461e+03
3.87500000e+05, 4.74153868e+04, 1.11948539e+04, 4.83694779e+03
3.90000000e+05, 3.95393556e+04, 9.96668411e+03, 5.25178462e+03
3.92500000e+05, 3.29714439e+04, 1.13877641e+04, 5.56416845e+03
3.95000000e+05, 3.16773891e+04, 1.22722899e+04, 4.50763458e+03
3.97500000e+05, 3.56083872e+04, 1.10626705e+04, 4.93280591e+03
4.00000000e+05, 3.78878119e+04, 1.14220053e+04, 5.13444221e+03
4.02500000e+05, 3.87897936e+04, 1.20483698e+04, 5.84974198e+03
4.05000000e+05, 3.98165513e+04, 1.32750339e+04, 6.04263356e+03
4.07500000e+05, 4.19661167e+04, 1.21122012e+04, 5.55954826e+03
4.10000000e+05, 4.11997961e+04, 1.19408448e+04, 5.85624875e+03
4.12500000e+05, 3.83877227e+04, 1.29587468e+04, 5.77290445e+03
4.15000000e+05, 3.84853291e+04, 1.16670170e+04, 4.42187653e+03
4.17500000e+05, 4.14340759e+04, 1.27213046e+04, 5.30220279e+03
4.20000000e+05, 4.16552129e+04, 1.37520861e+04, 4.73564262e+03
4.22500000e+05, 4.06640786e+04, 1.12654072e+04, 4.70235244e+03
4.25000000e+05, 3.86797832e+04, 1.16631716e+04, 4.94023504e+03
4.27500000e+05, 3.94805043e+04, 1.14682587e+04, 5.20038768e+03
4.30000000e+05, 4.11272367e+04, 8.27546117e+03, 4.50036524e+03
4.32500000e+05, 3.70930130e+04, 1.07673791e+04, 3.67807080e+03
4.35000000e+05, 3.57888484e+04, 1.03670186e+04, 5.76002408e+03
4.37500000e+05, 3.51218441e+04, 1.38908423e+04, 4.80457496e+03
4.40000000e+05, 3.88570131e+04, 1.78298371e+04, 4.41812800e+03
4.42500000e+05, 4.25363442e+04, 1.50984524e+04, 4.32254426e+03
4.45000000e+05, 4.26654777e+04, 1.31309357e+04, 4.53825101e+03
4.47500000e+05, 3.72482990e+04, 1.41623535e+04, 4.67360075e+03
4.50000000e+05, 3.27628793e+04, 1.23008845e+04, 4.51873545e+03
4.52500000e+05, 3.45536833e+04, 7.26541425e+03, 4.45046917e+03
4.55000000e+05, 3.08761825e+04, 8.86252888e+03, 4.89518993e+03
4.57500000e+05, 2.87998344e+04, 6.99649786e+03, 4.89306330e+03
4.60000000e+05, 3.20453077e+04, 6.77356867e+03, 5.65118508e+03
4.62500000e+05, 3.30390326e+04, 7.21251596e+03, 5.23165535e+03
4.65000000e+05, 3.82629087e+04, 8.29535589e+03, 5.36920935e+03
4.67500000e+05, 3.70505897e+04, 9.21335960e+03, 5.56804742e+03
4.70000000e+05, 4.50248985e+04, 1.08197462e+04, 5.99407112e+03
4.72500000e+05, 4.18124600e+04, 1.35375156e+04, 5.93160752e+03
4.75000000e+05, 4.42724768e+04, 1.15508161e+04, 6.10995057e+03
4.77500000e+05, 5.13739511e+04, 1.13356590e+04, 4.92689680e+03
4.80000000e+05, 4.92962722e+04, 1.25118051e+04, 4.40408283e+03
4.82500000e+05, 5.06402404e+04, 1.42205447e+04, 4.91985967e+03
4.85000000e+05, 4.97986662e+04, 1.39210683e+04, 3.72853433e+03
4.87500000e+05, 4.61089373e+04, 1.64318022e+04, 3.74413725e+03
4.90000000e+05, 4.30214221e+04, 1.62239810e+04, 4.09100901e+03
4.92500000e+05, 3.56656509e+04, 1.38124527e+04, 4.75698446e+03
4.95000000e+05, 3.52665979e+04, 1.10930763e+04, 5.26197854e+03
4.97500000e+05, 3.13183986e+04, 8.76445014e+03, 4.47830536e+03
5.00000000e+05, 2.97016411e+04, 9.16636413e+03, 4.81252579e+03 
