Relative error MAE,Relative error MAE + Energy,Relative error Brutus numerical,Relative error Brutus,x1,y1,x2,y2,x3,y3
0.1547870934009552,0.29321029782295227,0.0004572634643409401,6.399733416827843e-08,-0.003582233492911355,-0.5656286353537096,-0.5099785674261603,-0.135868885318072,0.5135608009190716,0.7014975206717815
0.14496153593063354,0.28552594780921936,0.0004995274357497692,6.399758418379862e-08,-0.002557734074722336,-0.5692875596865988,-0.5130785076641778,-0.1352879908126144,0.5156362417389002,0.7045755504992133
0.13518023490905762,0.19790145754814148,0.0012856791727244854,6.399782266014097e-08,-0.001556089019563753,-0.5729169974177551,-0.5161458512748225,-0.1347236376404249,0.5177019402943862,0.7076406350581801
0.1255549192428589,0.13281221687793732,0.00044618119136430323,6.399925505675206e-08,-0.0005768737844691042,-0.576517372687364,-0.5191811104518851,-0.1341755216163847,0.5197579842363542,0.7106928943037487
0.1160740852355957,0.14351780712604523,0.0004737147537525743,6.400057077945373e-08,0.0003803197571951828,-0.5800890954703231,-0.5221847793222915,-0.1336433504297011,0.5218044595650962,0.7137324459000242
0.10667399317026138,0.15410900115966797,0.0004624259890988469,6.400178341883322e-08,0.001315884188483981,-0.5836325622579758,-0.5251573348632645,-0.1331268430227813,0.5238414506747806,0.7167594052807571
0.0974094346165657,0.16452254354953766,0.0004227776953484863,6.400290066767577e-08,0.002230197361517285,-0.587148156695702,-0.5280992377577897,-0.1326257290121494,0.5258690403962724,0.7197738857078514
0.08823581039905548,0.17480796575546265,0.0012295107590034604,6.400392932127502e-08,0.003123623156132672,-0.590636250180845,-0.531010933194642,-0.1321397481471266,0.5278873100385093,0.7227759983279716
0.07914560288190842,0.1849493384361267,0.00041155776125378907,6.400488232915277e-08,0.003996512188329774,-0.5940972024235356,-0.5338928516167732,-0.1316686498037259,0.5298963394284435,0.7257658522272614
0.07019218057394028,0.06622094660997391,0.00043427295167930424,6.400576392234091e-08,0.004849202472626613,-0.5975313619733501,-0.5367454094222495,-0.1312121925109146,0.5318962069496228,0.7287435544842646
0.03696289658546448,0.10812880098819733,0.00042250234400853515,6.400658294754245e-08,0.005682020041949394,-0.6009390667143731,-0.539569009621425,-0.130770143506752,0.5338869895794756,0.7317092102211251
0.014733065851032734,0.16292442381381989,0.0003878100833389908,6.400734094331446e-08,0.006495279528345003,-0.6043206443309833,-0.5423640424536823,-0.130342278322131,0.5358687629253372,0.7346629226531143
0.041963886469602585,0.15559402108192444,0.0011107034515589476,6.400804470495053e-08,0.00728928470750793,-0.6076764127465148,-0.545130885966795,-0.1299283803900546,0.5378416012592871,0.7376047931365695
0.05130003020167351,0.14832840859889984,0.0004110759182367474,6.400870077131815e-08,0.0080643290098463,-0.611006680536735,-0.5478699065616709,-0.12952824067856,0.5398055775518246,0.740534921215295
0.060419075191020966,0.14111089706420898,0.00036729758721776307,6.400931157846595e-08,0.008820696000572247,-0.6143117473199172,-0.5505814595050216,-0.129141657345563,0.5417607635044493,0.7434534046654802
0.06945125013589859,0.13401776552200317,0.0010998276993632317,6.400987994708186e-08,0.009558659831085722,-0.617591904125159,-0.5532658894122662,-0.1287684354140492,0.5437072295811805,0.7463603395392082
0.07841817289590836,0.12702122330665588,0.00036413120687939227,6.40104138263773e-08,0.01027848566372692,-0.6208474337404164,-0.5559235307027871,-0.1284083864661643,0.5456450450390602,0.7492558202065807
0.08721231669187546,0.12001847475767136,0.0003860204014927149,6.401091244707373e-08,0.01098043007179688,-0.6240786110416651,-0.5585547080294633,-0.1280613283548782,0.5475742779576664,0.7521399393965433
0.0959533229470253,0.11308462917804718,0.0010224584257230163,6.401138196339935e-08,0.01166474141658737,-0.6272857033044253,-0.5611597366842999,-0.1277270849320072,0.5494949952677125,0.7550127882364326
0.10458116978406906,0.10628942400217056,0.0003478175785858184,6.401181968287932e-08,0.01233166020301786,-0.6304689704988283,-0.5637389229817351,-0.127405485791479,0.5514072627787172,0.7578744562903074
0.11304821819067001,0.09953096508979797,0.0003681235830299556,6.401223073403714e-08,0.01298141941534749,-0.6336286655692993,-0.5662925646211739,-0.1270963660268075,0.5533111452058265,0.7607250315961068
0.1215292438864708,0.09278703480958939,0.00036000116961076856,6.401261806577381e-08,0.01361424483431187,-0.6367650346998396,-0.5688209510300987,-0.1267995660018317,0.5552067061957868,0.7635646007016713
0.1121024414896965,0.05575048550963402,0.00033012728090398014,6.401298347307256e-08,0.01423035533692792,-0.6398783175658321,-0.5713243636890544,-0.1265149311338487,0.5570940083521264,0.7663932486996808
0.07365011423826218,0.011610004119575024,0.0009844620944932103,6.401332554558943e-08,0.01482996318011203,-0.6429687475732074,-0.5738030764396707,-0.1262423116883273,0.5589731132595587,0.7692110592615348
0.06287403404712677,0.05680832266807556,0.000318563194014132,6.401365210432272e-08,0.01541327426916875,-0.6460365520857592,-0.5762573557768121,-0.125981562584466,0.5608440815076434,0.7720181146702252
0.1423659473657608,0.1021413505077362,0.0003457525745034218,6.40139558411265e-08,0.01598048841212572,-0.6490819526413266,-0.5786874611258572,-0.1257325432109004,0.5627069727137315,0.7748144958522271
0.188574880361557,0.14231163263320923,0.00034100303309969604,6.401424432057287e-08,0.01653179956081767,-0.6521051651575338,-0.5810936451060419,-0.1254951172509262,0.5645618455452243,0.77760028240846
0.15637432038784027,0.14955537021160126,0.00030748092103749514,6.401451856836657e-08,0.0170673960395539,-0.655106400127679,-0.5834761537807145,-0.1252691525166417,0.5664087577411606,0.7803755526443207
0.1635640263557434,0.12123008817434311,0.0008951157797127962,6.401477755880286e-08,0.01758746076214293,-0.6580858628073891,-0.5858352268953207,-0.1250545207914726,0.5682477661331778,0.7831403835988617
0.17068275809288025,0.0008787332917563617,0.00031993986340239644,6.401502359971735e-08,0.01809217143799067,-0.6610437533925508,-0.5881710981038341,-0.1248510976805587,0.5700789266658434,0.7858948510731095
0.1777130365371704,0.07697775214910507,0.0002933699870482087,6.401525861430635e-08,0.01858170076793789,-0.6639802671890341,-0.5904839951843348,-0.1246587624685392,0.571902294416397,0.7886390296575734
0.18471626937389374,0.06948718428611755,0.0008834140026010573,6.401548106401277e-08,0.0190562166304538,-0.6668955947746759,-0.5927741402443757,-0.1244773979842938,0.5737179236139219,0.7913729927589697
