Radius (Å), RDF
4.75409856e+00, 1.19558659e+00
4.78248123e+00, 1.20892287e+00
4.81086391e+00, 1.22079834e+00
4.83924659e+00, 1.21849339e+00
4.86762927e+00, 1.22644781e+00
4.89601195e+00, 1.22848729e+00
4.92439462e+00, 1.22769652e+00
4.95277730e+00, 1.23099893e+00
4.98115998e+00, 1.22887393e+00
5.00954266e+00, 1.23243477e+00
5.03792534e+00, 1.23061613e+00
5.06630801e+00, 1.22506954e+00
5.09469069e+00, 1.22236285e+00
5.12307337e+00, 1.22403359e+00
5.15145605e+00, 1.21896530e+00
5.17983873e+00, 1.21408754e+00
5.20822140e+00, 1.20720355e+00
5.23660408e+00, 1.19676563e+00
5.26498676e+00, 1.19201775e+00
5.29336944e+00, 1.18161239e+00
5.32175211e+00, 1.17679643e+00
5.35013479e+00, 1.16936140e+00
5.37851747e+00, 1.16092964e+00
5.40690015e+00, 1.15565172e+00
5.43528283e+00, 1.15159867e+00
5.46366550e+00, 1.14598743e+00
5.49204818e+00, 1.14091066e+00
5.52043086e+00, 1.13691252e+00
5.54881354e+00, 1.13284420e+00
5.57719622e+00, 1.12235388e+00
5.60557889e+00, 1.11760694e+00
5.63396157e+00, 1.10792197e+00
5.66234425e+00, 1.09307167e+00
5.69072693e+00, 1.08323661e+00
5.71910961e+00, 1.06791784e+00
5.74749228e+00, 1.05243920e+00
5.77587496e+00, 1.03663043e+00
5.80425764e+00, 1.01819164e+00
5.83264032e+00, 1.00669669e+00
5.86102300e+00, 9.89211515e-01
5.88940567e+00, 9.72315860e-01
5.91778835e+00, 9.55804355e-01
5.94617103e+00, 9.37117134e-01
5.97455371e+00, 9.20074131e-01
6.00293639e+00, 9.08011133e-01
6.03131906e+00, 8.96056902e-01
6.05970174e+00, 8.87321411e-01
6.08808442e+00, 8.74301235e-01
6.11646710e+00, 8.64760451e-01
6.14484978e+00, 8.58551930e-01
6.17323245e+00, 8.51708648e-01
6.20161513e+00, 8.48091638e-01
6.22999781e+00, 8.43779214e-01
6.25838049e+00, 8.41621687e-01
6.28676317e+00, 8.39353691e-01
6.31514584e+00, 8.40544177e-01
6.34352852e+00, 8.40839051e-01
6.37191120e+00, 8.46311367e-01
6.40029388e+00, 8.48662626e-01
6.42867655e+00, 8.51543786e-01
6.45705923e+00, 8.55985536e-01
6.48544191e+00, 8.67516216e-01
6.51382459e+00, 8.73747491e-01
6.54220727e+00, 8.84186730e-01
6.57058994e+00, 8.94344914e-01
6.59897262e+00, 9.04108261e-01
6.62735530e+00, 9.15482917e-01
6.65573798e+00, 9.30860487e-01
6.68412066e+00, 9.39000045e-01
6.71250333e+00, 9.51349234e-01
6.74088601e+00, 9.65830943e-01
6.76926869e+00, 9.77606277e-01
6.79765137e+00, 9.90572601e-01
6.82603405e+00, 1.00547194e+00
6.85441672e+00, 1.01483817e+00
6.88279940e+00, 1.02774426e+00
6.91118208e+00, 1.03831506e+00
6.93956476e+00, 1.04880402e+00
6.96794744e+00, 1.05751015e+00
6.99633011e+00, 1.06709891e+00
7.02471279e+00, 1.07509356e+00
7.05309547e+00, 1.08418473e+00
7.08147815e+00, 1.09236675e+00
7.10986083e+00, 1.09378113e+00
7.13824350e+00, 1.09991837e+00
7.16662618e+00, 1.10218873e+00
7.19500886e+00, 1.10578625e+00
7.22339154e+00, 1.10874541e+00
7.25177422e+00, 1.10863034e+00
7.28015689e+00, 1.11019331e+00
7.30853957e+00, 1.11233539e+00
7.33692225e+00, 1.11240776e+00
7.36530493e+00, 1.11108864e+00
7.39368761e+00, 1.10653328e+00
7.42207028e+00, 1.10563439e+00
7.45045296e+00, 1.10334299e+00
7.47883564e+00, 1.10039862e+00
7.50721832e+00, 1.09489439e+00
7.53560099e+00, 1.08630891e+00
7.56398367e+00, 1.08194233e+00
7.59236635e+00, 1.07855670e+00
7.62074903e+00, 1.07426260e+00
7.64913171e+00, 1.06848013e+00
7.67751438e+00, 1.06221284e+00
7.70589706e+00, 1.05615567e+00
7.73427974e+00, 1.05356368e+00
7.76266242e+00, 1.04757714e+00
7.79104510e+00, 1.04317188e+00
7.81942777e+00, 1.03952136e+00
7.84781045e+00, 1.03272269e+00
7.87619313e+00, 1.02741397e+00
7.90457581e+00, 1.02439377e+00
7.93295849e+00, 1.01845456e+00
7.96134116e+00, 1.01371187e+00
7.98972384e+00, 1.00942979e+00
8.01810652e+00, 1.00647078e+00
8.04648920e+00, 1.00109339e+00
8.07487188e+00, 9.96377363e-01
8.10325455e+00, 9.92962390e-01
8.13163723e+00, 9.88849714e-01
8.16001991e+00, 9.87632848e-01
8.18840259e+00, 9.84027421e-01
8.21678527e+00, 9.81423797e-01
8.24516794e+00, 9.77455277e-01
8.27355062e+00, 9.76105249e-01
8.30193330e+00, 9.73979739e-01
8.33031598e+00, 9.72166958e-01
8.35869866e+00, 9.69799915e-01
8.38708133e+00, 9.67187530e-01
8.41546401e+00, 9.67344333e-01
8.44384669e+00, 9.65911172e-01
8.47222937e+00, 9.64387329e-01
8.50061204e+00, 9.62693158e-01
