Time[s],Wavelength [nm],Voltage [V]
3726672179.3376240700,729.8125000000,0.1207035000
3726672180.2286815600,729.9062500000,0.1189542000
3726672181.1086607000,730.0000000000,0.1202327000
3726672181.9927911700,730.0937500000,0.1164258000
3726672182.8757839200,730.1875000000,0.1172336000
3726672183.7601141900,730.3125000000,0.1177666000
3726672184.6514511100,730.4062500000,0.1195976000
3726672185.5292191500,730.5000000000,0.1175522000
3726672186.4111337600,730.5937500000,0.1209670000
3726672187.2977561900,730.6875000000,0.1147011000
3726672188.1889624600,730.8125000000,0.1170385000
3726672189.0714983900,730.9062500000,0.1149278000
3726672189.9515519100,731.0000000000,0.1121696000
3726672190.8318657900,731.0937500000,0.1171754000
3726672191.7144680000,731.1875000000,0.1183569000
3726672192.5968070000,731.3125000000,0.1156028000
3726672193.4808135000,731.4062500000,0.1159275000
3726672194.3650927500,731.5000000000,0.1145112000
3726672195.2429695100,731.5937500000,0.1136667000
3726672196.1217398600,731.6875000000,0.1143907000
3726672197.0030326800,731.8125000000,0.1151596000
3726672197.8887352900,731.9062500000,0.1141844000
3726672198.7688298200,732.0000000000,0.1145112000
3726672199.6539392500,732.0937500000,0.1135574000
3726672200.5390658400,732.1875000000,0.1163196000
3726672201.4178352300,732.3125000000,0.1147113000
3726672202.2957449000,732.4062500000,0.1124413000
3726672203.1812658300,732.5000000000,0.1163625000
3726672204.0698161100,732.5937500000,0.1154557000
3726672204.9505558000,732.6875000000,0.1142007000
3726672205.8349375700,732.8125000000,0.1160460000
3726672206.7159066200,732.9062500000,0.1156783000
3726672207.5998129800,733.0000000000,0.1146766000
3726672208.4795737300,733.0937500000,0.1163993000
3726672209.3664207400,733.1875000000,0.1176808000
3726672210.2444224300,733.3125000000,0.1157723000
3726672211.1302456800,733.4062500000,0.1176441000
3726672212.0194082200,733.5000000000,0.1164667000
3726672212.9002375600,733.5937500000,0.1154333000
3726672213.7813310600,733.6875000000,0.1134624000
3726672214.6615805600,733.8125000000,0.1158336000
3726672215.5413999500,733.9062500000,0.1151259000
3726672216.4282574600,734.0000000000,0.1136942000
3726672217.3126606900,734.0937500000,0.1168139000
3726672218.1963014600,734.1875000000,0.1147746000
3726672219.0794167500,734.3125000000,0.1159459000
3726672219.9652576400,734.4062500000,0.1152566000
3726672220.8385806100,734.5000000000,0.1142232000
3726672221.7181582400,734.5937500000,0.1148216000
3726672222.5992770200,734.6875000000,0.1145234000
3726672223.4799113300,734.8125000000,0.1145908000
3726672224.3652071900,734.9062500000,0.1156048000
3726672225.2459602300,735.0000000000,0.1165811000
3726672226.1282391500,735.0937500000,0.1171070000
3726672227.0105495400,735.1875000000,0.1173765000
3726672227.8977742200,735.3125000000,0.1159398000
3726672228.7834105500,735.4062500000,0.1169446000
3726672229.6670999500,735.5000000000,0.1167261000
3726672230.5464286800,735.5937500000,0.1184753000
3726672231.4283895500,735.6875000000,0.1170038000
3726672232.3073239300,735.8125000000,0.1150177000
3726672233.1877183900,735.9062500000,0.1178606000
3726672234.0712246900,736.0000000000,0.1151075000
3726672234.9543957700,736.0937500000,0.1162808000
3726672235.8395600300,736.1875000000,0.1187786000
3726672236.7267336800,736.3125000000,0.1169507000
3726672237.6125297500,736.4062500000,0.1150585000
3726672238.4931721700,736.5000000000,0.1156334000
3726672239.3773808500,736.5937500000,0.1146562000
3726672240.2628769900,736.6875000000,0.1168261000
3726672241.1425094600,736.8125000000,0.1162910000
3726672242.0264778100,736.9062500000,0.1176768000
3726672242.9083685900,737.0000000000,0.1168976000
3726672243.7923574400,737.0937500000,0.1166137000
3726672244.6731143000,737.1875000000,0.1181751000
3726672245.5541119600,737.3125000000,0.1176298000
3726672246.4376406700,737.4062500000,0.1165055000
3726672247.3178472500,737.5000000000,0.1178994000
3726672248.2042374600,737.5937500000,0.1167301000
3726672249.0863256400,737.6875000000,0.1165831000
3726672249.9613518700,737.8125000000,0.1171968000
3726672250.8472933800,737.9062500000,0.1148747000
3726672251.7302417700,738.0000000000,0.1150054000
3726672252.6158437700,738.0937500000,0.1134328000
3726672253.4981293700,738.1875000000,0.1159377000
3726672254.3807663900,738.3125000000,0.1122942000
3726672255.2641320200,738.4062500000,0.1169466000
3726672256.1466174100,738.5000000000,0.1155701000
3726672257.0341911300,738.5937500000,0.1158622000
3726672257.9115600600,738.6875000000,0.1148318000
3726672258.7915616000,738.8125000000,0.1156518000
3726672259.6746368400,738.9062500000,0.1162890000
3726672260.5584816900,739.0000000000,0.1170130000
3726672261.4316678000,739.0937500000,0.1169844000
3726672262.3165488200,739.1875000000,0.1203063000
3726672263.1989007000,739.3125000000,0.1184100000
3726672264.0812654500,739.4062500000,0.1162992000
3726672264.9638142600,739.5000000000,0.1199305000
3726672265.8474350000,739.5937500000,0.1204901000
3726672266.7315688100,739.6875000000,0.1222812000
3726672267.6136703500,739.8125000000,0.1227101000
3726672268.4981417600,739.9062500000,0.1250965000
3726672269.3868193600,740.0000000000,0.1200775000
3726672270.2664814000,740.0937500000,0.1233146000
3726672271.1524639100,740.1875000000,0.1213019000
3726672272.0313305800,740.3125000000,0.1204043000
3726672272.9148325900,740.4062500000,0.1218492000
3726672273.7975616400,740.5000000000,0.1178504000
3726672274.6799569100,740.5937500000,0.1168384000
3726672275.5646696100,740.6875000000,0.1168506000
3726672276.4497175200,740.8125000000,0.1167138000
3726672277.3317079500,740.9062500000,0.1195445000
3726672278.2154040300,741.0000000000,0.1169323000
3726672279.0996813800,741.0937500000,0.1162645000
3726672279.9832453700,741.1875000000,0.1152556000
3726672280.8671398200,741.3125000000,0.1158908000
3726672281.7461638400,741.4062500000,0.1142293000
3726672282.6309046700,741.5000000000,0.1161705000
3726672283.5100941600,741.5937500000,0.1164422000
3726672284.3873710600,741.6875000000,0.1175420000
3726672285.2666926400,741.8125000000,0.1164565000
3726672286.1470952000,741.9062500000,0.1187469000
3726672287.0347242300,742.0000000000,0.1159847000
3726672287.9175071700,742.0937500000,0.1148747000
3726672288.8016119000,742.1875000000,0.1171641000
3726672289.6866688700,742.3125000000,0.1174031000
3726672290.5642423600,742.4062500000,0.1155681000
3726672291.4544758800,742.5000000000,0.1158274000
3726672292.3387594200,742.5937500000,0.1141476000
3726672293.2197537400,742.6875000000,0.1161256000
3726672294.1047601700,742.8125000000,0.1179259000
3726672294.9886369700,742.9062500000,0.1162563000
3726672295.8744607000,743.0000000000,0.1131520000
3726672296.7578992800,743.0937500000,0.1167281000
3726672297.6414365800,743.1875000000,0.1130458000
3726672298.5273847600,743.3125000000,0.1136146000
3726672299.4109253900,743.4062500000,0.1162829000
3726672300.2973127400,743.5000000000,0.1143355000
3726672301.1794457400,743.5937500000,0.1131847000
3726672302.0630202300,743.6875000000,0.1172622000
3726672302.9492473600,743.8125000000,0.1149074000
3726672303.8323574100,743.9062500000,0.1169242000
3726672304.7140297900,744.0000000000,0.1142600000
3726672305.5996103300,744.0937500000,0.1188399000
3726672306.4839630100,744.1875000000,0.1142967000
3726672307.3660621600,744.3125000000,0.1164810000
3726672308.2507104900,744.4062500000,0.1174991000
3726672309.1335873600,744.5000000000,0.1163482000
3726672310.0068225800,744.5937500000,0.1149931000
3726672310.8886103600,744.6875000000,0.1135359000
3726672311.7735567100,744.8125000000,0.1164524000
3726672312.6585178400,744.9062500000,0.1157845000
3726672313.5420689600,745.0000000000,0.1165729000
3726672314.4266262000,745.0937500000,0.1156252000
3726672315.3110761600,745.1875000000,0.1170661000
3726672316.1947298000,745.3125000000,0.1142783000
3726672317.0756850200,745.4062500000,0.1172622000
3726672317.9602112800,745.5000000000,0.1169395000
3726672318.8495926800,745.5937500000,0.1161481000
3726672319.7335953700,745.6875000000,0.1152413000
3726672320.6163425400,745.8125000000,0.1171376000
3726672321.4879999200,745.9062500000,0.1143192000
3726672322.3718290300,746.0000000000,0.1171846000
3726672323.2561888700,746.0937500000,0.1147746000
3726672324.1401262300,746.1875000000,0.1163074000
3726672325.0247454600,746.3125000000,0.1179504000
3726672325.9093217800,746.4062500000,0.1151402000
3726672326.7977895700,746.5000000000,0.1133930000
3726672327.6778111400,746.5937500000,0.1138351000
3726672328.5626449600,746.6875000000,0.1155517000
3726672329.4458160400,746.8125000000,0.1143233000
3726672330.3235473600,746.9062500000,0.1169814000
3726672331.2025761600,747.0000000000,0.1136003000
3726672332.0821905100,747.0937500000,0.1150422000
3726672332.9702978100,747.1875000000,0.1137678000
3726672333.8568520500,747.3125000000,0.1153209000
3726672334.7384238200,747.4062500000,0.1160480000
3726672335.6252040900,747.5000000000,0.1140169000
3726672336.5102295900,747.5937500000,0.1156579000
3726672337.3933062500,747.6875000000,0.1122595000
3726672338.2774863200,747.8125000000,0.1161746000
3726672339.1643400200,747.9062500000,0.1175930000
3726672340.0500273700,748.0000000000,0.1164442000
3726672340.9298734700,748.0937500000,0.1158948000
3726672341.8104481700,748.1875000000,0.1170212000
3726672342.6846761700,748.3125000000,0.1157417000
3726672343.5668592400,748.4062500000,0.1171447000
3726672344.4530406000,748.5000000000,0.1146705000
3726672345.3280744500,748.5937500000,0.1177462000
3726672346.2075209600,748.6875000000,0.1175256000
3726672347.0859961500,748.8125000000,0.1137187000
3726672347.9596705400,748.9062500000,0.1158050000
3726672348.8421945600,749.0000000000,0.1155027000
3726672349.7236719100,749.0937500000,0.1148318000
3726672350.6033153500,749.1875000000,0.1167056000
3726672351.4911513300,749.3125000000,0.1160603000
3726672352.3760786000,749.4062500000,0.1154496000
3726672353.2623839400,749.5000000000,0.1152729000
3726672354.1494894000,749.5937500000,0.1150932000
3726672355.0359182300,749.6875000000,0.1159377000
3726672355.9196782100,749.8125000000,0.1152423000
3726672356.8040976500,749.9062500000,0.1145193000
3726672357.6855006200,750.0000000000,0.1165811000
3726672358.5672311800,750.0937500000,0.1151974000
3726672359.4541344600,750.1875000000,0.1140721000
3726672360.3371934900,750.3125000000,0.1153700000
3726672361.2201767000,750.4062500000,0.1153822000
3726672362.1067600200,750.5000000000,0.1144336000
3726672362.9927320500,750.5937500000,0.1160072000
3726672363.8797206900,750.6875000000,0.1175461000
3726672364.7607893900,750.8125000000,0.1168098000
3726672365.6428375200,750.9062500000,0.1173194000
3726672366.5294823600,751.0000000000,0.1167444000
3726672367.4114966400,751.0937500000,0.1154517000
3726672368.2904009800,751.1875000000,0.1176768000
3726672369.1722054500,751.3125000000,0.1166566000
3726672370.0547990800,751.4062500000,0.1161440000
3726672370.9384479500,751.5000000000,0.1146521000
3726672371.8171830200,751.5937500000,0.1154802000
3726672372.6965646700,751.6875000000,0.1127599000
3726672373.5797581700,751.8125000000,0.1132970000
3726672374.4602680200,751.9062500000,0.1150258000
3726672375.3468360900,752.0000000000,0.1141313000
3726672376.2347002000,752.0937500000,0.1153312000
3726672377.1160335500,752.1875000000,0.1159643000
3726672378.0052022900,752.3125000000,0.1160092000
3726672378.8839325900,752.4062500000,0.1153097000
3726672379.7639455800,752.5000000000,0.1165770000
3726672380.6500520700,752.5937500000,0.1152923000
3726672381.5222654300,752.6875000000,0.1162849000
3726672382.4042944900,752.8125000000,0.1163319000
3726672383.2816686600,752.9062500000,0.1163441000
3726672384.1668853800,753.0000000000,0.1181465000
3726672385.0483217200,753.0937500000,0.1137310000
3726672385.9262290000,753.1875000000,0.1177768000
3726672386.8074502900,753.3125000000,0.1138066000
3726672387.6886959100,753.4062500000,0.1148257000
3726672388.5715394000,753.5000000000,0.1152872000
3726672389.4551286700,753.5937500000,0.1145030000
3726672390.3434038200,753.6875000000,0.1182711000
3726672391.2285928700,753.8125000000,0.1176053000
3726672392.1090192800,753.9062500000,0.1141864000
3726672392.9896984100,754.0000000000,0.1136687000
3726672393.8760919600,754.0937500000,0.1163053000
3726672394.7577753100,754.1875000000,0.1148931000
3726672395.6405825600,754.3125000000,0.1125515000
3726672396.5247626300,754.4062500000,0.1145009000
3726672397.4085321400,754.5000000000,0.1132439000
3726672398.2945456500,754.5937500000,0.1126863000
3726672399.1793527600,754.6875000000,0.1162563000
3726672400.0615625400,754.8125000000,0.1168180000
