Temperature T (K), Long range order P, Energy U (eV), Heat capacity C (eV/K)
 8.69816e+02,  3.36844e-01, -2.28285e+03,  2.42408e-01
 8.70903e+02,  3.31785e-01, -2.28259e+03,  2.42905e-01
 8.71991e+02,  3.26637e-01, -2.28232e+03,  2.43390e-01
 8.73078e+02,  3.21397e-01, -2.28206e+03,  2.43885e-01
 8.74165e+02,  3.16058e-01, -2.28179e+03,  2.44383e-01
 8.75252e+02,  3.10617e-01, -2.28153e+03,  2.44877e-01
 8.76340e+02,  3.05067e-01, -2.28126e+03,  2.45371e-01
 8.77427e+02,  2.99403e-01, -2.28099e+03,  2.45862e-01
 8.78514e+02,  2.93618e-01, -2.28072e+03,  2.46362e-01
 8.79602e+02,  2.87704e-01, -2.28046e+03,  2.46859e-01
 8.80689e+02,  2.81655e-01, -2.28019e+03,  2.47352e-01
 8.81776e+02,  2.75460e-01, -2.27992e+03,  2.47857e-01
 8.82863e+02,  2.69109e-01, -2.27965e+03,  2.48343e-01
 8.83951e+02,  2.62592e-01, -2.27938e+03,  2.48839e-01
 8.85038e+02,  2.55895e-01, -2.27911e+03,  2.49345e-01
 8.86125e+02,  2.49004e-01, -2.27884e+03,  2.49834e-01
 8.87212e+02,  2.41903e-01, -2.27856e+03,  2.50321e-01
 8.88300e+02,  2.34573e-01, -2.27829e+03,  2.50822e-01
 8.89387e+02,  2.26990e-01, -2.27802e+03,  2.51326e-01
 8.90474e+02,  2.19130e-01, -2.27775e+03,  2.51814e-01
 8.91562e+02,  2.10960e-01, -2.27747e+03,  2.52312e-01
 8.92649e+02,  2.02444e-01, -2.27720e+03,  2.52815e-01
 8.93736e+02,  1.93536e-01, -2.27692e+03,  2.53306e-01
 8.94823e+02,  1.84179e-01, -2.27665e+03,  2.53803e-01
 8.95911e+02,  1.74300e-01, -2.27637e+03,  2.54300e-01
 8.96998e+02,  1.63806e-01, -2.27609e+03,  2.54794e-01
 8.98085e+02,  1.52568e-01, -2.27582e+03,  2.55291e-01
 8.99172e+02,  1.40410e-01, -2.27554e+03,  2.55788e-01
 9.00260e+02,  1.27067e-01, -2.27526e+03,  2.56285e-01
 9.01347e+02,  1.12117e-01, -2.27498e+03,  2.56780e-01
 9.02434e+02,  9.48019e-02, -2.27470e+03,  2.57277e-01
 9.03522e+02,  7.34685e-02, -2.27442e+03,  2.57775e-01
 9.04609e+02,  4.24375e-02, -2.27414e+03,  1.93611e-01
 9.05696e+02,  4.34839e-07, -2.27400e+03,  6.45993e-02
 9.06783e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.07871e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.08958e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.10045e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.11132e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.12220e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.13307e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.14394e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.15481e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.16569e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.17656e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.18743e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.19831e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.20918e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.22005e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.23092e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.24180e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.25267e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.26354e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.27441e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.28529e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.29616e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.30703e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.31791e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.32878e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.33965e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.35052e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.36140e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.37227e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.38314e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.39401e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.40489e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.41576e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.42663e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.43751e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.44838e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.45925e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.47012e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.48100e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.49187e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.50274e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.51361e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.52449e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.53536e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.54623e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.55710e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.56798e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.57885e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.58972e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.60060e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.61147e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.62234e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.63321e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.64409e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.65496e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.66583e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.67670e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.68758e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.69845e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.70932e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.72020e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.73107e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.74194e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.75281e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.76369e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.77456e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.78543e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.79630e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.80718e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.81805e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.82892e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.83980e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.85067e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.86154e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.87241e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.88329e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.89416e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.90503e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.91590e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.92678e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.93765e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.94852e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.95939e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.97027e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.98114e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
 9.99201e+02,  4.34839e-07, -2.27400e+03,  0.00000e+00
