Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
0.00000000e+00, -2.90120000e+00, 1.02400000e+03
1.00000000e-01, -2.92511866e+00, 1.04900000e+03
2.00000000e-01, -2.96682947e+00, 1.08700000e+03
3.00000000e-01, -2.99589673e+00, 1.10500000e+03
4.00000000e-01, -3.02239457e+00, 1.12700000e+03
5.00000000e-01, -3.04351240e+00, 1.14100000e+03
6.00000000e-01, -3.05932529e+00, 1.14700000e+03
7.00000000e-01, -3.07422969e+00, 1.15500000e+03
8.00000000e-01, -3.08668240e+00, 1.16000000e+03
9.00000000e-01, -3.09509584e+00, 1.15800000e+03
1.00000000e+00, -3.10238123e+00, 1.15600000e+03
1.10000000e+00, -3.10353718e+00, 1.14200000e+03
1.20000000e+00, -3.10605774e+00, 1.13400000e+03
1.30000000e+00, -3.10553234e+00, 1.12100000e+03
1.40000000e+00, -3.10499490e+00, 1.11000000e+03
1.50000000e+00, -3.10054747e+00, 1.09200000e+03
1.60000000e+00, -3.09888132e+00, 1.08200000e+03
1.70000000e+00, -3.09949231e+00, 1.07800000e+03
1.80000000e+00, -3.09750944e+00, 1.06900000e+03
1.90000000e+00, -3.09560698e+00, 1.06100000e+03
2.00000000e+00, -3.09338088e+00, 1.05300000e+03
2.10000000e+00, -3.08942131e+00, 1.04200000e+03
2.20000000e+00, -3.08654730e+00, 1.03400000e+03
2.30000000e+00, -3.08147054e+00, 1.02200000e+03
2.40000000e+00, -3.07702715e+00, 1.01200000e+03
2.50000000e+00, -3.06222940e+00, 9.82000000e+02
2.60000000e+00, -3.05674836e+00, 9.72000000e+02
2.70000000e+00, -3.05103154e+00, 9.62000000e+02
2.80000000e+00, -3.04192818e+00, 9.46000000e+02
2.90000000e+00, -3.03987868e+00, 9.44000000e+02
3.00000000e+00, -3.03462973e+00, 9.36000000e+02
3.10000000e+00, -3.03138607e+00, 9.32000000e+02
3.20000000e+00, -3.02159200e+00, 9.16000000e+02
3.30000000e+00, -3.02076663e+00, 9.17000000e+02
3.40000000e+00, -3.02163007e+00, 9.21000000e+02
3.50000000e+00, -3.01660511e+00, 9.14000000e+02
3.60000000e+00, -3.01586722e+00, 9.15000000e+02
3.70000000e+00, -3.01299142e+00, 9.12000000e+02
3.80000000e+00, -3.00678790e+00, 9.03000000e+02
3.90000000e+00, -3.00099594e+00, 8.95000000e+02
4.00000000e+00, -3.00068981e+00, 8.97000000e+02
4.10000000e+00, -3.00100052e+00, 9.00000000e+02
4.20000000e+00, -2.99469047e+00, 8.91000000e+02
4.30000000e+00, -2.99611452e+00, 8.96000000e+02
4.40000000e+00, -2.99203961e+00, 8.91000000e+02
4.50000000e+00, -2.98565194e+00, 8.82000000e+02
4.60000000e+00, -2.98595459e+00, 8.85000000e+02
4.70000000e+00, -2.98292889e+00, 8.82000000e+02
4.80000000e+00, -2.97703727e+00, 8.74000000e+02
4.90000000e+00, -2.97506199e+00, 8.73000000e+02
5.00000000e+00, -2.97823711e+00, 8.81000000e+02
5.10000000e+00, -2.97640228e+00, 8.80000000e+02
5.20000000e+00, -2.97000904e+00, 8.71000000e+02
5.30000000e+00, -2.96174450e+00, 8.59000000e+02
5.40000000e+00, -2.96089240e+00, 8.60000000e+02
5.50000000e+00, -2.96007695e+00, 8.61000000e+02
5.60000000e+00, -2.95697120e+00, 8.58000000e+02
5.70000000e+00, -2.95734898e+00, 8.61000000e+02
5.80000000e+00, -2.95312410e+00, 8.56000000e+02
5.90000000e+00, -2.94649887e+00, 8.47000000e+02
6.00000000e+00, -2.94744735e+00, 8.51000000e+02
6.10000000e+00, -2.94903195e+00, 8.56000000e+02
6.20000000e+00, -2.94482836e+00, 8.51000000e+02
6.30000000e+00, -2.94352720e+00, 8.51000000e+02
6.40000000e+00, -2.93633647e+00, 8.41000000e+02
6.50000000e+00, -2.93794747e+00, 8.46000000e+02
6.60000000e+00, -2.93250672e+00, 8.39000000e+02
6.70000000e+00, -2.93177243e+00, 8.40000000e+02
6.80000000e+00, -2.93225382e+00, 8.43000000e+02
6.90000000e+00, -2.93454413e+00, 8.49000000e+02
7.00000000e+00, -2.93687907e+00, 8.55000000e+02
7.10000000e+00, -2.93282756e+00, 8.50000000e+02
7.20000000e+00, -2.93578384e+00, 8.57000000e+02
7.30000000e+00, -2.93645943e+00, 8.60000000e+02
7.40000000e+00, -2.93192580e+00, 8.54000000e+02
7.50000000e+00, -2.93144456e+00, 8.55000000e+02
7.60000000e+00, -2.93273392e+00, 8.59000000e+02
7.70000000e+00, -2.92998474e+00, 8.56000000e+02
7.80000000e+00, -2.93535940e+00, 8.67000000e+02
7.90000000e+00, -2.93386752e+00, 8.66000000e+02
8.00000000e+00, -2.93064212e+00, 8.62000000e+02
8.10000000e+00, -2.93202882e+00, 8.66000000e+02
8.20000000e+00, -2.93171776e+00, 8.67000000e+02
8.30000000e+00, -2.93314904e+00, 8.71000000e+02
8.40000000e+00, -2.93517909e+00, 8.76000000e+02
8.50000000e+00, -2.93210273e+00, 8.72000000e+02
8.60000000e+00, -2.92957390e+00, 8.69000000e+02
8.70000000e+00, -2.92875755e+00, 8.69000000e+02
8.80000000e+00, -2.92390665e+00, 8.62000000e+02
8.90000000e+00, -2.92422165e+00, 8.64000000e+02
9.00000000e+00, -2.91933298e+00, 8.57000000e+02
9.10000000e+00, -2.91672230e+00, 8.54000000e+02
9.20000000e+00, -2.91291913e+00, 8.49000000e+02
9.30000000e+00, -2.91613507e+00, 8.56000000e+02
9.40000000e+00, -2.91295720e+00, 8.52000000e+02
9.50000000e+00, -2.90679546e+00, 8.43000000e+02
9.60000000e+00, -2.90944269e+00, 8.49000000e+02
9.70000000e+00, -2.91035377e+00, 8.52000000e+02
9.80000000e+00, -2.90658524e+00, 8.47000000e+02
9.90000000e+00, -2.90514736e+00, 8.46000000e+02
1.00000000e+01, -2.90666123e+00, 8.50000000e+02
1.01000000e+01, -2.90643652e+00, 8.51000000e+02
1.02000000e+01, -2.90269141e+00, 8.46000000e+02
1.03000000e+01, -2.90540521e+00, 8.52000000e+02
1.04000000e+01, -2.90404049e+00, 8.51000000e+02
1.05000000e+01, -2.89735457e+00, 8.41000000e+02
1.06000000e+01, -2.89593510e+00, 8.40000000e+02
1.07000000e+01, -2.89272604e+00, 8.36000000e+02
1.08000000e+01, -2.89427564e+00, 8.40000000e+02
1.09000000e+01, -2.89879709e+00, 8.49000000e+02
1.10000000e+01, -2.89863477e+00, 8.50000000e+02
1.11000000e+01, -2.89435412e+00, 8.44000000e+02
1.12000000e+01, -2.88822976e+00, 8.35000000e+02
1.13000000e+01, -2.89337720e+00, 8.45000000e+02
1.14000000e+01, -2.88966461e+00, 8.40000000e+02
1.15000000e+01, -2.89008897e+00, 8.42000000e+02
1.16000000e+01, -2.88216409e+00, 8.30000000e+02
1.17000000e+01, -2.88015468e+00, 8.28000000e+02
1.18000000e+01, -2.88175773e+00, 8.32000000e+02
1.19000000e+01, -2.88873049e+00, 8.45000000e+02
1.20000000e+01, -2.89273431e+00, 8.53000000e+02
1.21000000e+01, -2.89557651e+00, 8.59000000e+02
1.22000000e+01, -2.89669164e+00, 8.62000000e+02
1.23000000e+01, -2.89724178e+00, 8.64000000e+02
1.24000000e+01, -2.89548880e+00, 8.62000000e+02
1.25000000e+01, -2.90123015e+00, 8.73000000e+02
1.26000000e+01, -2.89839066e+00, 8.69000000e+02
1.27000000e+01, -2.89955661e+00, 8.72000000e+02
1.28000000e+01, -2.90187616e+00, 8.77000000e+02
1.29000000e+01, -2.90533851e+00, 8.84000000e+02
1.30000000e+01, -2.90316089e+00, 8.81000000e+02
1.31000000e+01, -2.90153723e+00, 8.79000000e+02
1.32000000e+01, -2.90104497e+00, 8.79000000e+02
1.33000000e+01, -2.89827594e+00, 8.75000000e+02
1.34000000e+01, -2.90062296e+00, 8.80000000e+02
1.35000000e+01, -2.90184761e+00, 8.83000000e+02
1.36000000e+01, -2.90813602e+00, 8.95000000e+02
1.37000000e+01, -2.91328380e+00, 9.05000000e+02
1.38000000e+01, -2.90959353e+00, 8.99000000e+02
1.39000000e+01, -2.91308590e+00, 9.06000000e+02
1.40000000e+01, -2.91657910e+00, 9.13000000e+02
1.41000000e+01, -2.91295731e+00, 9.07000000e+02
1.42000000e+01, -2.91316213e+00, 9.08000000e+02
1.43000000e+01, -2.91171977e+00, 9.06000000e+02
1.44000000e+01, -2.90749647e+00, 8.99000000e+02
1.45000000e+01, -2.90321832e+00, 8.92000000e+02
1.46000000e+01, -2.90226337e+00, 8.91000000e+02
1.47000000e+01, -2.89905439e+00, 8.86000000e+02
1.48000000e+01, -2.89694682e+00, 8.83000000e+02
1.49000000e+01, -2.89709238e+00, 8.84000000e+02
1.50000000e+01, -2.89780857e+00, 8.86000000e+02
1.51000000e+01, -2.89796913e+00, 8.87000000e+02
1.52000000e+01, -2.89417839e+00, 8.81000000e+02
1.53000000e+01, -2.89884354e+00, 8.90000000e+02
1.54000000e+01, -2.89902420e+00, 8.91000000e+02
1.55000000e+01, -2.89527109e+00, 8.85000000e+02
1.56000000e+01, -2.89374578e+00, 8.83000000e+02
1.57000000e+01, -2.89278040e+00, 8.82000000e+02
1.58000000e+01, -2.88896753e+00, 8.76000000e+02
1.59000000e+01, -2.88453709e+00, 8.69000000e+02
