Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
0.00000000, -809.33836360, 0.00000000, -809.33836360, 0.00000000
0.10000000, 2629.92408856, 641776.76989051, 644406.69397907, 19394557.69872349
0.20000000, 2719.22671540, 4718279.23918323, 4720998.46589863, 142586867.01707757
0.30000000, 2496.13851488, 11417747.46994178, 11420243.60845666, 345045462.04284948
0.40000000, 2901.79141844, 12655046.31944076, 12657948.11085920, 382436756.10802096
0.50000000, 3252.37126850, 14737804.25927044, 14741056.63053895, 445377907.81625819
0.60000000, 2784.89366942, 17334981.19573873, 17337766.08940815, 523864852.67205471
0.70000000, 2472.12350610, 19242214.92762829, 19244687.05113439, 581501645.39110911
0.80000000, 2269.25560758, 20257479.57401375, 20259748.82962133, 612183043.79566050
0.90000000, 2577.70385994, 21254497.70393890, 21257075.40779885, 642313030.66135132
1.00000000, 2904.80350480, 22774366.58601716, 22777271.38952196, 688243619.16331589
1.10000000, 1889.39794866, 25574793.86345540, 25576683.26140407, 772872809.50097919
1.20000000, 2201.75871513, 26306606.43135003, 26308808.19006516, 794988257.95372486
1.30000000, 3187.43186547, 29254929.98485509, 29258117.41672057, 884086888.43658650
1.40000000, 4136.91168053, 52870764.48391417, 52874901.39559469, 1597759751.46907520
1.50000000, 2482.21744809, 107688151.97118104, 107690634.18862914, 3254346643.35120535
1.60000000, 3568.87353931, 112459320.34891571, 112462889.22245502, 3398531825.38589716
1.70000000, 2917.40345139, 124336455.18315877, 124339372.58661017, 3757460019.18378592
1.80000000, 2441.18303555, 126948164.37893407, 126950605.56196962, 3836386130.35853624
1.90000000, 2960.35041602, 127512960.01866104, 127515920.36907706, 3853454310.66138601
2.00000000, 2509.76631417, 127907140.31405926, 127909650.08037342, 3865366478.32071877
2.10000000, 2654.78253076, 127602015.67923346, 127604670.46176423, 3856145581.56491947
2.20000000, 2738.40083326, 128993164.30907127, 128995902.70990452, 3898186231.26542568
2.30000000, 2642.76030588, 132417497.28807867, 132420140.04838455, 4001669913.84298372
2.40000000, 2529.42357266, 133737284.18814585, 133739813.61171851, 4041554004.98535872
2.50000000, 2927.31006126, 134882424.84039173, 134885352.15045300, 4076160269.18050194
2.60000000, 2382.97865420, 136481212.62384143, 136483595.60249564, 4124475794.71661520
2.70000000, 2253.92694157, 138089012.05874994, 138091265.98569152, 4173063653.25444889
2.80000000, 2265.60707873, 138587913.26525950, 138590178.87233824, 4188140497.24377441
2.90000000, 2614.96394526, 138543761.54093891, 138546376.50488418, 4186806227.75162697
3.00000000, 2340.87812950, 140013465.69772160, 140015806.57585111, 4231220833.27503729
3.10000000, 2508.36272526, 142663743.45490199, 142666251.81762725, 4311312490.20435810
3.20000000, 2785.69102313, 144689183.64085820, 144691969.33188134, 4372521493.70029640
3.30000000, 2749.56727926, 146399813.07619372, 146402562.64347297, 4424216885.05952168
3.40000000, 2775.40079019, 148352784.62274083, 148355560.02353102, 4483235879.07816601
3.50000000, 2709.32661678, 149792694.92113033, 149795404.24774709, 4526750111.24313736
3.60000000, 3298.91508171, 151944362.84400421, 151947661.75908592, 4591773729.48003483
3.70000000, 2061.10965874, 154758116.60020185, 154760177.70986059, 4676805647.32879829
3.80000000, 2260.61884395, 156749239.53951350, 156751500.15835744, 4736977580.22428131
3.90000000, 3124.45710751, 161586499.58892247, 161589624.04602998, 4883160059.13824558
4.00000000, 2044.10615521, 175971322.96807587, 175973367.07423109, 5317870849.71505642
4.10000000, 2673.51959883, 177900761.79988062, 177903435.31947947, 5376178682.75796700
4.20000000, 2604.53550877, 180575373.15033510, 180577977.68584388, 5457005703.29175758
4.30000000, 2635.26930718, 182744561.28770423, 182747196.55701143, 5522558784.15002728
4.40000000, 2150.53898516, 183613035.13773504, 183615185.67672020, 5548804150.11602879
4.50000000, 2832.65791796, 184431585.37325481, 184434418.03117278, 5573540819.49532127
4.60000000, 2477.14866845, 186037522.13348046, 186039999.28214890, 5622072387.81932163
4.70000000, 2328.41566656, 187461338.69650203, 187463667.11216858, 5665100265.70376205
4.80000000, 2502.25025263, 188680606.57243654, 188683108.82268918, 5701946661.95778370
4.90000000, 2665.85997227, 190900333.84875706, 190902999.70872933, 5769027040.61245728
5.00000000, 2729.35769322, 191183104.59358206, 191185833.95127529, 5777572400.59324169
5.10000000, 2309.16860101, 192058557.47275800, 192060866.64135900, 5804028673.51285458
5.20000000, 2744.82709751, 192881079.64454564, 192883824.47164315, 5828885375.20047760
5.30000000, 2929.86141320, 194564953.15045637, 194567883.01186958, 5879772199.71628094
5.40000000, 2486.79504543, 197339650.42130825, 197342137.21635368, 5963623826.70054817
