X-Axis_A (relative inverse cm), sample_A_spectrum (CCD counts), X-Axis_B (relative inverse cm), sample_B_spectrum (CCD counts), X-Axis_C (relative inverse cm),sample_C_spectrum (CCD counts)
 5.56925E+02, 1.58290E+03, 5.56925E+02, 1.66230E+03, 5.56925E+02, 1.98250E+03
 5.59697E+02, 1.58330E+03, 5.59697E+02, 1.66500E+03, 5.59697E+02, 1.92910E+03
 5.62467E+02, 1.58810E+03, 5.62467E+02, 1.67080E+03, 5.62467E+02, 1.90320E+03
 5.65237E+02, 1.58470E+03, 5.65237E+02, 1.67050E+03, 5.65237E+02, 1.89630E+03
 5.68006E+02, 1.58540E+03, 5.68006E+02, 1.67670E+03, 5.68006E+02, 1.85890E+03
 5.70774E+02, 1.58760E+03, 5.70774E+02, 1.67500E+03, 5.70774E+02, 1.83830E+03
 5.73541E+02, 1.58860E+03, 5.73541E+02, 1.67690E+03, 5.73541E+02, 1.82260E+03
 5.76308E+02, 1.58840E+03, 5.76308E+02, 1.67000E+03, 5.76308E+02, 1.80950E+03
 5.79073E+02, 1.58370E+03, 5.79073E+02, 1.67500E+03, 5.79073E+02, 1.79290E+03
 5.81837E+02, 1.58730E+03, 5.81837E+02, 1.67740E+03, 5.81837E+02, 1.79290E+03
 5.84600E+02, 1.58820E+03, 5.84600E+02, 1.67760E+03, 5.84600E+02, 1.79560E+03
 5.87363E+02, 1.58970E+03, 5.87363E+02, 1.68040E+03, 5.87363E+02, 1.77550E+03
 5.90124E+02, 1.59020E+03, 5.90124E+02, 1.68420E+03, 5.90124E+02, 1.78240E+03
 5.92885E+02, 1.58580E+03, 5.92885E+02, 1.68660E+03, 5.92885E+02, 1.77520E+03
 5.95645E+02, 1.58650E+03, 5.95645E+02, 1.69920E+03, 5.95645E+02, 1.76950E+03
 5.98403E+02, 1.59250E+03, 5.98403E+02, 1.69370E+03, 5.98403E+02, 1.78120E+03
 6.01161E+02, 1.59030E+03, 6.01161E+02, 1.69030E+03, 6.01161E+02, 1.77450E+03
 6.03918E+02, 1.58850E+03, 6.03918E+02, 1.69810E+03, 6.03918E+02, 1.76960E+03
 6.06674E+02, 1.58550E+03, 6.06674E+02, 1.70090E+03, 6.06674E+02, 1.77340E+03
 6.09429E+02, 1.57970E+03, 6.09429E+02, 1.70030E+03, 6.09429E+02, 1.78060E+03
 6.12183E+02, 1.57650E+03, 6.12183E+02, 1.71900E+03, 6.12183E+02, 1.79350E+03
 6.14936E+02, 1.58530E+03, 6.14936E+02, 1.71290E+03, 6.14936E+02, 1.79600E+03
 6.17689E+02, 1.58140E+03, 6.17689E+02, 1.70630E+03, 6.17689E+02, 1.80820E+03
 6.20440E+02, 1.57910E+03, 6.20440E+02, 1.71980E+03, 6.20440E+02, 1.79240E+03
 6.23190E+02, 1.58300E+03, 6.23190E+02, 1.72370E+03, 6.23190E+02, 1.81390E+03
 6.25940E+02, 1.57970E+03, 6.25940E+02, 1.72170E+03, 6.25940E+02, 1.79500E+03
 6.28689E+02, 1.58300E+03, 6.28689E+02, 1.71880E+03, 6.28689E+02, 1.78650E+03
 6.31436E+02, 1.57990E+03, 6.31436E+02, 1.71860E+03, 6.31436E+02, 1.77440E+03
 6.34183E+02, 1.57930E+03, 6.34183E+02, 1.71640E+03, 6.34183E+02, 1.76270E+03
 6.36929E+02, 1.58120E+03, 6.36929E+02, 1.72410E+03, 6.36929E+02, 1.76600E+03
 6.39674E+02, 1.58010E+03, 6.39674E+02, 1.72410E+03, 6.39674E+02, 1.76590E+03
 6.42418E+02, 1.57830E+03, 6.42418E+02, 1.72650E+03, 6.42418E+02, 1.76000E+03
 6.45161E+02, 1.57550E+03, 6.45161E+02, 1.72610E+03, 6.45161E+02, 1.77250E+03
 6.47903E+02, 1.57600E+03, 6.47903E+02, 1.72920E+03, 6.47903E+02, 1.75500E+03
 6.50644E+02, 1.57590E+03, 6.50644E+02, 1.72950E+03, 6.50644E+02, 1.75800E+03
 6.53384E+02, 1.57520E+03, 6.53384E+02, 1.73690E+03, 6.53384E+02, 1.74950E+03
 6.56124E+02, 1.57300E+03, 6.56124E+02, 1.73480E+03, 6.56124E+02, 1.75630E+03
 6.58862E+02, 1.57400E+03, 6.58862E+02, 1.74620E+03, 6.58862E+02, 1.75410E+03
 6.61600E+02, 1.57450E+03, 6.61600E+02, 1.75140E+03, 6.61600E+02, 1.76560E+03
 6.64337E+02, 1.57370E+03, 6.64337E+02, 1.75380E+03, 6.64337E+02, 1.75760E+03
 6.67072E+02, 1.57410E+03, 6.67072E+02, 1.75280E+03, 6.67072E+02, 1.77870E+03
 6.69807E+02, 1.57450E+03, 6.69807E+02, 1.76020E+03, 6.69807E+02, 1.77660E+03
 6.72541E+02, 1.57160E+03, 6.72541E+02, 1.76070E+03, 6.72541E+02, 1.77610E+03
 6.75274E+02, 1.57350E+03, 6.75274E+02, 1.75990E+03, 6.75274E+02, 1.76690E+03
 6.78006E+02, 1.57210E+03, 6.78006E+02, 1.77460E+03, 6.78006E+02, 1.75900E+03
 6.80737E+02, 1.57320E+03, 6.80737E+02, 1.78310E+03, 6.80737E+02, 1.75130E+03
 6.83468E+02, 1.57250E+03, 6.83468E+02, 1.77800E+03, 6.83468E+02, 1.74940E+03
 6.86197E+02, 1.57270E+03, 6.86197E+02, 1.78380E+03, 6.86197E+02, 1.74790E+03
 6.88925E+02, 1.57320E+03, 6.88925E+02, 1.78440E+03, 6.88925E+02, 1.74230E+03
 6.91653E+02, 1.57250E+03, 6.91653E+02, 1.80030E+03, 6.91653E+02, 1.71900E+03
 6.94380E+02, 1.57370E+03, 6.94380E+02, 1.81860E+03, 6.94380E+02, 1.72960E+03
 6.97105E+02, 1.57270E+03, 6.97105E+02, 1.83170E+03, 6.97105E+02, 1.72060E+03
 6.99830E+02, 1.57390E+03, 6.99830E+02, 1.82000E+03, 6.99830E+02, 1.70280E+03
 7.02554E+02, 1.57470E+03, 7.02554E+02, 1.82820E+03, 7.02554E+02, 1.71230E+03
 7.05277E+02, 1.57660E+03, 7.05277E+02, 1.84330E+03, 7.05277E+02, 1.71290E+03
 7.07999E+02, 1.57500E+03, 7.07999E+02, 1.85160E+03, 7.07999E+02, 1.69980E+03
 7.10720E+02, 1.57380E+03, 7.10720E+02, 1.83710E+03, 7.10720E+02, 1.70170E+03
 7.13441E+02, 1.57410E+03, 7.13441E+02, 1.84710E+03, 7.13441E+02, 1.69930E+03
 7.16160E+02, 1.57500E+03, 7.16160E+02, 1.84640E+03, 7.16160E+02, 1.69660E+03
 7.18879E+02, 1.57510E+03, 7.18879E+02, 1.82500E+03, 7.18879E+02, 1.69930E+03
 7.21596E+02, 1.57710E+03, 7.21596E+02, 1.81170E+03, 7.21596E+02, 1.68700E+03
 7.24313E+02, 1.57600E+03, 7.24313E+02, 1.79930E+03, 7.24313E+02, 1.69510E+03
 7.27029E+02, 1.57810E+03, 7.27029E+02, 1.78170E+03, 7.27029E+02, 1.69700E+03
 7.29743E+02, 1.57650E+03, 7.29743E+02, 1.77410E+03, 7.29743E+02, 1.69010E+03
 7.32457E+02, 1.57600E+03, 7.32457E+02, 1.74680E+03, 7.32457E+02, 1.68930E+03
 7.35170E+02, 1.58020E+03, 7.35170E+02, 1.73980E+03, 7.35170E+02, 1.68770E+03
 7.37883E+02, 1.57940E+03, 7.37883E+02, 1.72720E+03, 7.37883E+02, 1.69840E+03
 7.40594E+02, 1.58050E+03, 7.40594E+02, 1.72050E+03, 7.40594E+02, 1.68530E+03
 7.43304E+02, 1.58310E+03, 7.43304E+02, 1.70850E+03, 7.43304E+02, 1.69300E+03
 7.46014E+02, 1.58180E+03, 7.46014E+02, 1.70160E+03, 7.46014E+02, 1.68660E+03
 7.48722E+02, 1.58430E+03, 7.48722E+02, 1.69810E+03, 7.48722E+02, 1.68900E+03
 7.51430E+02, 1.58340E+03, 7.51430E+02, 1.69670E+03, 7.51430E+02, 1.68770E+03
 7.54137E+02, 1.57990E+03, 7.54137E+02, 1.68860E+03, 7.54137E+02, 1.69710E+03
 7.56842E+02, 1.58560E+03, 7.56842E+02, 1.69200E+03, 7.56842E+02, 1.69790E+03
 7.59547E+02, 1.58210E+03, 7.59547E+02, 1.69400E+03, 7.59547E+02, 1.68890E+03
 7.62252E+02, 1.58040E+03, 7.62252E+02, 1.68550E+03, 7.62252E+02, 1.69290E+03
 7.64955E+02, 1.58120E+03, 7.64955E+02, 1.69090E+03, 7.64955E+02, 1.69360E+03
 7.67657E+02, 1.57790E+03, 7.67657E+02, 1.69530E+03, 7.67657E+02, 1.69430E+03
 7.70358E+02, 1.57620E+03, 7.70358E+02, 1.68880E+03, 7.70358E+02, 1.69460E+03
 7.73059E+02, 1.57410E+03, 7.73059E+02, 1.69360E+03, 7.73059E+02, 1.69750E+03
 7.75758E+02, 1.58010E+03, 7.75758E+02, 1.70570E+03, 7.75758E+02, 1.70290E+03
 7.78457E+02, 1.57680E+03, 7.78457E+02, 1.71610E+03, 7.78457E+02, 1.70650E+03
 7.81155E+02, 1.57800E+03, 7.81155E+02, 1.72550E+03, 7.81155E+02, 1.70730E+03
 7.83852E+02, 1.57920E+03, 7.83852E+02, 1.74930E+03, 7.83852E+02, 1.70200E+03
 7.86548E+02, 1.58090E+03, 7.86548E+02, 1.75270E+03, 7.86548E+02, 1.71250E+03
 7.89243E+02, 1.57300E+03, 7.89243E+02, 1.76660E+03, 7.89243E+02, 1.70830E+03
 7.91937E+02, 1.57720E+03, 7.91937E+02, 1.80220E+03, 7.91937E+02, 1.70750E+03
 7.94631E+02, 1.57700E+03, 7.94631E+02, 1.81820E+03, 7.94631E+02, 1.71260E+03
 7.97323E+02, 1.57520E+03, 7.97323E+02, 1.83880E+03, 7.97323E+02, 1.70810E+03
 8.00015E+02, 1.57350E+03, 8.00015E+02, 1.87620E+03, 8.00015E+02, 1.71210E+03
 8.02705E+02, 1.57450E+03, 8.02705E+02, 1.88890E+03, 8.02705E+02, 1.71570E+03
 8.05395E+02, 1.57320E+03, 8.05395E+02, 1.88730E+03, 8.05395E+02, 1.71650E+03
 8.08084E+02, 1.57650E+03, 8.08084E+02, 1.89570E+03, 8.08084E+02, 1.72400E+03
 8.10772E+02, 1.57500E+03, 8.10772E+02, 1.88730E+03, 8.10772E+02, 1.72410E+03
 8.13459E+02, 1.57330E+03, 8.13459E+02, 1.86870E+03, 8.13459E+02, 1.72650E+03
 8.16145E+02, 1.57560E+03, 8.16145E+02, 1.85040E+03, 8.16145E+02, 1.72930E+03
 8.18831E+02, 1.57960E+03, 8.18831E+02, 1.82230E+03, 8.18831E+02, 1.73810E+03
 8.21515E+02, 1.57770E+03, 8.21515E+02, 1.79860E+03, 8.21515E+02, 1.73210E+03
 8.24199E+02, 1.57890E+03, 8.24199E+02, 1.80480E+03, 8.24199E+02, 1.72960E+03
 8.26882E+02, 1.57720E+03, 8.26882E+02, 1.77340E+03, 8.26882E+02, 1.72890E+03
 8.29563E+02, 1.57650E+03, 8.29563E+02, 1.75770E+03, 8.29563E+02, 1.72710E+03
 8.32244E+02, 1.57830E+03, 8.32244E+02, 1.75430E+03, 8.32244E+02, 1.72880E+03
 8.34924E+02, 1.57490E+03, 8.34924E+02, 1.73920E+03, 8.34924E+02, 1.72840E+03
 8.37604E+02, 1.57240E+03, 8.37604E+02, 1.73790E+03, 8.37604E+02, 1.72730E+03
 8.40282E+02, 1.57200E+03, 8.40282E+02, 1.72690E+03, 8.40282E+02, 1.71880E+03
 8.42959E+02, 1.57060E+03, 8.42959E+02, 1.71790E+03, 8.42959E+02, 1.72870E+03
 8.45636E+02, 1.57540E+03, 8.45636E+02, 1.70470E+03, 8.45636E+02, 1.72510E+03
 8.48311E+02, 1.57080E+03, 8.48311E+02, 1.70240E+03, 8.48311E+02, 1.71370E+03
 8.50986E+02, 1.57160E+03, 8.50986E+02, 1.70660E+03, 8.50986E+02, 1.72190E+03
 8.53660E+02, 1.57040E+03, 8.53660E+02, 1.68630E+03, 8.53660E+02, 1.72110E+03
 8.56333E+02, 1.57110E+03, 8.56333E+02, 1.69200E+03, 8.56333E+02, 1.71340E+03
 8.59005E+02, 1.57380E+03, 8.59005E+02, 1.68530E+03, 8.59005E+02, 1.72170E+03
 8.61676E+02, 1.57080E+03, 8.61676E+02, 1.67990E+03, 8.61676E+02, 1.71540E+03
 8.64347E+02, 1.57030E+03, 8.64347E+02, 1.68560E+03, 8.64347E+02, 1.71780E+03
 8.67016E+02, 1.57140E+03, 8.67016E+02, 1.67530E+03, 8.67016E+02, 1.71960E+03
 8.69685E+02, 1.57020E+03, 8.69685E+02, 1.67020E+03, 8.69685E+02, 1.72240E+03
 8.72353E+02, 1.57290E+03, 8.72353E+02, 1.66470E+03, 8.72353E+02, 1.72270E+03
 8.75019E+02, 1.57070E+03, 8.75019E+02, 1.66930E+03, 8.75019E+02, 1.72810E+03
 8.77685E+02, 1.57110E+03, 8.77685E+02, 1.66760E+03, 8.77685E+02, 1.72680E+03
 8.80350E+02, 1.57190E+03, 8.80350E+02, 1.66300E+03, 8.80350E+02, 1.72390E+03
 8.83015E+02, 1.57120E+03, 8.83015E+02, 1.66540E+03, 8.83015E+02, 1.72750E+03
 8.85678E+02, 1.57380E+03, 8.85678E+02, 1.66510E+03, 8.85678E+02, 1.71840E+03
 8.88341E+02, 1.57150E+03, 8.88341E+02, 1.65740E+03, 8.88341E+02, 1.72580E+03
 8.91002E+02, 1.57280E+03, 8.91002E+02, 1.65120E+03, 8.91002E+02, 1.73050E+03
 8.93663E+02, 1.57200E+03, 8.93663E+02, 1.65270E+03, 8.93663E+02, 1.72300E+03
 8.96323E+02, 1.57170E+03, 8.96323E+02, 1.65550E+03, 8.96323E+02, 1.72820E+03
 8.98982E+02, 1.57430E+03, 8.98982E+02, 1.64610E+03, 8.98982E+02, 1.73240E+03
 9.01640E+02, 1.57150E+03, 9.01640E+02, 1.64710E+03, 9.01640E+02, 1.73820E+03
 9.04297E+02, 1.57410E+03, 9.04297E+02, 1.64360E+03, 9.04297E+02, 1.73160E+03
 9.06953E+02, 1.57250E+03, 9.06953E+02, 1.64550E+03, 9.06953E+02, 1.73420E+03
 9.09609E+02, 1.57160E+03, 9.09609E+02, 1.64890E+03, 9.09609E+02, 1.72360E+03
 9.12264E+02, 1.57110E+03, 9.12264E+02, 1.64290E+03, 9.12264E+02, 1.73370E+03
 9.14917E+02, 1.57150E+03, 9.14917E+02, 1.64190E+03, 9.14917E+02, 1.73800E+03
 9.17570E+02, 1.57240E+03, 9.17570E+02, 1.64120E+03, 9.17570E+02, 1.74540E+03
 9.20222E+02, 1.57430E+03, 9.20222E+02, 1.64010E+03, 9.20222E+02, 1.74700E+03
 9.22873E+02, 1.57300E+03, 9.22873E+02, 1.64350E+03, 9.22873E+02, 1.74870E+03
 9.25524E+02, 1.57090E+03, 9.25524E+02, 1.63850E+03, 9.25524E+02, 1.77620E+03
 9.28173E+02, 1.57110E+03, 9.28173E+02, 1.64210E+03, 9.28173E+02, 1.83260E+03
 9.30822E+02, 1.57100E+03, 9.30822E+02, 1.64030E+03, 9.30822E+02, 1.90110E+03
 9.33469E+02, 1.57050E+03, 9.33469E+02, 1.64820E+03, 9.33469E+02, 1.99090E+03
 9.36116E+02, 1.57260E+03, 9.36116E+02, 1.65440E+03, 9.36116E+02, 2.07380E+03
 9.38762E+02, 1.57140E+03, 9.38762E+02, 1.65380E+03, 9.38762E+02, 2.17700E+03
 9.41407E+02, 1.56920E+03, 9.41407E+02, 1.66200E+03, 9.41407E+02, 2.28360E+03
 9.44051E+02, 1.57130E+03, 9.44051E+02, 1.65820E+03, 9.44051E+02, 2.36690E+03
 9.46695E+02, 1.56980E+03, 9.46695E+02, 1.66120E+03, 9.46695E+02, 2.32590E+03
 9.49337E+02, 1.56970E+03, 9.49337E+02, 1.65750E+03, 9.49337E+02, 2.32480E+03
 9.51979E+02, 1.57310E+03, 9.51979E+02, 1.65540E+03, 9.51979E+02, 2.33310E+03
 9.54620E+02, 1.57340E+03, 9.54620E+02, 1.65850E+03, 9.54620E+02, 2.34250E+03
 9.57260E+02, 1.57360E+03, 9.57260E+02, 1.66200E+03, 9.57260E+02, 2.33750E+03
 9.59899E+02, 1.57250E+03, 9.59899E+02, 1.66200E+03, 9.59899E+02, 2.34240E+03
 9.62537E+02, 1.57250E+03, 9.62537E+02, 1.66150E+03, 9.62537E+02, 2.34830E+03
 9.65174E+02, 1.57290E+03, 9.65174E+02, 1.65870E+03, 9.65174E+02, 2.34080E+03
 9.67811E+02, 1.57190E+03, 9.67811E+02, 1.66220E+03, 9.67811E+02, 2.36140E+03
 9.70446E+02, 1.57360E+03, 9.70446E+02, 1.65550E+03, 9.70446E+02, 2.37380E+03
 9.73081E+02, 1.57340E+03, 9.73081E+02, 1.65580E+03, 9.73081E+02, 2.37320E+03
 9.75715E+02, 1.57300E+03, 9.75715E+02, 1.65700E+03, 9.75715E+02, 2.35730E+03
 9.78348E+02, 1.57160E+03, 9.78348E+02, 1.66070E+03, 9.78348E+02, 2.36430E+03
 9.80980E+02, 1.57230E+03, 9.80980E+02, 1.65160E+03, 9.80980E+02, 2.38700E+03
 9.83612E+02, 1.57090E+03, 9.83612E+02, 1.65850E+03, 9.83612E+02, 2.37200E+03
 9.86242E+02, 1.57360E+03, 9.86242E+02, 1.65340E+03, 9.86242E+02, 2.33790E+03
 9.88872E+02, 1.57110E+03, 9.88872E+02, 1.64780E+03, 9.88872E+02, 2.29220E+03
 9.91500E+02, 1.57500E+03, 9.91500E+02, 1.64310E+03, 9.91500E+02, 2.17000E+03
 9.94128E+02, 1.57020E+03, 9.94128E+02, 1.64230E+03, 9.94128E+02, 2.08910E+03
 9.96755E+02, 1.57080E+03, 9.96755E+02, 1.63540E+03, 9.96755E+02, 1.99440E+03
 9.99382E+02, 1.57300E+03, 9.99382E+02, 1.64170E+03, 9.99382E+02, 1.94880E+03
 1.00201E+03, 1.56970E+03, 1.00201E+03, 1.63640E+03, 1.00201E+03, 1.89970E+03
 1.00463E+03, 1.57310E+03, 1.00463E+03, 1.63020E+03, 1.00463E+03, 1.86590E+03
 1.00726E+03, 1.57190E+03, 1.00726E+03, 1.62910E+03, 1.00726E+03, 1.85140E+03
 1.00988E+03, 1.57280E+03, 1.00988E+03, 1.63310E+03, 1.00988E+03, 1.81500E+03
 1.01250E+03, 1.57020E+03, 1.01250E+03, 1.62910E+03, 1.01250E+03, 1.80400E+03
 1.01512E+03, 1.57090E+03, 1.01512E+03, 1.62670E+03, 1.01512E+03, 1.79340E+03
 1.01774E+03, 1.57080E+03, 1.01774E+03, 1.62630E+03, 1.01774E+03, 1.76910E+03
 1.02036E+03, 1.57050E+03, 1.02036E+03, 1.62320E+03, 1.02036E+03, 1.76810E+03
 1.02298E+03, 1.57370E+03, 1.02298E+03, 1.62400E+03, 1.02298E+03, 1.74320E+03
 1.02560E+03, 1.57100E+03, 1.02560E+03, 1.62100E+03, 1.02560E+03, 1.73190E+03
 1.02821E+03, 1.57030E+03, 1.02821E+03, 1.62120E+03, 1.02821E+03, 1.71940E+03
 1.03083E+03, 1.57180E+03, 1.03083E+03, 1.61740E+03, 1.03083E+03, 1.71110E+03
 1.03344E+03, 1.56920E+03, 1.03344E+03, 1.61780E+03, 1.03344E+03, 1.69060E+03
 1.03606E+03, 1.57000E+03, 1.03606E+03, 1.61990E+03, 1.03606E+03, 1.68050E+03
 1.03867E+03, 1.57160E+03, 1.03867E+03, 1.62290E+03, 1.03867E+03, 1.66170E+03
 1.04128E+03, 1.57370E+03, 1.04128E+03, 1.61690E+03, 1.04128E+03, 1.65380E+03
 1.04390E+03, 1.57120E+03, 1.04390E+03, 1.61790E+03, 1.04390E+03, 1.64370E+03
 1.04651E+03, 1.57180E+03, 1.04651E+03, 1.61790E+03, 1.04651E+03, 1.64050E+03
 1.04912E+03, 1.57070E+03, 1.04912E+03, 1.61590E+03, 1.04912E+03, 1.63930E+03
 1.05173E+03, 1.57210E+03, 1.05173E+03, 1.61640E+03, 1.05173E+03, 1.63760E+03
 1.05434E+03, 1.56940E+03, 1.05434E+03, 1.61610E+03, 1.05434E+03, 1.63620E+03
 1.05694E+03, 1.57040E+03, 1.05694E+03, 1.61440E+03, 1.05694E+03, 1.63030E+03
 1.05955E+03, 1.57230E+03, 1.05955E+03, 1.61620E+03, 1.05955E+03, 1.63330E+03
 1.06216E+03, 1.56940E+03, 1.06216E+03, 1.61060E+03, 1.06216E+03, 1.62640E+03
 1.06476E+03, 1.57020E+03, 1.06476E+03, 1.62200E+03, 1.06476E+03, 1.63140E+03
 1.06736E+03, 1.56980E+03, 1.06736E+03, 1.61500E+03, 1.06736E+03, 1.62580E+03
 1.06997E+03, 1.57310E+03, 1.06997E+03, 1.61990E+03, 1.06997E+03, 1.62660E+03
 1.07257E+03, 1.57100E+03, 1.07257E+03, 1.61380E+03, 1.07257E+03, 1.62940E+03
 1.07517E+03, 1.57070E+03, 1.07517E+03, 1.61830E+03, 1.07517E+03, 1.62720E+03
 1.07777E+03, 1.56890E+03, 1.07777E+03, 1.61460E+03, 1.07777E+03, 1.62900E+03
 1.08037E+03, 1.57020E+03, 1.08037E+03, 1.61830E+03, 1.08037E+03, 1.62910E+03
 1.08297E+03, 1.57080E+03, 1.08297E+03, 1.61480E+03, 1.08297E+03, 1.63130E+03
 1.08557E+03, 1.57020E+03, 1.08557E+03, 1.61760E+03, 1.08557E+03, 1.62400E+03
 1.08817E+03, 1.56990E+03, 1.08817E+03, 1.61430E+03, 1.08817E+03, 1.62920E+03
 1.09076E+03, 1.56890E+03, 1.09076E+03, 1.61490E+03, 1.09076E+03, 1.63830E+03
 1.09336E+03, 1.57410E+03, 1.09336E+03, 1.61840E+03, 1.09336E+03, 1.62170E+03
 1.09595E+03, 1.57030E+03, 1.09595E+03, 1.61560E+03, 1.09595E+03, 1.62950E+03
 1.09855E+03, 1.57150E+03, 1.09855E+03, 1.61730E+03, 1.09855E+03, 1.62350E+03
 1.10114E+03, 1.56920E+03, 1.10114E+03, 1.62210E+03, 1.10114E+03, 1.62620E+03
 1.10373E+03, 1.56980E+03, 1.10373E+03, 1.61120E+03, 1.10373E+03, 1.62430E+03
 1.10633E+03, 1.57030E+03, 1.10633E+03, 1.61540E+03, 1.10633E+03, 1.62170E+03
 1.10892E+03, 1.56890E+03, 1.10892E+03, 1.61810E+03, 1.10892E+03, 1.62020E+03
 1.11151E+03, 1.57080E+03, 1.11151E+03, 1.61780E+03, 1.11151E+03, 1.62650E+03
 1.11410E+03, 1.57000E+03, 1.11410E+03, 1.61800E+03, 1.11410E+03, 1.63340E+03
 1.11668E+03, 1.56870E+03, 1.11668E+03, 1.61680E+03, 1.11668E+03, 1.63010E+03
 1.11927E+03, 1.56920E+03, 1.11927E+03, 1.61750E+03, 1.11927E+03, 1.62250E+03
 1.12186E+03, 1.57040E+03, 1.12186E+03, 1.61360E+03, 1.12186E+03, 1.62030E+03
 1.12444E+03, 1.56990E+03, 1.12444E+03, 1.61560E+03, 1.12444E+03, 1.62650E+03
 1.12703E+03, 1.57260E+03, 1.12703E+03, 1.61680E+03, 1.12703E+03, 1.62560E+03
 1.12961E+03, 1.56950E+03, 1.12961E+03, 1.61510E+03, 1.12961E+03, 1.62200E+03
 1.13220E+03, 1.57050E+03, 1.13220E+03, 1.61070E+03, 1.13220E+03, 1.62360E+03
 1.13478E+03, 1.56930E+03, 1.13478E+03, 1.61590E+03, 1.13478E+03, 1.61980E+03
 1.13736E+03, 1.57140E+03, 1.13736E+03, 1.61300E+03, 1.13736E+03, 1.62300E+03
 1.13994E+03, 1.57050E+03, 1.13994E+03, 1.61550E+03, 1.13994E+03, 1.62130E+03
 1.14252E+03, 1.57420E+03, 1.14252E+03, 1.61770E+03, 1.14252E+03, 1.61680E+03
 1.14510E+03, 1.57050E+03, 1.14510E+03, 1.61650E+03, 1.14510E+03, 1.62320E+03
 1.14768E+03, 1.57250E+03, 1.14768E+03, 1.61370E+03, 1.14768E+03, 1.61780E+03
 1.15025E+03, 1.57020E+03, 1.15025E+03, 1.61910E+03, 1.15025E+03, 1.62210E+03
 1.15283E+03, 1.57270E+03, 1.15283E+03, 1.61720E+03, 1.15283E+03, 1.62180E+03
 1.15541E+03, 1.57100E+03, 1.15541E+03, 1.61810E+03, 1.15541E+03, 1.61810E+03
 1.15798E+03, 1.57260E+03, 1.15798E+03, 1.61660E+03, 1.15798E+03, 1.61740E+03
 1.16056E+03, 1.57000E+03, 1.16056E+03, 1.61480E+03, 1.16056E+03, 1.61810E+03
 1.16313E+03, 1.56870E+03, 1.16313E+03, 1.61560E+03, 1.16313E+03, 1.61940E+03
 1.16570E+03, 1.56950E+03, 1.16570E+03, 1.61670E+03, 1.16570E+03, 1.61410E+03
 1.16827E+03, 1.56960E+03, 1.16827E+03, 1.61700E+03, 1.16827E+03, 1.62180E+03
 1.17084E+03, 1.56650E+03, 1.17084E+03, 1.61630E+03, 1.17084E+03, 1.61540E+03
 1.17341E+03, 1.56890E+03, 1.17341E+03, 1.61570E+03, 1.17341E+03, 1.61600E+03
 1.17598E+03, 1.57080E+03, 1.17598E+03, 1.61430E+03, 1.17598E+03, 1.61620E+03
 1.17855E+03, 1.57230E+03, 1.17855E+03, 1.61700E+03, 1.17855E+03, 1.61510E+03
 1.18112E+03, 1.57030E+03, 1.18112E+03, 1.61740E+03, 1.18112E+03, 1.62040E+03
 1.18369E+03, 1.56890E+03, 1.18369E+03, 1.61660E+03, 1.18369E+03, 1.61660E+03
 1.18625E+03, 1.56970E+03, 1.18625E+03, 1.61300E+03, 1.18625E+03, 1.61520E+03
 1.18882E+03, 1.57070E+03, 1.18882E+03, 1.61660E+03, 1.18882E+03, 1.61670E+03
 1.19138E+03, 1.57030E+03, 1.19138E+03, 1.61330E+03, 1.19138E+03, 1.61370E+03
 1.19394E+03, 1.57070E+03, 1.19394E+03, 1.61630E+03, 1.19394E+03, 1.61380E+03
 1.19651E+03, 1.57060E+03, 1.19651E+03, 1.61910E+03, 1.19651E+03, 1.61530E+03
 1.19907E+03, 1.57160E+03, 1.19907E+03, 1.61840E+03, 1.19907E+03, 1.61220E+03
 1.20163E+03, 1.57040E+03, 1.20163E+03, 1.61880E+03, 1.20163E+03, 1.61260E+03
 1.20419E+03, 1.56950E+03, 1.20419E+03, 1.61700E+03, 1.20419E+03, 1.61270E+03
 1.20675E+03, 1.56670E+03, 1.20675E+03, 1.61840E+03, 1.20675E+03, 1.61770E+03
 1.20931E+03, 1.57180E+03, 1.20931E+03, 1.62150E+03, 1.20931E+03, 1.61450E+03
 1.21187E+03, 1.57110E+03, 1.21187E+03, 1.62000E+03, 1.21187E+03, 1.61700E+03
 1.21442E+03, 1.57030E+03, 1.21442E+03, 1.61750E+03, 1.21442E+03, 1.61380E+03
 1.21698E+03, 1.57060E+03, 1.21698E+03, 1.61560E+03, 1.21698E+03, 1.61250E+03
 1.21953E+03, 1.57090E+03, 1.21953E+03, 1.61510E+03, 1.21953E+03, 1.61720E+03
 1.22209E+03, 1.56830E+03, 1.22209E+03, 1.61590E+03, 1.22209E+03, 1.61790E+03
 1.22464E+03, 1.56970E+03, 1.22464E+03, 1.61860E+03, 1.22464E+03, 1.61480E+03
 1.22719E+03, 1.56980E+03, 1.22719E+03, 1.61500E+03, 1.22719E+03, 1.61660E+03
 1.22975E+03, 1.57170E+03, 1.22975E+03, 1.61650E+03, 1.22975E+03, 1.61630E+03
 1.23230E+03, 1.57230E+03, 1.23230E+03, 1.62340E+03, 1.23230E+03, 1.61400E+03
 1.23485E+03, 1.57110E+03, 1.23485E+03, 1.62220E+03, 1.23485E+03, 1.60880E+03
 1.23740E+03, 1.56930E+03, 1.23740E+03, 1.62120E+03, 1.23740E+03, 1.61470E+03
