Radial distance r (atomic units), calculated hydrogen wavefunction from basis of four gaussians (atomic units) with 1000 points,Radial distance r (a.u.), Calculated helium wavefunction
0.5505505505505506,0.4764435680414515,1.11,0.1862648010384106
0.5555555555555556,0.4721237104621557,1.12,0.1832893656950875
0.5605605605605606,0.4678495705198434,1.13,0.1803649389773108
0.5655655655655656,0.4636210287471553,1.14,0.1774905562345252
0.5705705705705706,0.4594379357049305,1.15,0.1746652733928884
0.5755755755755756,0.4553001129755321,1.16,0.1718881664583439
0.5805805805805806,0.4512073542138448,1.17,0.1691583310330147
0.5855855855855856,0.4471594262452871,1.18,0.1664748818445207
0.5905905905905906,0.4431560702012699,1.19,0.1638369522878743
0.5955955955955956,0.4391970026835273,1.2,0.1612436939795712
0.6006006006006006,0.4352819169496458,1.21,0.1586942763235428
0.6056056056056056,0.4314104841129415,1.22,0.1561878860886284
0.6106106106106106,0.4275823543505778,1.23,0.1537237269972338
0.6156156156156156,0.423797158114482,1.24,0.151301019324865
0.6206206206206206,0.4200545073402289,1.25,0.1489189995102156
0.6256256256256256,0.4163539966495985,1.26,0.1465769197755254
0.6306306306306306,0.4126952045430039,1.27,0.1442740477569002
0.6356356356356356,0.4090776945784243,1.28,0.1420096661443186
0.6406406406406406,0.4055010165338716,1.29,0.1397830723310476
0.6456456456456456,0.4019647075507694,1.3,0.1375935780722082
0.6506506506506506,0.3984682932559441,1.31,0.1354405091522144
0.6556556556556556,0.3950112888602093,1.32,0.1333232050608567
0.6606606606606606,0.3915932002317844,1.33,0.1312410186777669
0.6656656656656657,0.3882135249430173,1.34,0.12919331596504
0.6706706706706707,0.3848717532890913,1.35,0.1271794756677709
0.6756756756756757,0.3815673692775855,1.36,0.1251988890223033
0.6806806806806807,0.3782998515879324,1.37,0.1232509594719501
0.6856856856856857,0.375068674499967,1.38,0.1213351023899912
0.6906906906906907,0.371873308790913,1.39,0.1194507448097437
0.6956956956956957,0.368713222600276,1.4,0.1175973251614973
0.7007007007007007,0.3655878822622363,1.41,0.1157742930161339
0.7057057057057057,0.3624967531052467,1.42,0.1139811088352383
0.7107107107107107,0.3594393002186388,1.43,0.1122172437275239
0.7157157157157157,0.356414989186138,1.44,0.1104821792113917
0.7207207207207207,0.3534232867862769,1.45,0.1087754069834597
0.7257257257257257,0.3504636616597712,1.46,0.1070964286928907
0.7307307307307307,0.3475355849440067,1.47,0.1054447557213654
0.7357357357357357,0.3446385308748465,1.48,0.1038199089685367
0.7407407407407407,0.3417719773560406,1.49,0.1022214186428221
0.7457457457457457,0.3389354064965724,1.5,0.1006488240573814
0.7507507507507507,0.3361283051163413,1.51,0.0991016734311429
0.7557557557557557,0.3333501652206221,1.52,0.0975795236947344
0.7607607607607607,0.3306004844437996,1.53,0.0960819403011886
0.7657657657657657,0.3278787664629129,1.54,0.0946084970412943
0.7707707707707707,0.3251845213815889,1.55,0.0931587758634603
0.7757757757757757,0.3225172660849802,1.56,0.0917323666979769
0.7807807807807807,0.319876524566355,1.57,0.0903288672855539
0.7857857857857857,0.3172618282260191,1.58,0.0889478830100135
0.7907907907907907,0.3146727161432757,1.59,0.0875890267350359
0.7957957957957957,0.3121087353221543,1.6,0.0862519186448419
0.8008008008008007,0.3095694409116606,1.61,0.0849361860887071
0.8058058058058059,0.3070543964013191,1.62,0.08364146342921
0.8108108108108109,0.3045631737927944,1.63,0.0823673918941064
0.8158158158158159,0.3020953537483924,1.64,0.081113619431741
0.8208208208208209,0.2996505257172536,1.65,0.0798798005698974
0.8258258258258259,0.2972282880400571,1.66,0.0786655962779965
0.8308308308308309,0.2948282480330625,1.67,0.0774706738325546
0.8358358358358359,0.2924500220523217,1.68,0.0762947066858188
0.8408408408408409,0.2900932355388897,1.69,0.0751373743374852
0.8458458458458459,0.2877575230458709,1.7,0.0739983622094338
0.8508508508508509,0.2854425282481278,1.71,0.0728773615233876
0.8558558558558559,0.2831479039354827,1.72,0.0717740691814289
0.8608608608608609,0.2808733119902311,1.73,0.0706881876492923
0.8658658658658659,0.2786184233497809,1.74,0.0696194248423648
0.8708708708708709,0.2763829179552271,1.75,0.0685674940143235
0.8758758758758759,0.2741664846866523,1.76,0.0675321136483379
0.8808808808808809,0.2719688212859419,1.77,0.066513007350778
0.8858858858858859,0.2697896342678834,1.78,0.0655099037473569
0.8908908908908909,0.2676286388203087,1.79,0.0645225363816485
0.8958958958958959,0.2654855586940225,1.8,0.0635506436159191
0.9009009009009008,0.2633601260832445,1.81,0.0625939685342143
0.905905905905906,0.261252081497276,1.82,0.0616522588476407
0.9109109109109108,0.2591611736240842,1.83,0.0607252668017913
0.915915915915916,0.25708715918648,1.84,0.0598127490862551
0.9209209209209208,0.2550298027915452,1.85,0.0589144667461634
0.925925925925926,0.2529888767739461,1.86,0.0580301850957166
0.9309309309309308,0.250964161033752,1.87,0.0571596736336441
0.935935935935936,0.2489554428693536,1.88,0.0563027059605496
0.9409409409409408,0.24696251680606,1.89,0.0554590596980923
0.945945945945946,0.2449851844209287,1.9,0.0546285164099592
0.950950950950951,0.2430232541643638,1.91,0.0538108615245838
0.955955955955956,0.2410765411789959,1.92,0.0530058842595699
0.960960960960961,0.2391448671163363,1.93,0.0522133775477732
0.965965965965966,0.2372280599516772,1.94,0.0514331379650053
0.970970970970971,0.2353259537976865,1.95,0.0506649656593157
0.975975975975976,0.2334383887171277,1.96,0.0499086642818179
0.980980980980981,0.2315652105351131,1.97,0.0491640409190149
0.985985985985986,0.2297062706512753,1.98,0.0484309060265952
0.990990990990991,0.2278614258522273,1.99,0.0477090733646571
0.995995995995996,0.2260305381246553,2.0,0.0469983599343289
1.001001001001001,0.2242134744693709,2.01,0.0462985859157552
1.006006006006006,0.2224101067166312,2.02,0.0456095746074069
1.011011011011011,0.2206203113430136,2.03,0.0449311523666932
1.016016016016016,0.2188439692901139,2.04,0.0442631485518362
1.021021021021021,0.2170809657853193,2.05,0.0436053954649843
1.026026026026026,0.2153311901648879,2.06,0.0429577282965295
1.031031031031031,0.2135945356995505,2.07,0.0423199850706026
1.036036036036036,0.211870899422832,2.08,0.0416920065917183
1.0410410410410411,0.2101601819622747,2.09,0.0410736363925428
1.046046046046046,0.2084622873737286,2.1,0.0404647206827557
1.0510510510510511,0.2067771229788587,2.11,0.0398651082989827
1.056056056056056,0.2051045992060041,2.12,0.0392746506557719
1.0610610610610611,0.203444629434511,2.13,0.0386932016975922
1.066066066066066,0.2017971298426444,2.14,0.038120617851825
1.0710710710710711,0.2001620192591734,2.15,0.0375567579827322
1.076076076076076,0.1985392190187101,2.16,0.0370014833463711
1.0810810810810811,0.1969286528208718,2.17,0.0364546575464402
1.086086086086086,0.1953302465933214,2.18,0.0359161464910311
1.0910910910910911,0.1937439283587333,2.19,0.0353858183502659
1.0960960960960962,0.1921696281057201,2.2,0.0348635435148
1.1011011011011012,0.1906072776637433,2.21,0.0343491945551719
1.1061061061061062,0.1890568105820265,2.22,0.0338426461819771
1.1111111111111112,0.187518162012475,2.23,0.0333437752068519
1.1161161161161162,0.1859912685966014,2.24,0.0328524605042441
1.1211211211211212,0.1844760683564471,2.25,0.0323685829739568
1.1261261261261262,0.182972500589483,2.26,0.0318920255044433
1.1311311311311312,0.1814805057674628,2.27,0.0314226729368421
1.1361361361361362,0.1800000254392018,2.28,0.0309604120297294
1.1411411411411412,0.1785310021372402,2.29,0.0305051314245761
1.1461461461461462,0.1770733792883517,2.3000000000000003,0.0300567216118936
1.1511511511511512,0.1756271011278473,2.31,0.0296150748980527
1.1561561561561562,0.1741921126176241,2.32,0.0291800853727581
1.1611611611611612,0.1727683593678987,2.33,0.0287516488771696
1.1661661661661662,0.171355787562569,2.34,0.0283296629726488
1.1711711711711712,0.1699543438881348,2.35,0.0279140269101237
1.1761761761761762,0.1685639754661146,2.36,0.0275046416000528
1.1811811811811812,0.1671846297888828,2.37,0.0271014095829792
1.1861861861861862,0.1658162546588585,2.38,0.0267042350006585
1.1911911911911912,0.1644587981309677,2.39,0.0263130235677507
1.1961961961961962,0.1631122084583024,2.4,0.0259276825440626
1.2012012012012012,0.1617764340408972,2.41,0.0255481207073278
1.2062062062062062,0.1604514233775432,2.42,0.0251742483265158
1.2112112112112112,0.1591371250205578,2.43,0.0248059771356538
1.2162162162162162,0.1578334875334266,2.44,0.0244432203081551
1.2212212212212212,0.1565404594512356,2.45,0.0240858924316408
1.2262262262262262,0.1552579892438097,2.46,0.0237339094832432
1.2312312312312312,0.153986025281473,2.47,0.0233871888053838
1.2362362362362362,0.152724515803348,2.48,0.0230456490820124
1.2412412412412412,0.1514734088881089,2.49,0.0227092103152989
1.2462462462462462,0.1502326524271064,2.5,0.0223777938027697
1.2512512512512513,0.1490021940997811,2.51,0.0220513221148761
1.2562562562562565,0.1477819813512811,2.52,0.0217297190729889
1.2612612612612613,0.1465719613722058,2.53,0.0214129097278071
1.2662662662662665,0.1453720810803921,2.54,0.0211008203381743
1.2712712712712713,0.1441822871046636,2.5500000000000003,0.0207933783502941
1.2762762762762765,0.143002525770466,2.56,0.0204905123773343
1.2812812812812813,0.141832743087309,2.57,0.0201921521794135
1.2862862862862865,0.1406728847379397,2.58,0.0198982286439624
1.2912912912912913,0.1395228960691715,2.59,0.0196086737664501
1.2962962962962965,0.138382722084297,2.6,0.0193234206314701
1.3013013013013013,0.1372523074370105,2.61,0.0190424033941772
1.3063063063063065,0.1361315964267702,2.62,0.0187655572620679
1.3113113113113113,0.1350205329955332,2.63,0.0184928184770984
1.3163163163163163,0.1339190607257923,2.64,0.0182241242981326
1.3213213213213213,0.1328271228398524,2.65,0.0179594129837132
1.3263263263263263,0.13174466220028,2.66,0.0176986237751494
1.3313313313313313,0.1306716213114641,2.67,0.017441696879915
1.3363363363363363,0.1296079423222292,2.68,0.0171885734553508
1.3413413413413413,0.1285535670294386,2.69,0.0169391955926644
1.3463463463463463,0.127508436882534,2.7,0.0166935063012215
1.351351351351351,0.1264724929889526,2.71,0.0164514494931246
1.3563563563563563,0.1254456761203707,2.72,0.01621296996807
1.361361361361361,0.1244279267197198,2.73,0.0159780133984802
1.3663663663663663,0.123419184908926,2.74,0.0157465263149063
1.371371371371371,0.1224193904973223,2.75,0.0155184560916924
1.3763763763763763,0.121428482990689,2.76,0.0152937509328998
1.3813813813813811,0.120446401600875,2.77,0.0150723598584838
1.3863863863863863,0.1194730852559566,2.78,0.0148542326907191
1.3913913913913911,0.1185084726108917,2.79,0.014639320040869
1.3963963963963963,0.1175525020586298,2.8000000000000003,0.014427573296092
1.4014014014014011,0.1166051117416364,2.81,0.0142189446065841
1.4064064064064064,0.1156662395637969,2.82,0.0140133868729485
1.4114114114114114,0.1147358232026616,2.83,0.0138108537337917
1.4164164164164164,0.1138138001219995,2.84,0.0136112995535394
1.4214214214214214,0.112900107584626,2.85,0.013414679410468
1.4264264264264264,0.1119946826654731,2.86,0.0132209490849494
1.4314314314314314,0.111097462264873,2.87,0.0130300650479022
1.4364364364364364,0.1102083831220241,2.88,0.0128419844494477
1.4414414414414414,0.1093273818286136,2.89,0.012656665107765
1.4464464464464464,0.1084543948425686,2.9,0.012474065498143
1.4514514514514514,0.1075893585019116,2.91,0.012294144742224
1.4564564564564564,0.1067322090386958,2.92,0.0121168625974356
1.4614614614614614,0.105882882592998,2.93,0.0119421794466086
1.4664664664664664,0.1050413152269463,2.94,0.0117700562877748
1.4714714714714714,0.1042074429387624,2.95,0.0116004547241445
1.4764764764764764,0.1033812016768003,2.96,0.011433336954257
1.4814814814814814,0.1025625273535596,2.97,0.011268665762303
1.4864864864864864,0.1017513558596601,2.98,0.0111064045086155
1.4914914914914914,0.1009476230777567,2.99,0.0109465171203242
1.4964964964964964,0.1001512648963825,3.0,0.0107889680821731
1.5015015015015014,0.0993622172237029,3.01,0.0106337224274957
1.5065065065065064,0.0985804160011685,3.02,0.010480745729346
1.5115115115115114,0.0978057972170521,3.03,0.010330004091783
1.5165165165165164,0.097038296919859,3.04,0.0101814641413044
1.5215215215215214,0.0962778512315977,3.0500000000000003,0.0100350930184273
1.5265265265265264,0.0955243963609013,3.06,0.0098908583694139
1.5315315315315314,0.0947778686159888,3.0700000000000003,0.0097487283381384
1.5365365365365364,0.0940382044174575,3.08,0.0096086715580929
1.5415415415415414,0.0933053403108973,3.09,0.00947065714453
1.5465465465465464,0.0925792129793184,3.1,0.0093346546867392
1.5515515515515514,0.0918597592553864,3.11,0.009200634240455
1.5565565565565564,0.0911469161334563,3.12,0.0090685663203935
1.5615615615615617,0.0904406207813994,3.13,0.0089384218929162
1.5665665665665665,0.0897408105522181,3.14,0.0088101723688179
1.5715715715715717,0.0890474229954424,3.15,0.0086837895962367
1.5765765765765765,0.0883603958683036,3.16,0.0085592458536839
1.5815815815815817,0.0876796671466802,3.17,0.0084365138431912
1.5865865865865865,0.0870051750358139,3.18,0.0083155666835743
1.5915915915915917,0.0863368579807896,3.19,0.0081963779038084
1.5965965965965965,0.0856746546767785,3.2,0.0080789214365165
1.6016016016016017,0.0850185040790405,3.21,0.0079631716115666
1.6066066066066067,0.0843683454126837,3.22,0.0078491031497754
1.6116116116116117,0.0837241181821797,3.23,0.0077366911567185
1.6166166166166167,0.0830857621806312,3.24,0.0076259111166438
1.6216216216216215,0.0824532174987939,3.25,0.007516738886486
1.6266266266266267,0.0818264245338474,3.26,0.0074091506899821
1.6316316316316315,0.0812053239979188,3.27,0.0073031231118831
1.6366366366366367,0.0805898569263545,3.28,0.007198633092264
1.6416416416416415,0.0799799646857433,3.29,0.007095657920927
1.6466466466466467,0.0793755889816886,3.3000000000000003,0.0069941752318979
1.6516516516516515,0.0787766718663315,3.31,0.0068941629980139
1.6566566566566567,0.0781831557456239,3.3200000000000003,0.0067955995256009
1.6616616616616615,0.077594983386354,3.33,0.0066984634492388
1.6666666666666667,0.0770120979229234,3.34,0.006602733726613
1.6716716716716715,0.0764344428638783,3.35,0.0065083896334513
1.6766766766766767,0.0758619620981954,3.36,0.0064154107585439
1.6816816816816818,0.0752945999013241,3.37,0.006323776998845
1.6866866866866868,0.0747323009409868,3.38,0.0062334685546559
1.6916916916916918,0.0741750102827386,3.39,0.0061444659248863
1.6966966966966968,0.073622673395289,3.4,0.0060567499023932
1.7017017017017018,0.0730752361555872,3.41,0.0059703015693973
1.7067067067067068,0.0725326448536733,3.42,0.0058851022929729
1.7117117117117118,0.0719948461972976,3.43,0.0058011337206127
1.7167167167167168,0.071461787316311,3.44,0.0057183777758639
1.7217217217217218,0.0709334157668276,3.45,0.0056368166540369
1.7267267267267268,0.0704096795351638,3.46,0.0055564328179824
1.7317317317317318,0.0698905270415558,3.47,0.0054772089939382
1.7367367367367368,0.0693759071436576,3.48,0.005399128167443
1.7417417417417418,0.0688657691398243,3.49,0.0053221735793168
1.7467467467467468,0.0683600627721808,3.5,0.0052463287217064
1.7517517517517518,0.0678587382294821,3.51,0.005171577334195
1.7567567567567568,0.0673617461497657,3.52,0.0050979033999748
1.7617617617617618,0.0668690376228003,3.53,0.005025291142081
1.7667667667667668,0.066380564192334,3.54,0.0049537250196877
1.7717717717717718,0.0658962778581449,3.5500000000000003,0.0048831897244625
1.7767767767767768,0.0654161310778979,3.56,0.0048136701769803
1.7817817817817818,0.06494007676881,3.5700000000000003,0.0047451515231948
1.7867867867867868,0.0644680683091283,3.58,0.0046776191309668
1.7917917917917918,0.0640000595394241,3.59,0.0046110585866485
1.7967967967967968,0.0635360047637052,3.6,0.0045454556917219
1.8018018018018016,0.0630758587503522,3.61,0.0044807964594921
1.8068068068068068,0.0626195767328793,3.62,0.0044170671118326
1.811811811811812,0.0621671144105254,3.63,0.0043542540759839
1.8168168168168168,0.0617184279486782,3.64,0.0042923439814017
1.8218218218218216,0.0612734739791337,3.65,0.0042313236566573
1.8268268268268268,0.0608322096001963,3.66,0.0041711801263858
1.831831831831832,0.0603945923766224,3.67,0.0041119006082841
1.8368368368368369,0.0599605803394095,3.68,0.0040534725101561
1.8418418418418416,0.0595301319854369,3.69,0.0039958834270056
1.8468468468468469,0.0591032062769594,3.7,0.0039391211381744
1.851851851851852,0.0586797626409577,3.71,0.0038831736045271
1.8568568568568569,0.0582597609683509,3.72,0.0038280289656795
1.8618618618618616,0.0578431616130709,3.73,0.0037736755372717
1.8668668668668669,0.0574299253910066,3.74,0.0037201018082844
1.871871871871872,0.0570200135788168,3.75,0.0036672964383969
1.8768768768768769,0.0566133879126191,3.76,0.0036152482553879
1.8818818818818817,0.0562100105865556,3.77,0.0035639462525767
1.8868868868868869,0.0558098442512394,3.78,0.0035133795863054
1.891891891891892,0.0554128520120868,3.79,0.0034635375734602
1.896896896896897,0.0550189974275355,3.8,0.0034144096890322
1.901901901901902,0.054628244507155,3.81,0.0033659855637163
1.906906906906907,0.0542405577096509,3.82,0.0033182549815485
1.911911911911912,0.0538559019407666,3.83,0.0032712078775797
1.916916916916917,0.0534742425510858,3.84,0.0032248343355864
1.921921921921922,0.0530955453337394,3.85,0.0031791245858174
1.926926926926927,0.0527197765220185,3.86,0.0031340690027753
1.931931931931932,0.0523469027868986,3.87,0.0030896581030339
1.936936936936937,0.0519768912344765,3.88,0.0030458825430885
1.941941941941942,0.051609709403324,3.89,0.0030027331172407
1.946946946946947,0.0512453252617604,3.9,0.0029602007555164
1.951951951951952,0.0508837072050482,3.91,0.0029182765216152
1.956956956956957,0.0505248240525132,3.92,0.0028769516108933
1.961961961961962,0.0501686450445942,3.93,0.0028362173483772
1.966966966966967,0.0498151398398222,3.94,0.0027960651868077
1.971971971971972,0.049464278511735,3.95,0.0027564867047159
1.976976976976977,0.0491160315457278,3.96,0.0027174736045277
1.981981981981982,0.0487703698358438,3.97,0.0026790177106987
1.986986986986987,0.0484272646815072,3.98,0.0026411109678777
1.991991991991992,0.0480866877842004,3.99,0.0026037454390991
1.996996996996997,0.0477486112440901,4.0,0.0025669133040027
2.002002002002002,0.0474130075566024,4.01,0.0025306068570817
2.007007007007007,0.0470798496089518,4.0200000000000005,0.002494818505958
2.012012012012012,0.046749110676625,4.03,0.0024595407696835
2.017017017017017,0.0464207644198223,4.04,0.0024247662770682
2.022022022022022,0.04609478487986,4.05,0.0023904877650343
2.027027027027027,0.0457711464755351,4.0600000000000005,0.0023566980769954
2.032032032032032,0.0454498239994548,4.07,0.0023233901612608
2.037037037037037,0.0451307926143339,4.08,0.0022905570694649
2.042042042042042,0.0448140278492613,4.09,0.0022581919550198
2.047047047047047,0.044499505595939,4.1,0.0022262880715931
2.052052052052052,0.0441872021048942,4.11,0.002194838771608
2.057057057057057,0.0438770939816689,4.12,0.0021638375047673
2.062062062062062,0.0435691581829865,4.13,0.0021332778165996
2.067067067067067,0.0432633720128996,4.14,0.0021031533470281
2.072072072072072,0.04295971311892,4.15,0.0020734578289614
2.077077077077077,0.0426581594881326,4.16,0.0020441850869058
2.0820820820820822,0.0423586894432964,4.17,0.0020153290355992
2.0870870870870872,0.0420612816389331,4.18,0.0019868836786656
2.092092092092092,0.0417659150574055,4.19,0.0019588431072904
2.097097097097097,0.0414725690049887,4.2,0.001931201498916
2.1021021021021022,0.0411812231079336,4.21,0.0019039531159575
2.1071071071071072,0.0408918573085266,4.22,0.0018770923045377
2.112112112112112,0.0406044518611462,4.23,0.001850613493242
2.1171171171171173,0.0403189873283177,4.24,0.0018245111918915
2.1221221221221223,0.0400354445767685,4.25,0.0017987799903359
2.1271271271271277,0.0397538047734854,4.26,0.0017734145572639
2.1321321321321323,0.0394740493817745,4.2700000000000005,0.0017484096390324
2.1371371371371373,0.0391961601573263,4.28,0.0017237600585129
2.1421421421421423,0.038920119144287,4.29,0.0016994607139564
2.1471471471471477,0.0386459086713371,4.3,0.0016755065778747
2.1521521521521523,0.0383735113477793,4.3100000000000005,0.0016518926959389
2.1571571571571573,0.0381029100596362,4.32,0.0016286141858956
2.1621621621621623,0.0378340879657598,4.33,0.0016056662364979
2.1671671671671677,0.0375670284939538,4.34,0.0015830441064545
2.1721721721721723,0.0373017153371094,4.3500000000000005,0.001560743123393
2.1771771771771773,0.037038132449357,4.36,0.0015387586828404
2.1821821821821823,0.0367762640422333,4.37,0.0015170862472182
2.1871871871871877,0.0365160945808661,4.38,0.0014957213448531
2.1921921921921923,0.0362576087801777,4.39,0.0014746595690023
2.1971971971971973,0.036000791601107,4.4,0.0014538965768944
2.2022022022022023,0.035745628246853,4.41,0.0014334280887838
2.2072072072072078,0.0354921041591384,4.42,0.00141324988702
2.2122122122122123,0.0352402050144963,4.43,0.0013933578151313
2.2172172172172173,0.0349899167205798,4.44,0.0013737477769211
2.2222222222222223,0.0347412254124953,4.45,0.0013544157355794
2.2272272272272278,0.0344941174491605,4.46,0.0013353577128069
2.2322322322322323,0.0342485794096885,4.47,0.0013165697879519
2.2372372372372373,0.0340045980897975,4.48,0.0012980480971614
