Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
9.50000000e+00, -2.93349780e+00, 8.76000000e+02
9.60000000e+00, -2.93394127e+00, 8.78000000e+02
9.70000000e+00, -2.93440128e+00, 8.80000000e+02
9.80000000e+00, -2.93826726e+00, 8.88000000e+02
9.90000000e+00, -2.93540388e+00, 8.84000000e+02
1.00000000e+01, -2.93534645e+00, 8.85000000e+02
1.01000000e+01, -2.92905374e+00, 8.75000000e+02
1.02000000e+01, -2.93067320e+00, 8.79000000e+02
1.03000000e+01, -2.92374440e+00, 8.68000000e+02
1.04000000e+01, -2.92535605e+00, 8.72000000e+02
1.05000000e+01, -2.92641479e+00, 8.75000000e+02
1.06000000e+01, -2.92919580e+00, 8.81000000e+02
1.07000000e+01, -2.92460954e+00, 8.74000000e+02
1.08000000e+01, -2.92512308e+00, 8.76000000e+02
1.09000000e+01, -2.92565042e+00, 8.78000000e+02
1.10000000e+01, -2.92334223e+00, 8.75000000e+02
1.11000000e+01, -2.92387682e+00, 8.77000000e+02
1.12000000e+01, -2.91927873e+00, 8.70000000e+02
1.13000000e+01, -2.91635287e+00, 8.66000000e+02
1.14000000e+01, -2.91282107e+00, 8.61000000e+02
1.15000000e+01, -2.91158361e+00, 8.60000000e+02
1.16000000e+01, -2.90976371e+00, 8.58000000e+02
1.17000000e+01, -2.90793672e+00, 8.56000000e+02
1.18000000e+01, -2.90960326e+00, 8.60000000e+02
1.19000000e+01, -2.91012562e+00, 8.62000000e+02
1.20000000e+01, -2.91181649e+00, 8.66000000e+02
1.21000000e+01, -2.91121703e+00, 8.66000000e+02
1.22000000e+01, -2.91636311e+00, 8.76000000e+02
1.23000000e+01, -2.91980009e+00, 8.83000000e+02
1.24000000e+01, -2.92268029e+00, 8.89000000e+02
1.25000000e+01, -2.92445054e+00, 8.93000000e+02
1.26000000e+01, -2.92231530e+00, 8.90000000e+02
1.27000000e+01, -2.92241435e+00, 8.91000000e+02
1.28000000e+01, -2.91971025e+00, 8.87000000e+02
1.29000000e+01, -2.91867784e+00, 8.86000000e+02
1.30000000e+01, -2.92214351e+00, 8.93000000e+02
1.31000000e+01, -2.91833745e+00, 8.87000000e+02
1.32000000e+01, -2.91618582e+00, 8.84000000e+02
1.33000000e+01, -2.91741274e+00, 8.87000000e+02
1.34000000e+01, -2.91752533e+00, 8.88000000e+02
1.35000000e+01, -2.91708211e+00, 8.88000000e+02
1.36000000e+01, -2.91888936e+00, 8.92000000e+02
1.37000000e+01, -2.91622199e+00, 8.88000000e+02
1.38000000e+01, -2.91747481e+00, 8.91000000e+02
1.39000000e+01, -2.91929630e+00, 8.95000000e+02
1.40000000e+01, -2.92057044e+00, 8.98000000e+02
1.41000000e+01, -2.92627372e+00, 9.09000000e+02
1.42000000e+01, -2.92428249e+00, 9.06000000e+02
1.43000000e+01, -2.92558780e+00, 9.09000000e+02
1.44000000e+01, -2.92744959e+00, 9.13000000e+02
1.45000000e+01, -2.92931934e+00, 9.17000000e+02
1.46000000e+01, -2.92738211e+00, 9.14000000e+02
1.47000000e+01, -2.92980192e+00, 9.19000000e+02
1.48000000e+01, -2.92951461e+00, 9.19000000e+02
1.49000000e+01, -2.92759436e+00, 9.16000000e+02
1.50000000e+01, -2.92511175e+00, 9.12000000e+02
1.51000000e+01, -2.92589999e+00, 9.14000000e+02
1.52000000e+01, -2.92614897e+00, 9.15000000e+02
1.53000000e+01, -2.92640292e+00, 9.16000000e+02
1.54000000e+01, -2.92392800e+00, 9.12000000e+02
1.55000000e+01, -2.92908154e+00, 9.22000000e+02
1.56000000e+01, -2.93044383e+00, 9.25000000e+02
1.57000000e+01, -2.92965312e+00, 9.24000000e+02
1.58000000e+01, -2.92668842e+00, 9.19000000e+02
1.59000000e+01, -2.92967492e+00, 9.25000000e+02
1.60000000e+01, -2.92834750e+00, 9.23000000e+02
1.61000000e+01, -2.93079836e+00, 9.28000000e+02
1.62000000e+01, -2.92678045e+00, 9.21000000e+02
1.63000000e+01, -2.92489513e+00, 9.18000000e+02
1.64000000e+01, -2.92843085e+00, 9.25000000e+02
1.65000000e+01, -2.92548313e+00, 9.20000000e+02
1.66000000e+01, -2.92739966e+00, 9.24000000e+02
1.67000000e+01, -2.92878233e+00, 9.27000000e+02
1.68000000e+01, -2.92963296e+00, 9.29000000e+02
1.69000000e+01, -2.93156201e+00, 9.33000000e+02
1.70000000e+01, -2.93615687e+00, 9.42000000e+02
1.71000000e+01, -2.93704158e+00, 9.44000000e+02
1.72000000e+01, -2.93154821e+00, 9.34000000e+02
1.73000000e+01, -2.92866587e+00, 9.29000000e+02
1.74000000e+01, -2.93006506e+00, 9.32000000e+02
1.75000000e+01, -2.93039889e+00, 9.33000000e+02
1.76000000e+01, -2.92966455e+00, 9.32000000e+02
1.77000000e+01, -2.92785245e+00, 9.29000000e+02
1.78000000e+01, -2.93193168e+00, 9.37000000e+02
1.79000000e+01, -2.93228223e+00, 9.38000000e+02
1.80000000e+01, -2.93210344e+00, 9.38000000e+02
1.81000000e+01, -2.93511376e+00, 9.44000000e+02
1.82000000e+01, -2.93069922e+00, 9.36000000e+02
1.83000000e+01, -2.93371241e+00, 9.42000000e+02
1.84000000e+01, -2.93460961e+00, 9.44000000e+02
1.85000000e+01, -2.93919738e+00, 9.53000000e+02
1.86000000e+01, -2.93432290e+00, 9.44000000e+02
1.87000000e+01, -2.93575444e+00, 9.47000000e+02
1.88000000e+01, -2.93349243e+00, 9.43000000e+02
1.89000000e+01, -2.92800581e+00, 9.33000000e+02
1.90000000e+01, -2.93102748e+00, 9.39000000e+02
1.91000000e+01, -2.93245675e+00, 9.42000000e+02
1.92000000e+01, -2.93123763e+00, 9.40000000e+02
1.93000000e+01, -2.93107650e+00, 9.40000000e+02
1.94000000e+01, -2.93197890e+00, 9.42000000e+02
1.95000000e+01, -2.93235541e+00, 9.43000000e+02
1.96000000e+01, -2.93061172e+00, 9.40000000e+02
1.97000000e+01, -2.92938891e+00, 9.38000000e+02
1.98000000e+01, -2.93029142e+00, 9.40000000e+02
1.99000000e+01, -2.92907021e+00, 9.38000000e+02
2.00000000e+01, -2.93050599e+00, 9.41000000e+02
2.01000000e+01, -2.93035396e+00, 9.41000000e+02
2.02000000e+01, -2.92860609e+00, 9.38000000e+02
2.03000000e+01, -2.92898042e+00, 9.39000000e+02
2.04000000e+01, -2.92775930e+00, 9.37000000e+02
2.05000000e+01, -2.92438781e+00, 9.31000000e+02
2.06000000e+01, -2.92475020e+00, 9.32000000e+02
2.07000000e+01, -2.93309011e+00, 9.48000000e+02
2.08000000e+01, -2.93190516e+00, 9.46000000e+02
2.09000000e+01, -2.93018357e+00, 9.43000000e+02
2.10000000e+01, -2.92844996e+00, 9.40000000e+02
2.11000000e+01, -2.93042579e+00, 9.44000000e+02
2.12000000e+01, -2.93028923e+00, 9.44000000e+02
2.13000000e+01, -2.92589796e+00, 9.36000000e+02
2.14000000e+01, -2.92574270e+00, 9.36000000e+02
2.15000000e+01, -2.92984352e+00, 9.44000000e+02
2.16000000e+01, -2.93235081e+00, 9.49000000e+02
2.17000000e+01, -2.93064653e+00, 9.46000000e+02
2.18000000e+01, -2.93367985e+00, 9.52000000e+02
2.19000000e+01, -2.93879173e+00, 9.62000000e+02
2.20000000e+01, -2.93609776e+00, 9.57000000e+02
2.21000000e+01, -2.93912288e+00, 9.63000000e+02
2.22000000e+01, -2.94059279e+00, 9.66000000e+02
2.23000000e+01, -2.94412500e+00, 9.73000000e+02
2.24000000e+01, -2.94764788e+00, 9.80000000e+02
2.25000000e+01, -2.94658133e+00, 9.78000000e+02
2.26000000e+01, -2.94396910e+00, 9.73000000e+02
2.27000000e+01, -2.94442216e+00, 9.74000000e+02
2.28000000e+01, -2.94641332e+00, 9.78000000e+02
2.29000000e+01, -2.94840535e+00, 9.82000000e+02
2.30000000e+01, -2.94938298e+00, 9.84000000e+02
2.31000000e+01, -2.95036315e+00, 9.86000000e+02
2.32000000e+01, -2.94677028e+00, 9.79000000e+02
2.33000000e+01, -2.94416437e+00, 9.74000000e+02
2.34000000e+01, -2.94564551e+00, 9.77000000e+02
2.35000000e+01, -2.94200050e+00, 9.70000000e+02
2.36000000e+01, -2.94706394e+00, 9.80000000e+02
2.37000000e+01, -2.94548818e+00, 9.77000000e+02
2.38000000e+01, -2.94748199e+00, 9.81000000e+02
2.39000000e+01, -2.94488676e+00, 9.76000000e+02
2.40000000e+01, -2.94790030e+00, 9.82000000e+02
2.41000000e+01, -2.94989498e+00, 9.86000000e+02
2.42000000e+01, -2.94681384e+00, 9.80000000e+02
2.43000000e+01, -2.94626163e+00, 9.79000000e+02
2.44000000e+01, -2.94876509e+00, 9.84000000e+02
2.45000000e+01, -2.94923991e+00, 9.85000000e+02
2.46000000e+01, -2.94717447e+00, 9.81000000e+02
2.47000000e+01, -2.94611507e+00, 9.79000000e+02
2.48000000e+01, -2.94607211e+00, 9.79000000e+02
2.49000000e+01, -2.94192674e+00, 9.71000000e+02
2.50000000e+01, -2.94443570e+00, 9.76000000e+02
2.51000000e+01, -2.94541066e+00, 9.78000000e+02
2.52000000e+01, -2.94177474e+00, 9.71000000e+02
2.53000000e+01, -2.93601976e+00, 9.60000000e+02
2.54000000e+01, -2.93905436e+00, 9.66000000e+02
2.55000000e+01, -2.93950360e+00, 9.67000000e+02
2.56000000e+01, -2.93788420e+00, 9.64000000e+02
2.57000000e+01, -2.93729365e+00, 9.63000000e+02
2.58000000e+01, -2.93409529e+00, 9.57000000e+02
2.59000000e+01, -2.93609562e+00, 9.61000000e+02
2.60000000e+01, -2.93809567e+00, 9.65000000e+02
2.61000000e+01, -2.93647033e+00, 9.62000000e+02
2.62000000e+01, -2.93639611e+00, 9.62000000e+02
2.63000000e+01, -2.93684166e+00, 9.63000000e+02
2.64000000e+01, -2.93884252e+00, 9.67000000e+02
2.65000000e+01, -2.93722537e+00, 9.64000000e+02
2.66000000e+01, -2.93559775e+00, 9.61000000e+02
2.67000000e+01, -2.93500241e+00, 9.60000000e+02
2.68000000e+01, -2.92969032e+00, 9.50000000e+02
2.69000000e+01, -2.93169546e+00, 9.54000000e+02
2.70000000e+01, -2.92845335e+00, 9.48000000e+02
2.71000000e+01, -2.92940820e+00, 9.50000000e+02
2.72000000e+01, -2.93141440e+00, 9.54000000e+02
