All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,79.97715635802625,57.0,66.5,1.5
1.0,80.69962420154593,79.90020836894502,58.0,66.0,1.5
2.0,80.6202674744245,79.81652989102497,63.0,64.5,1.5
3.0,80.53411263610865,79.72614578889875,68.0,62.0,1.5
4.0,80.44118521613636,79.62908291974095,79.0,58.0,1.5
5.0,80.34151275090771,79.52537012528778,241.0,50.0,1.5
6.0,80.23512477552525,79.41503822326675,267.0,59.5,1.5
7.0,80.12205281504212,79.2981199982394,284.0,65.0,1.5
8.0,80.00233037512052,79.17465019185957,289.0,67.0,1.5
9.0,79.8759929321032,79.04466549255005,295.0,69.0,1.5
10.0,79.74307792250114,78.90820452460078,326.0,77.5,1.5
11.0,79.6036247319002,78.7653078366919,338.0,80.0,1.5
12.0,79.4576746832904,78.6160178898449,370.0,80.25,0.5
13.0,79.30527102482102,78.46037904480549,385.0,77.5,0.5
14.0,79.14645891698521,78.29843754886213,386.0,77.0,0.5
15.0,78.98128541923795,78.13024152210377,389.0,76.75,0.5
16.0,78.80979947605137,77.95584094312133,392.0,75.75,0.5
17.0,78.63205190241139,77.77528763415668,394.0,75.0,0.5
18.0,78.44809536876019,77.58863524570407,395.0,74.75,0.5
19.0,78.25798438538882,77.39593924056805,405.0,71.75,0.5
20.0,78.06177528628456,77.19725687738305,418.0,67.375,0.5
21.0,77.85952621243803,76.99264719359923,423.0,65.375,0.5
22.0,77.65129709461469,76.78217098793976,428.0,63.5,0.5
23.0,77.43714963559611,76.56589080233495,429.0,63.25,0.5
24.0,77.21714729189608,76.34387090333803,436.0,60.5,0.5
25.0,76.99135525495707,76.11617726302883,437.0,60.0,0.5
26.0,76.75984043183263,75.8828775394104,438.0,59.75,0.5
27.0,76.52267142536134,75.6440410563049,441.0,58.625,0.5
28.0,76.27991851383834,75.39973878275424,444.0,57.375,0.5
29.0,76.03165363019036,75.15004331193212,472.0,46.75,0.5
30.0,75.77795034066041,74.89502883957326,477.0,45.0,0.5
31.0,75.51888382300857,74.6347711419265,498.0,39.0,0.5
32.0,75.25453084423509,74.36934755323841,512.0,36.0,0.5
33.0,74.98496973783281,74.09883694277363,520.0,35.0,0.5
34.0,74.71028038057518,73.82331969137937,528.0,34.5,0.5
35.0,74.430544168847,73.54287766760069,529.0,34.5,0.5
36.0,74.14584399452505,73.25759420335356,530.0,34.25,0.5
37.0,73.85626422041527,72.96755406916333,531.0,34.25,0.5
38.0,73.56189065525439,72.67284344897551,532.0,34.25,0.5
39.0,73.26281052828288,72.3735499145467,536.0,34.25,0.5
40.0,72.95911246339702,72.06976239942307,550.0,34.75,0.5
41.0,72.6508864528878,71.76157117251424,551.0,35.0,0.5
42.0,72.33822383077418,71.44906781127027,553.0,35.25,0.5
43.0,72.0212172457389,71.13234517446996,564.0,36.75,0.5
44.0,71.69996063367469,70.81149737462829,577.0,39.75,0.5
45.0,71.37454918984896,70.48661975003141,581.0,40.75,0.5
46.0,71.0450793406955,70.15780883640728,590.0,43.75,0.5
47.0,70.71164871524113,69.82516233824067,593.0,44.25,0.5
48.0,70.3743561161762,69.4887790997407,594.0,44.5,0.5
49.0,70.0333014905772,69.14875907546977,598.0,46.0,0.5
50.0,69.68858590029026,68.80520330064269,599.0,46.25,0.5
51.0,69.34031149198432,68.45821386110441,624.0,55.25,0.5
52.0,68.98858146688296,68.10789386299591,,,
53.0,68.63350005018357,67.7543474021166,,,
54.0,68.27517246017322,67.39767953299284,,,
55.0,67.91370487705015,67.03799623766152,,,
56.0,67.54920441146035,66.67540439417803,,,
57.0,67.18177907275835,66.31001174485804,,,
58.0,66.81153773700167,65.94192686426233,,,
59.0,66.4385901146886,65.57125912693446,,,
60.0,66.06304671824847,65.19811867490075,,,
61.0,65.68501882929453,64.822616384942,,,
62.0,65.30461846564882,64.44486383564711,,,
63.0,64.92195834814878,64.06497327425811,,,
64.0,64.53715186724568,63.68305758331634,,,
65.0,64.15031304940467,63.29923024712009,,,
66.0,63.761556523316116,62.91360531800329,,,
67.0,63.37099748592873,62.5262973824454,,,
68.0,62.97875166831428,62.13742152702267,,,
69.0,62.58493530137386,61.74709330421073,,,
70.0,62.18966508139626,61.35542869804877,,,
71.0,61.79305813547828,60.96254408967549,,,
72.0,61.39523198681748,60.56855622274698,,,
73.0,60.99630451988749,60.17358216874701,,,
74.0,60.59639394550634,59.777739292199804,,,
75.0,60.195618765807986,59.381145215795755,,,
76.0,59.79409773912761,58.98391778544047,,,
77.0,59.391949844810945,58.586175035237446,,,
78.0,58.98929424795815,58.18803515241484,,,
79.0,58.58625026411257,57.78961644220676,,,
80.0,58.18293732390505,57.391037292699416,,,
81.0,57.77947493766397,56.99241613965276,,,
82.0,57.375982660001796,56.59387143130788,,,
83.0,56.97258005438848,56.195521593190705,,,
84.0,56.5693866577222,55.79748499292246,,,
85.0,56.16652194490803,55.39987990504738,,,
86.0,55.764105293454904,55.002824475887934,,,
87.0,55.3622559481015,54.606436688438365,,,
88.0,54.96109298548147,54.210834327306564,,,
89.0,54.56073527883845,53.81613494371501,,,
90.0,54.16130146280135,53.42245582057099,,,
91.0,53.762909898230326,53.02991393761665,,,
92.0,53.36567863714398,52.63862593666897,,,
93.0,52.96972538773792,52.248708086960335,,,
94.0,52.575167479505296,51.860276250589656,,,
95.0,52.1821218284696,51.47344584809456,,,
96.0,51.79070490253984,51.08833182415481,,,
97.0,51.40103268699864,50.705048613436986,,,
98.0,51.013220650133285,50.32371010659091,,,
99.0,50.62738370901996,49.94442961640755,,,
100.0,50.24363619547135,49.56731984414873,,,
101.0,49.8620918221577,49.19249284605853,,,
102.0,49.482863648911206,48.820060000066334,,,
103.0,49.10606404922402,48.450131972691445,,,
104.0,48.73180467694952,48.0828186861591,,,
105.0,48.36019643321689,47.71822928573765,,,
106.0,47.99134943356873,47.356472107306566,,,
107.0,47.62537297533139,46.99765464516503,,,
108.0,47.262375505227865,46.64188352009056,,,
109.0,46.90246458724268,46.28926444765708,,,
110.0,46.54574687074835,45.939902206822254,,,
111.0,46.19232805890286,45.593900608792794,,,
112.0,45.842312877327565,45.251362466177575,,,
113.0,45.49580504307472,44.9123895624374,,,
114.0,45.15290723389386,44.57708262164049,,,
115.0,44.81372105780619,44.24554127853292,,,
116.0,44.478347022995905,43.917864048932614,,,
117.0,44.14688450802751,43.59414830045592,,,
118.0,43.81943173239773,43.27449022358523,,,
119.0,43.49608572743099,42.95898480308661,,,
120.0,43.17694230752693,42.6477257897854,,,
121.0,42.86209604176855,42.340805672708754,,,
122.0,42.55164022589935,42.03831565160298,,,
123.0,42.24566685467774,41.74034560983394,,,
124.0,41.94426659461707,41.4469840876787,,,
125.0,41.64752875711913,41.15831825601629,,,
126.0,41.35554127200932,40.87443389042524,,,
127.0,41.06839066148107,40.595415345695855,,,
128.0,40.7861620144575,40.3213455307646,,,
129.0,40.50893896137771,40.05230588407815,,,
130.0,40.23680364941531,39.78837634939434,,,
131.0,39.96983671813638,39.52963535202733,,,
132.0,39.70811727560427,39.276159775543874,,,
133.0,39.451722874938184,39.028024938917795,,,
134.0,39.20072949133248,38.785304574149336,,,
135.0,38.95521149954361,38.548070804356044,,,
136.0,38.71524165185124,38.31639412234179,,,
137.0,38.480891056500205,38.09034336965017,,,
138.0,38.25222915662963,37.86998571610859,,,
139.0,38.02932370969537,37.65538663986909,,,
140.0,37.81224076739204,37.446609907951895,,,
141.0,37.601044656080475,37.24371755729729,,,
142.0,37.39579795772646,37.04676987633172,,,
143.0,37.19656149135626,36.855825387053386,,,
144.0,37.003394295034795,36.67094082764269,,,
145.0,36.81635360837118,36.49217113560282,,,
146.0,36.63549485555757,36.319569431435326,,,
147.0,36.46087162894565,36.153187002855674,,,
148.0,36.29253567316616,35.993073289553294,,,
149.0,36.130536869795776,35.83927586850086,,,
150.0,35.974923222576166,35.6918404398171,,,
151.0,35.82574084318941,35.55081081318713,,,
152.0,35.683033937594146,35.41622889484468,,,
153.0,35.546844792926365,35.28813467511989,,,
154.0,35.41721376496885,35.16656621655638,,,
155.0,35.29417926619283,35.05155964260112,,,
156.0,35.17777775437558,34.94314912687057,,,
157.0,35.06804372179725,34.84136688299617,,,
158.0,34.96500968501992,34.74624315505217,,,
159.0,34.86870617525234,34.65780620856884,,,
160.0,34.779161729302864,34.57608232213346,,,
161.0,34.69640288112335,34.501095779581746,,,
162.0,34.62045415394659,34.4328688627821,,,
163.0,34.55133805301956,34.37142184501462,,,
164.0,34.48907505893462,34.316772984947015,,,
165.0,34.43368362156065,34.26893852120912,,,
166.0,34.38518015457599,34.227932667567714,,,
167.0,34.3435790306047,34.193767608702885,,,
168.0,34.308892576957646,34.16645349658751,,,
169.0,34.28113107197964,34.145998447470596,,,
170.0,34.26030274200373,34.13240853946559,,,
