Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Ta atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Ta atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-10.05000039935112,3294,1.0321797207043109,88.7370977534912,1.426836672738312,0,8.136004857316333,0.12143290831815423,0,0,0.060716454159077116,0,0.030358227079538558,0,0,0.060716454159077116,0,0,0,0,0,0,0,0.273224043715847,0.12143290831815423,0.1761014233956634,0.5508279515336811,0.20663537895777911,0,0.47633935757418033,0.060679578082696944,0,0,0.04291998078385354,0,0.030353618619993288,0,0,0.04291998078385354,0,0,0,0,0,0,0,0.09095017717324494,0.060679578082696944
-9.750000387430191,10263,0.8379616096657898,88.87264932281009,1.5979733021533664,0,7.882685374646789,0.18513105329825588,0,0,0.029231218941829874,0,0.1169248757673195,0,0.009743739647276624,0.0389749585891065,0,0,0,0.009743739647276624,0,0,0,0.3020559290655754,0.1169248757673195,0.08998033785855959,0.31041506233630023,0.12377975443505966,0,0.2659932197266765,0.04243264383330864,0,0,0.01687418531895751,0,0.03373356547350966,0,0.009743264933401054,0.019483681305958508,0,0,0,0.009743264933401054,0,0,0,0.05416885045458024,0.03373356547350966
-9.450000375509262,10630,0.8372530573847601,88.77704609595484,1.6839134524929447,0,7.66698024459078,0.20696142991533398,0,0,0.09407337723424271,0,0.0658513640639699,0,0,0.02822201317027281,0,0,0,0,0,0.00940733772342427,0,0.4609595484477893,0.16933207902163688,0.08837634028271543,0.3061521421702409,0.12479740147247084,0,0.2580620004677774,0.04407864129961806,0,0,0.0297346178691293,0,0.024881279736032852,0,0,0.016291687493119357,0,0,0,0,0,0.009406895223001937,0,0.06569941468019483,0.03987814759506893
-9.150000363588333,11203,0.9551013121485317,88.0478443274123,1.9905382486833885,0,8.087119521556726,0.20530215120949744,0,0,0.05355708292421673,0.01785236097473891,0.10711416584843346,0,0,0.05355708292421673,0.008926180487369454,0.008926180487369454,0,0.008926180487369454,0,0.008926180487369454,0,0.30349013657056145,0.14281888779791127,0.09189113354803097,0.30648929935951585,0.1319629749442051,0,0.2575834473495024,0.04276449184442204,0,0,0.02185873174424713,0.012622398656462952,0.030904631315559917,0,0,0.02185873174424713,0.008925782094988486,0.008925782094988486,0,0.008925782094988486,0,0.008925782094988486,0,0.051969088542036954,0.03567921629611156
-8.850000351667404,11964,0.9194249414911401,88.92510865931126,1.8806419257773321,0,7.606151788699432,0.13373453694416582,0,0,0.07522567703109327,0,0.07522567703109327,0,0,0.041792042795051824,0.033433634236041454,0,0,0,0,0.008358408559010364,0,0.25075225677031093,0.05015045135406219,0.08725979683453303,0.28690871280516755,0.12419159472496304,0,0.242362721044492,0.03341127059859863,0,0,0.025065792398494106,0,0.025065792398494106,0,0,0.018686063853462834,0.016714022364658722,0,0,0,0,0.00835805923674257,0,0.04572345479274497,0.02046870152687241
-8.550000339746475,12352,0.6881476683937824,88.7386658031088,1.8377590673575128,0,7.885362694300518,0.19430051813471502,0,0,0.08905440414507772,0.008095854922279794,0.11334196891191708,0,0.024287564766839378,0.04047927461139896,0,0,0,0,0,0,0,0.2914507772020725,0.08905440414507772,0.07438283399431907,0.28443479938289495,0.12085034032222974,0,0.24249708290560684,0.03962287726833708,0,0,0.026838954510991088,0.008095527201312094,0.030274743778511286,0,0.014020729099053454,0.01809921761368598,0,0,0,0,0,0,0,0.048504291585302,0.026838954510991088
-8.250000327825546,12987,1.0087010087010087,88.57318857318857,1.6786016786016786,0,7.892507892507893,0.231000231000231,0,0,0.061600061600061595,0.007700007700007699,0.09240009240009239,0,0.015400015400015399,0.015400015400015399,0.007700007700007699,0.023100023100023098,0,0,0,0,0,0.3311003311003311,0.061600061600061595,0.08768500254225889,0.27916389527725005,0.1127310181656728,0,0.23659228077867214,0.042125939135868776,0,0,0.02177220169493379,0.0076997112437079,0.026661283042455176,0,0.010888616798545702,0.010888616798545702,0.0076997112437079,0.01333526406364979,0,0,0,0,0,0.050408667691714606,0.02177220169493379
-7.950000315904617,13616,0.8152173913043478,88.7852526439483,1.7185663924794359,0,7.77027027027027,0.19829612220916568,0,0,0.03672150411280846,0,0.11750881316098707,0,0.007344300822561692,0.03672150411280846,0.03672150411280846,0,0,0.007344300822561692,0,0,0,0.35252643948296125,0.11750881316098707,0.07706096967689487,0.2704209867725459,0.11137664394163134,0,0.22941867073141406,0.03812425074761576,0,0,0.01641934034154565,0,0.029359937815179007,0,0.007344031123836869,0.01641934034154565,0.01641934034154565,0,0,0.007344031123836869,0,0,0,0.05079304182328216,0.029359937815179007
-7.650000303983688,14495,1.228009658502932,88.15453604691272,1.917902725077613,0,7.830286305622629,0.26215936529837874,0,0,0.14487754398068298,0.020696791997240428,0.08968609865470852,0,0,0.020696791997240428,0.013797861331493619,0,0,0,0,0,0,0.2276647119696447,0.08968609865470852,0.0914763197977885,0.26840417066482986,0.11391975705857915,0,0.22313815113090074,0.04247208282781306,0,0,0.03159196226423134,0.011948061806259038,0.02486329129799495,0,0,0.011948061806259038,0.009755888191750516,0,0,0,0,0,0,0.03958620041012446,0.02486329129799495
-7.350000292062759,15501,0.9870330946390556,88.34913876524095,1.819237468550416,0,7.909167150506419,0.264499064576479,0,0,0.0774143603638475,0.025804786787949164,0.10321914715179666,0,0.019353590090961874,0.05160957357589833,0.019353590090961874,0.006451196696987291,0,0,0,0.006451196696987291,0,0.2774014579704535,0.08386555706083479,0.07940210870650963,0.2576916325436665,0.1073440651903757,0,0.21676727553050862,0.04125314836879469,0,0,0.02233894909670098,0.01290072856901359,0.02579146560913645,0,0.01117271913071329,0.01824203058487996,0.01117271913071329,0.006450988603936998,0,0,0,0.006450988603936998,0,0.042244609979597586,0.023250364818446386
