Wavelength [nm],Voltage [V],Subtract min(voltage) from voltage,Normalised voltage from subtract with respect to peak at 627.8nm,Wavelength simulation [nm],Relative intensity simulation
607.40625,0.1118230706,0.0011435882,0.03227496226,596.29630,0.00355621
607.5,0.1122838559,0.0016043735,0.04527949323,596.51652,0.00194858
607.59375,0.1121727559,0.0014932735,0.04214396918,596.73674,0.00087943
607.6875,0.1127482941,0.0020688117,0.05838711832,596.95696,0.00032692
607.8125,0.1122929588,0.0016134764,0.04553640018,597.17718,0.00010010
607.90625,0.1120778176,0.0013983352,0.03946456933,597.39740,0.00002524
608.0,0.1123430206,0.0016635382,0.04694927127,597.61762,0.00000524
608.09375,0.1119665412,0.0012870588,0.03632406682,597.83784,0.00000090
608.1875,0.1125681941,0.0018887117,0.05330423909,598.05806,0.00000013
608.3125,0.1122780000,0.0015985176,0.04511422487,598.27828,0.00000001
608.40625,0.1121538029,0.0014743205,0.0416090674,598.49850,0.00000000
608.5,0.1119310412,0.0012515588,0.0353221667,598.71872,0.00000000
608.59375,0.1122501206,0.0015706382,0.04432739742,598.93894,0.00000000
608.6875,0.1120513059,0.0013718235,0.03871634185,599.15916,0.00000000
608.8125,0.1121051559,0.0014256735,0.04023612556,599.37938,0.00000000
608.90625,0.1121566265,0.0014771441,0.04168875657,599.59960,0.00000000
609.0,0.1122141706,0.0015346882,0.04331279716,599.81982,0.00000000
609.09375,0.1124347412,0.0017552588,0.04953785946,600.04004,0.00000000
609.1875,0.1124236941,0.0017442117,0.04922608225,600.26026,0.00000000
609.3125,0.1123880647,0.0017085823,0.04822053013,600.48048,0.00000000
609.40625,0.1122077676,0.0015282852,0.04313208824,600.70070,0.00000004
609.5,0.1124339529,0.0017544705,0.04951561163,600.92092,0.00000034
609.59375,0.1121000059,0.0014205235,0.04009077949,601.14114,0.00000274
609.6875,0.1123613441,0.0016818617,0.04746640696,601.36136,0.00001804
609.8125,0.1127353412,0.0020558588,0.0580215546,601.58158,0.00009799
609.90625,0.1118137882,0.0011343058,0.03201298937,601.80180,0.00043841
610.0,0.1122925706,0.0016130882,0.04552544419,602.02202,0.00161555
610.09375,0.1125443118,0.0018648294,0.05263021996,602.24224,0.00490355
610.1875,0.1124958088,0.0018163264,0.05126134216,602.46246,0.01225897
610.3125,0.1127658441,0.0020863617,0.05888242387,602.68268,0.02524349
610.40625,0.1126770882,0.0019976058,0.05637750705,602.90290,0.04281511
610.5,0.1125681265,0.0018886441,0.05330233125,603.12312,0.05981318
610.59375,0.1128432059,0.0021637235,0.06106577027,603.34334,0.06882542
610.6875,0.1146318382,0.0039523558,0.1115455146,603.56356,0.06523085
610.8125,0.1174699324,0.00679045,0.1916437381,603.78378,0.05092246
610.90625,0.1192604647,0.0085809823,0.2421771053,604.00400,0.03274296
611.0,0.1311892765,0.0205097941,0.5788384582,604.22422,0.01734118
611.09375,0.1658562794,0.055176797,1.55722929,604.44444,0.00756470
611.1875,0.2128046912,0.1021252088,2.88223266,604.66466,0.00271804
611.3125,0.2327182882,0.1220388058,3.444244923,604.88488,0.00080440
611.40625,0.2439880000,0.1333085176,3.7623048,605.10511,0.00019608
611.5,0.2746232676,0.1639437852,4.626909827,605.32533,0.00003937
611.59375,0.3250129412,0.2143334588,6.049034341,605.54555,0.00000651
611.6875,0.3541201618,0.2434406794,6.870514002,605.76577,0.00000089
611.8125,0.3552861618,0.2446066794,6.903421482,605.98599,0.00000010
611.90625,0.3540389824,0.2433595,6.868222913,606.20621,0.00000001
612.0,0.3390770176,0.2283975352,6.445958282,606.42643,0.00000000
612.09375,0.2995308147,0.1888513323,5.329864039,606.64665,0.00000000
612.1875,0.2445599735,0.1338804911,3.778447345,606.86687,0.00000000
612.3125,0.2212120794,0.110532597,3.119510499,607.08709,0.00000000
612.40625,0.2056158353,0.0949363529,2.679344896,607.30731,0.00000000
612.5,0.1764465735,0.0657670911,1.856114275,607.52753,0.00000000
612.59375,0.1365087441,0.0258292617,0.7289673386,607.74775,0.00000000
612.6875,0.1171076765,0.0064281941,0.1814199569,607.96797,0.00000000
612.8125,0.1153476147,0.0046681323,0.1317465446,608.18819,0.00000000
612.90625,0.1144959676,0.0038164852,0.1077109014,608.40841,0.00000005
613.0,0.1126118882,0.0019324058,0.05453739752,608.62863,0.00000049
613.09375,0.1123784294,0.001698947,0.0479485975,608.84885,0.00000430
613.1875,0.1125310029,0.0018515205,0.05225460901,609.06907,0.00003123
613.3125,0.1128433029,0.0021638205,0.06106850786,609.28929,0.00018702
613.40625,0.1126964118,0.0020169294,0.0569228681,609.50951,0.00092241
613.5,0.1126697265,0.0019902441,0.05616974119,609.72973,0.00374723
613.59375,0.1125164794,0.001836997,0.05184471897,609.94995,0.01253860
613.6875,0.1124935206,0.0018140382,0.05119676335,610.17017,0.03455729
613.8125,0.1125540735,0.0018745911,0.05290571991,610.39039,0.07844812
613.90625,0.1119119971,0.0012325147,0.03478469385,610.61061,0.14668225
614.0,0.1123611324,0.00168165,0.04746043225,610.83083,0.22590445
614.09375,0.1135468529,0.0028673705,0.08092447498,611.05105,0.28656568
614.1875,0.1129548118,0.0022753294,0.0642155721,611.27127,0.29941652
614.3125,0.1123367765,0.0016572941,0.04677304692,611.49149,0.25767928
614.40625,0.1116692029,0.0009897205,0.02793242514,611.71171,0.18265662
614.5,0.1121038559,0.0014243735,0.04019943626,611.93193,0.10664574
614.59375,0.1123739824,0.0016945,0.04782309187,612.15215,0.05128659
614.6875,0.1120610294,0.001381547,0.03899076371,612.37237,0.02031497
614.8125,0.1123178500,0.0016383676,0.04623889304,612.59259,0.00662798
614.90625,0.1121630824,0.0014836,0.04187095845,612.81281,0.00178114
615.0,0.1126959824,0.0020165,0.05691074934,613.03303,0.00039425
615.09375,0.1122821235,0.0016026411,0.04523060051,613.25325,0.00007188
615.1875,0.1120621971,0.0013827147,0.03902371917,613.47347,0.00001079
615.3125,0.1123341559,0.0016546735,0.04669908693,613.69369,0.00000134
615.40625,0.1125253324,0.00184585,0.05209457311,613.91391,0.00000014
615.5,0.1121569824,0.0014775,0.04169880097,614.13413,0.00000001
615.59375,0.1121247059,0.0014452235,0.0407878762,614.35435,0.00000000
615.6875,0.1120562853,0.0013768029,0.03885687316,614.57457,0.00000000
615.8125,0.1120520765,0.0013725941,0.03873809014,614.79479,0.00000000
615.90625,0.1121903824,0.0015109,0.04264143376,615.01502,0.00000000
616.0,0.1120261059,0.0013466235,0.03800513388,615.23524,0.00000000
616.09375,0.1120977059,0.0014182235,0.04002586765,615.45546,0.00000000
616.1875,0.1122978265,0.0016183441,0.04567377903,615.67568,0.00000000
616.3125,0.1119704147,0.0012909323,0.03643338683,615.89590,0.00000000
616.40625,0.1118835971,0.0012041147,0.03398317375,616.11612,0.00000000
616.5,0.1124189176,0.0017394352,0.04909127729,616.33634,0.00000007
616.59375,0.1124962235,0.0018167411,0.05127304605,616.55656,0.00000074
616.6875,0.1119497588,0.0012702764,0.03585042489,616.77678,0.00000681
616.8125,0.1120993176,0.0014198352,0.04007135392,616.99700,0.00005146
616.90625,0.1119484912,0.0012690088,0.03581465,617.21722,0.00032024
617.0,0.1122100559,0.0015305735,0.04319666988,617.43744,0.00164165
617.09375,0.1124342853,0.0017548029,0.0495249928,617.65766,0.00693156
617.1875,0.1120501235,0.0013706411,0.03868297152,617.87788,0.02410652
617.3125,0.1121244882,0.0014450058,0.04078173215,618.09810,0.06905422
617.40625,0.1120669706,0.0013874882,0.03915843946,618.31832,0.16292889
617.5,0.1118549324,0.00117545,0.03317418314,618.53854,0.31663447
617.59375,0.1122615088,0.0015820264,0.04464880134,618.75876,0.50683950
617.6875,0.1123719500,0.0016924676,0.04776573238,618.97898,0.66824372
617.8125,0.1121366500,0.0014571676,0.04112496902,619.19920,0.72569060
617.90625,0.1122352529,0.0015557705,0.04390779318,619.41942,0.64911297
618.0,0.1123296029,0.0016501205,0.04657058971,619.63964,0.47823488
618.09375,0.1120904412,0.0014109588,0.03982083937,619.85986,0.29021135
618.1875,0.1124599029,0.0017804205,0.05024798651,620.08008,0.14505734
618.3125,0.1120349000,0.0013554176,0.03825332571,620.30030,0.05971964
618.40625,0.1124651941,0.0017857117,0.05039731761,620.52052,0.02025102
618.5,0.1121240324,0.00144455,0.04076886832,620.74074,0.00565625
618.59375,0.1135368706,0.0028573882,0.08064274913,620.96096,0.00130126
618.6875,0.1146635529,0.0039840705,0.112440584,621.18118,0.00024657
618.8125,0.1158195412,0.0051400588,0.1450655085,621.40140,0.00003848
618.90625,0.1170902206,0.0064107382,0.1809273071,621.62162,0.00000495
619.0,0.1189437324,0.00826425,0.2332381157,621.84184,0.00000052
619.09375,0.1226819824,0.0120025,0.3387410211,622.06206,0.00000005
619.1875,0.1274260529,0.0167465705,0.4726307345,622.28228,0.00000000
619.3125,0.1301646294,0.019485147,0.5499203158,622.50250,0.00000000
619.40625,0.1316243824,0.0209449,0.5911182514,622.72272,0.00000000
619.5,0.1338164559,0.0231369735,0.6529841306,622.94294,0.00000000
619.59375,0.1362871324,0.02560765,0.7227128938,623.16316,0.00000000
619.6875,0.1369549000,0.0262754176,0.7415589907,623.38338,0.00000000
619.8125,0.1362002029,0.0255207205,0.7202595226,623.60360,0.00000000
619.90625,0.1355168176,0.0248373352,0.7009726545,623.82382,0.00000000
620.0,0.1334952324,0.02281575,0.6439183879,624.04404,0.00000000
620.09375,0.1296983412,0.0190188588,0.536760479,624.26426,0.00000001
620.1875,0.1252096353,0.0145301529,0.4100778029,624.48448,0.00000011
620.3125,0.1225533941,0.0118739117,0.3351119328,624.70470,0.00000125
620.40625,0.1211441500,0.0104646676,0.2953394866,624.92492,0.00001127
620.5,0.1189291294,0.008249647,0.2328259819,625.14515,0.00008372
620.59375,0.1157049882,0.0050255058,0.1418325321,625.36537,0.00051246
620.6875,0.1134107676,0.0027312852,0.07708380233,625.58559,0.00258374
620.8125,0.1127814706,0.0021019882,0.05932344337,625.80581,0.01072962
620.90625,0.1130099059,0.0023304235,0.06577046748,626.02603,0.03670058
621.0,0.1129459559,0.0022664735,0.06396563612,626.24625,0.10339836
621.09375,0.1129504735,0.0022709911,0.06409313426,626.46647,0.23994216
621.1875,0.1122337000,0.0015542176,0.0438639664,626.68669,0.45861860
621.3125,0.1121249971,0.0014455147,0.0407960946,626.90691,0.72201951
621.40625,0.1118771706,0.0011976882,0.03380180161,627.12713,0.93626411
621.5,0.1121749294,0.001495447,0.04220531087,627.34735,1.00000000
621.59375,0.1126530618,0.0019735794,0.05569942104,627.56757,0.87973891
621.6875,0.1117253441,0.0010458617,0.02951687233,627.78779,0.63747004
621.8125,0.1125442559,0.0018647735,0.05262864232,628.00801,0.38046782
621.90625,0.1123708853,0.0016914029,0.04773568385,628.22823,0.18703732
622.0,0.1123889176,0.0017094352,0.04824460113,628.44845,0.07573398
622.09375,0.1119595853,0.0012801029,0.03612775367,628.66867,0.02525838
622.1875,0.1115117294,0.000832247,0.02348812319,628.88889,0.00693861
622.3125,0.1121379471,0.0014584647,0.04116157648,629.10911,0.00156997
622.40625,0.1120706971,0.0013912147,0.03926361075,629.32933,0.00029259
622.5,0.1118785029,0.0011990205,0.03383940249,629.54955,0.00004491
622.59375,0.1123636206,0.0016841382,0.04753065557,629.76977,0.00000568
622.6875,0.1119684088,0.0012889264,0.03637677524,629.98999,0.00000059
622.8125,0.1120803353,0.0014008529,0.03953562522,630.21021,0.00000005
622.90625,0.1121330765,0.0014535941,0.04102411578,630.43043,0.00000000
623.0,0.1123647647,0.0016852823,0.04756294498,630.65065,0.00000000
623.09375,0.1119931324,0.00131365,0.037074538,630.87087,0.00000000
623.1875,0.1122875824,0.0016081,0.04538466452,631.09109,0.00000000
623.3125,0.1122019118,0.0015224294,0.0429668227,631.31131,0.00000000
623.40625,0.1118854765,0.0012059941,0.03403621519,631.53153,0.00000000
623.5,0.1120965353,0.0014170529,0.03999283035,631.75175,0.00000000
623.59375,0.1122667647,0.0015872823,0.04479713618,631.97197,0.00000000
623.6875,0.1116843471,0.0010048647,0.02835983291,632.19219,0.00000000
623.8125,0.1115030618,0.0008235794,0.02324350151,632.41241,0.00000000
623.90625,0.1118389353,0.0011594529,0.03272270437,632.63263,0.00000002
624.0,0.1119984618,0.0013189794,0.03722494719,632.85285,0.00000019
624.09375,0.1120142618,0.0013347794,0.03767086331,633.07307,0.00000194
624.1875,0.1116084059,0.0009289235,0.02621657945,633.29329,0.00001631
624.3125,0.1121167147,0.0014372323,0.04056234424,633.51351,0.00011325
624.40625,0.1123024765,0.0016229941,0.04580501384,633.73373,0.00064767
624.5,0.1119446235,0.0012651411,0.03570549369,633.95395,0.00305070
624.59375,0.1119054265,0.0012259441,0.03459925484,634.17417,0.01183587
624.6875,0.1119534471,0.0012739647,0.03595451808,634.39439,0.03782273
624.8125,0.1118501853,0.0011707029,0.03304020793,634.61461,0.09955377
624.90625,0.1122201412,0.0015406588,0.04348130265,634.83483,0.21583146
625.0,0.1122825029,0.0016030205,0.04524130814,635.05506,0.38541087
625.09375,0.1120043824,0.0013249,0.03739204156,635.27528,0.56687244
625.1875,0.1120580765,0.0013785941,0.03890742537,635.49550,0.68675037
625.3125,0.1123973529,0.0017178705,0.04848266671,635.71572,0.68527460
625.40625,0.1121245206,0.0014450382,0.04078264656,635.93594,0.56322581
625.5,0.1118242471,0.0011447647,0.03230816608,636.15616,0.38128756
625.59375,0.1122711206,0.0015916382,0.04492007074,636.37638,0.21260570
625.6875,0.1121303529,0.0014508705,0.04094724887,636.59660,0.09764485
625.8125,0.1116138500,0.0009343676,0.02637022577,636.81682,0.03693822
625.90625,0.1120400647,0.0013605823,0.03839908665,637.03704,0.01150946
626.0,0.1118030382,0.0011235558,0.03170959708,637.25726,0.00295383
626.09375,0.1123758441,0.0016963617,0.04787563377,637.47748,0.00062441
626.1875,0.1124278618,0.0017483794,0.04934370532,637.69770,0.00010872
626.3125,0.1120284706,0.0013489882,0.03807187171,637.91792,0.00001559
626.40625,0.1126297853,0.0019503029,0.05504249912,638.13814,0.00000184
626.5,0.1116870353,0.0010075529,0.02843570074,638.35836,0.00000018
626.59375,0.1117073235,0.0010278411,0.02900828525,638.57858,0.00000001
626.6875,0.1126568412,0.0019773588,0.05580608531,638.79880,0.00000000
626.8125,0.1127290500,0.0020495676,0.05784400096,639.01902,0.00000000
626.90625,0.1128387588,0.0021592764,0.06094026182,639.23924,0.00000000
627.0,0.1140951588,0.0034156764,0.09639905947,639.45946,0.00000000
627.09375,0.1160107412,0.0053312588,0.1504616579,639.67968,0.00000000
627.1875,0.1221944206,0.0115149382,0.3249807893,639.89990,0.00000000
627.3125,0.1243046529,0.0136251705,0.3845369021,640.12012,0.00000000
627.40625,0.1262617441,0.0155822617,0.4397709843,640.34034,0.00000000
627.5,0.1300564441,0.0193769617,0.546867052,640.56056,0.00000000
627.59375,0.1379858059,0.0273063235,0.7706537724,640.78078,0.00000000
627.6875,0.1448196971,0.0341402147,0.9635235315,641.00100,0.00000000
627.8125,0.1461121559,0.0354326735,1,641.22122,0.00000001
627.90625,0.1455034559,0.0348239735,0.9828209407,641.44144,0.00000013
628.0,0.1439553353,0.0332758529,0.9391290471,641.66166,0.00000123
628.09375,0.1397205147,0.0290410323,0.8196116587,641.88188,0.00000920
628.1875,0.1315150765,0.0208355941,0.5880333614,642.10210,0.00005692
628.3125,0.1291942265,0.0185147441,0.5225330824,642.32232,0.00029004
628.40625,0.1284008412,0.0177213588,0.500141735,642.54254,0.00121720
628.5,0.1235449441,0.0128654617,0.363095991,642.76276,0.00420751
628.59375,0.1182897941,0.0076103117,0.2147823167,642.98298,0.01197952
628.6875,0.1140775235,0.0033980411,0.09590134654,643.20320,0.02809351
628.8125,0.1136570735,0.0029775911,0.08403518013,643.42342,0.05426562
628.90625,0.1130725147,0.0023930323,0.06753744676,643.64364,0.08633673
629.0,0.1127076618,0.0020281794,0.05724037166,643.86386,0.11314063
629.09375,0.1125266559,0.0018471735,0.05213192564,644.08408,0.12212197
629.1875,0.1127929588,0.0021134764,0.05964766954,644.30430,0.10857283
629.3125,0.1125677676,0.0018882852,0.05329220218,644.52452,0.07950615
629.40625,0.1123752147,0.0016957323,0.0478578705,644.74474,0.04795484
629.5,0.1121916765,0.0015121941,0.04267795655,644.96496,0.02382409
629.59375,0.1121687382,0.0014892558,0.04203057949,645.18519,0.00974883
629.6875,0.1121602294,0.001480747,0.04179043955,645.40541,0.00328580
629.8125,0.1116385441,0.0009590617,0.02706715597,645.62563,0.00091218
629.90625,0.1120595059,0.0013800235,0.03894776667,645.84585,0.00020858
630.0,0.1122573647,0.0015778823,0.04453184432,646.06607,0.00003928
630.09375,0.1123665941,0.0016871117,0.04761457529,646.28629,0.00000609
630.1875,0.1122043176,0.0015248352,0.04303472048,646.50651,0.00000078
630.3125,0.1119106176,0.0012311352,0.03474576086,646.72673,0.00000008
630.40625,0.1124913882,0.0018119058,0.05113658161,646.94695,0.00000001
630.5,0.1123228676,0.0016433852,0.04638050245,647.16717,0.00000000
630.59375,0.1125580000,0.0018785176,0.05301653571,647.38739,0.00000000
630.6875,0.1120298500,0.0013503676,0.03811080188,647.60761,0.00000000
630.8125,0.1122389853,0.0015595029,0.04401313099,647.82783,0.00000000
630.90625,0.1123766853,0.0016972029,0.04789937457,648.04805,0.00000000
631.0,0.1117314853,0.0010520029,0.02969019258,648.26827,0.00000000
631.09375,0.1123447588,0.0016652764,0.04699832769,648.48849,0.00000000
631.1875,0.1120073000,0.0013278176,0.03747438364,648.70871,0.00000000
631.3125,0.1119070765,0.0012275941,0.03464582203,648.92893,0.00000000
631.40625,0.1121767471,0.0014972647,0.04225661098,649.14915,0.00000000
631.5,0.1121966588,0.0015171764,0.0428185697,649.36937,0.00000000
631.59375,0.1120020147,0.0013225323,0.03732521905,649.58959,0.00000000
631.6875,0.1116202147,0.0009407323,0.02654985377,649.80981,0.00000000
631.8125,0.1118112912,0.0011318088,0.03194251769,650.03003,0.00000005
631.90625,0.1121410618,0.0014615794,0.04124948122,650.25025,0.00000049
632.0,0.1119041382,0.0012246558,0.03456289574,650.47047,0.00000380
632.09375,0.1123000912,0.0016206088,0.04573769462,650.69069,0.00002437
632.1875,0.1123303441,0.0016508617,0.04659150826,650.91091,0.00012864
632.3125,0.1117572324,0.00107775,0.03041684111,651.13113,0.00055919
632.40625,0.1121730824,0.0014936,0.04215318384,651.35135,0.00200222
632.5,0.1119529118,0.0012734294,0.03593941056,651.57157,0.00590490
632.59375,0.1122579324,0.00157845,0.04454786625,651.79179,0.01434388
632.6875,0.1118138500,0.0011343676,0.03201473352,652.01201,0.02869939
632.8125,0.1117970529,0.0011175705,0.03154067671,652.23223,0.04729670
632.90625,0.1124632235,0.0017837411,0.05034170227,652.45245,0.06420091
633.0,0.1122879324,0.00160845,0.04539454241,652.67267,0.07178005
633.09375,0.1120745500,0.0013950676,0.03937234937,652.89289,0.06610259
633.1875,0.1118094353,0.0011299529,0.03189013948,653.11311,0.05014012
633.3125,0.1120881794,0.001408697,0.03975700563,653.33333,0.03132596
633.40625,0.1119386441,0.0012591617,0.03553673984,653.55355,0.01612039
633.5,0.1120311412,0.0013516588,0.03814724283,653.77377,0.00683281
633.59375,0.1115241971,0.0008447147,0.02383999333,653.99399,0.00238547
633.6875,0.1118630706,0.0011835882,0.03340386381,654.21421,0.00068597
633.8125,0.1119487294,0.001269247,0.03582137261,654.43443,0.00016247
633.90625,0.1118573382,0.0011778558,0.03324208093,654.65465,0.00003170
634.0,0.1117052471,0.0010257647,0.02894968397,654.87487,0.00000509
634.09375,0.1124559500,0.0017764676,0.05013642564,655.09510,0.00000067
634.1875,0.1116552971,0.0009758147,0.02753996816,655.31532,0.00000007
634.3125,0.1117431706,0.0010636882,0.03001998142,655.53554,0.00000001
634.40625,0.1122116853,0.0015322029,0.04324265568,655.75576,0.00000000
634.5,0.1118354088,0.0011559264,0.03262317759,655.97598,0.00000000
634.59375,0.1118058324,0.00112635,0.03178845649,656.19620,0.00000000
634.6875,0.1120276265,0.0013481441,0.03804804907,656.41642,0.00000000
634.8125,0.1119932059,0.0013137235,0.03707661235,656.63664,0.00000000
634.90625,0.1117785000,0.0010990176,0.03101706678,656.85686,0.00000000
635.0,0.1119382794,0.001258797,0.03552644708,657.07708,0.00000000
635.09375,0.1122140912,0.0015346088,0.04331055629,657.29730,0.00000000
635.1875,0.1126999765,0.0020204941,0.05702347298,657.51752,0.00000000
635.3125,0.1123433265,0.0016638441,0.04695790455,657.73774,0.00000000
635.40625,0.1134705059,0.0027910235,0.07876976881,657.95796,0.00000000
635.5,0.1137020000,0.0030225176,0.08530312001,658.17818,0.00000000
635.59375,0.1160102235,0.0053307411,0.1504470471,658.39840,0.00000000
635.6875,0.1205887676,0.0099092852,0.2796651853,658.61862,0.00000003
635.8125,0.1226061941,0.0119267117,0.3366020828,658.83884,0.00000036
635.90625,0.1242590882,0.0135796058,0.3832509506,659.05906,0.00000338
636.0,0.1275236853,0.0168442029,0.4753861686,659.27928,0.00002621
636.09375,0.1321290500,0.0214495676,0.6053612522,659.49950,0.00016731
636.1875,0.1347052794,0.024025797,0.6780689862,659.71972,0.00087959
636.3125,0.1363519971,0.0256725147,0.7245435403,659.93994,0.00380881
636.40625,0.1376365912,0.0269571088,0.760798047,660.16016,0.01358468
636.5,0.1364535706,0.0257740882,0.7274102023,660.38038,0.03990811
636.59375,0.1349563765,0.0242768941,0.6851555839,660.60060,0.09656621
