Wavelength [nm],Voltage [V]
600.0,0.11188878529411767
600.09375,0.11190103529411766
600.1875,0.11218516470588234
600.3125,0.11226244705882352
600.40625,0.11200206470588238
600.5,0.11250749411764704
600.59375,0.11178161764705881
600.6875,0.11178798823529412
600.8125,0.11189199117647056
600.90625,0.1120756205882353
601.0,0.11248546764705884
601.09375,0.1120912470588235
601.1875,0.1117635382352941
601.3125,0.11219953529411766
601.40625,0.11178084117647058
601.5,0.11281587352941178
601.59375,0.11143232352941179
601.6875,0.11178210000000001
601.8125,0.11182940588235296
601.90625,0.11177155588235292
602.0,0.11172941176470588
602.09375,0.11231013529411765
602.1875,0.11228328529411766
602.3125,0.11194972058823527
602.40625,0.11231740294117645
602.5,0.11193821764705884
602.59375,0.11224616176470587
602.6875,0.11232718529411764
602.8125,0.11228423823529411
602.90625,0.11252733529411765
603.0,0.11200558235294114
603.09375,0.11289288823529411
603.1875,0.11373004999999997
603.3125,0.1139542
603.40625,0.11479652647058824
603.5,0.11488400588235295
603.59375,0.11599472941176468
603.6875,0.11711309411764706
603.8125,0.1174439176470588
603.90625,0.11729452352941175
604.0,0.1172290205882353
604.09375,0.11629297352941177
604.1875,0.1144595382352941
604.3125,0.11443944411764705
604.40625,0.11475695882352942
604.5,0.11350411764705885
604.59375,0.11298002058823531
604.6875,0.11224253529411765
604.8125,0.11200795294117648
604.90625,0.11236428529411767
605.0,0.11240164999999999
605.09375,0.11221507058823532
605.1875,0.11249204117647059
605.3125,0.11221831470588238
605.40625,0.11204352058823527
605.5,0.11203877352941174
605.59375,0.11236522058823531
605.6875,0.11178922352941177
605.8125,0.11216943235294116
605.90625,0.11168194705882356
606.0,0.11183690882352941
606.09375,0.1115217294117647
606.1875,0.11214530588235294
606.3125,0.11268222352941175
606.40625,0.11226539117647057
606.5,0.11187608235294118
606.59375,0.11197600294117649
606.6875,0.11161775294117647
606.8125,0.1125045794117647
606.90625,0.11195170000000004
607.0,0.11225514411764703
607.09375,0.11264372058823531
607.1875,0.11220518823529411
607.3125,0.11247180000000001
607.40625,0.11182307058823532
607.5,0.11228385588235294
607.59375,0.11217275588235294
607.6875,0.11274829411764704
607.8125,0.11229295882352941
607.90625,0.11207781764705882
608.0,0.11234302058823531
608.09375,0.11196654117647059
608.1875,0.11256819411764704
608.3125,0.11227799999999999
608.40625,0.11215380294117647
608.5,0.11193104117647064
608.59375,0.11225012058823532
608.6875,0.11205130588235297
608.8125,0.11210515588235297
608.90625,0.11215662647058823
609.0,0.11221417058823528
609.09375,0.11243474117647059
609.1875,0.11242369411764705
609.3125,0.11238806470588236
609.40625,0.11220776764705886
609.5,0.11243395294117647
609.59375,0.11210000588235293
609.6875,0.11236134411764705
609.8125,0.11273534117647055
609.90625,0.1118137882352941
610.0,0.11229257058823529
610.09375,0.11254431176470589
610.1875,0.11249580882352939
610.3125,0.11276584411764705
610.40625,0.11267708823529415
610.5,0.11256812647058825
610.59375,0.11284320588235293
610.6875,0.11463183823529412
610.8125,0.11746993235294118
610.90625,0.11926046470588234
611.0,0.13118927647058828
611.09375,0.16585627941176462
611.1875,0.21280469117647058
611.3125,0.2327182882352941
611.40625,0.24398799999999998
611.5,0.27462326764705886
611.59375,0.32501294117647056
611.6875,0.3541201617647058
611.8125,0.3552861617647059
611.90625,0.3540389823529411
612.0,0.3390770176470588
612.09375,0.2995308147058823
612.1875,0.24455997352941172
