Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,CrH atom%,Ta atom%,P atom%,Al atom%,Zr atom%,WO atom%,Noise reference atom%,C2 atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,C2 atom% Sigma,H atom% Sigma,O atom% Sigma
0,700,0,93,0,0,2.2857142857142856,0.4285714285714286,0,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,3.7142857142857144,0,0,0.9643650760992952,0,0,0.5648602087185696,0.2469050407046491,0,0,0.20174168744910037,0.14275506557161352,0.14275506557161352,0,0,0,0,0,0,0,0,0,0,0,0.7147753423891059,0
0.6000000238418579,518,0.19305019305019305,92.47104247104248,0.19305019305019305,0,1.9305019305019304,0.7722007722007722,0,0,0.5791505791505791,0,0,0,0.19305019305019305,0,0,0,0,0,0,0,0,0,3.667953667953668,0,0.1928637611447541,1.1593255856564773,0.1928637611447541,0,0.6045569476778532,0.38460676198659105,0,0,0.3334030759393289,0,0,0,0.1928637611447541,0,0,0,0,0,0,0,0,0,0.8259094468826611,0
1.2000000476837158,541,0.18484288354898337,90.57301293900186,0.5545286506469501,0,3.8817005545286505,0.36968576709796674,0,0,0.18484288354898337,0,0,0,0.36968576709796674,0,0,0,0,0,0,0,0,0,3.6968576709796674,0.18484288354898337,0.18467197007410985,1.2562822694665197,0.31926834980507884,0,0.8304536945182857,0.2609236726071547,0,0,0.18467197007410985,0,0,0,0.2609236726071547,0,0,0,0,0,0,0,0,0,0.8112187158307069,0.18467197007410985
1.8000000715255737,560,0.17857142857142858,91.42857142857143,0.35714285714285715,0,3.571428571428571,0.17857142857142858,0,0,0.5357142857142857,0,0.35714285714285715,0,0.17857142857142858,0,0,0,0,0,0,0,0,0,3.214285714285714,0,0.17841191855427074,1.182969530301179,0.25208677181633576,0,0.784205415762214,0.17841191855427074,0,0,0.3084652063486201,0,0.25208677181633576,0,0.17841191855427074,0,0,0,0,0,0,0,0,0,0.745339015357046,0
2.4000000953674316,694,0.5763688760806917,90.34582132564842,0.7204610951008645,0,2.5936599423631126,0.43227665706051877,0,0,0.2881844380403458,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043227665706052,0,0.28735273518613813,1.1210680256328476,0.3210372358495507,0,0.6033514973114046,0.24903503277105454,0,0,0.20348333147188294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8306872101104072,0
3.0000001192092896,704,0,92.1875,0.14204545454545456,0,2.414772727272727,0.2840909090909091,0,0,0.7102272727272727,0,0,0,0.14204545454545456,0,0,0,0,0,0,0,0,0,4.119318181818182,0,0,1.0114506653853774,0.1419445341387211,0,0.578553920007791,0.2005970607296744,0,0,0.3164933587865127,0,0,0,0.1419445341387211,0,0,0,0,0,0,0,0,0,0.7490173827281453,0
3.6000001430511475,849,0.9422850412249705,91.16607773851591,0.23557126030624262,0,1.2956419316843346,0.47114252061248524,0,0,0.11778563015312131,0,0,0,0.11778563015312131,0,0,0,0.11778563015312131,0,0,0,0,0,5.535924617196701,0,0.3315747539545916,0.9739565366324494,0.16637771965351855,0,0.38811177271413794,0.23501566693764853,0,0,0.11771624244156007,0,0,0,0.11771624244156007,0,0,0,0.11771624244156007,0,0,0,0,0,0.7848281607304886,0
4.200000166893005,1339,0.4480955937266617,92.15832710978343,0.14936519790888725,0,0.8215085884988798,0.37341299477221807,0,0,0.14936519790888725,0,0.14936519790888725,0,0,0,0,0,0,0,0,0,0,0,5.7505601194921585,0,0.18252393975089237,0.7346514901824261,0.10553823721038032,0,0.24667464654152393,0.16668328518417402,0,0,0.10553823721038032,0,0.10553823721038032,0,0,0,0,0,0,0,0,0,0,0,0.6362153959691653,0
4.800000190734863,1938,1.4447884416924663,87.82249742002064,0.30959752321981426,0,3.3023735810113517,0.7223942208462332,0,0,0.3611971104231166,0,0.05159958720330237,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647,0.10319917440660474,0.2710597542338668,0.7428568292670642,0.12619685364446054,0,0.40592343146823906,0.19236935667665345,0,0,0.13627289989384023,0,0.05158627289855143,0,0,0,0,0,0,0,0,0,0,0,0.5344833534402996,0.07293517263401023
5.400000214576721,1070,3.08411214953271,79.62616822429906,1.2149532710280373,0,11.869158878504672,0.9345794392523363,0,0,0.09345794392523366,0.09345794392523366,0,0,0,0,0,0,0,0,0,0,0,0,3.08411214953271,0,0.5285312634563999,1.231324094063782,0.3349141550659989,0,0.9887398547359427,0.2941556984836947,0,0,0.09341426178032565,0.09341426178032565,0,0,0,0,0,0,0,0,0,0,0,0,0.5285312634563999,0
6.000000238418579,441,8.616780045351474,51.70068027210885,4.988662131519274,0,32.6530612244898,0.45351473922902497,0,0,0.22675736961451248,0.22675736961451248,0,0,0,0.6802721088435374,0,0,0.22675736961451248,0,0,0,0,0,0.22675736961451248,0,1.3362460584654987,2.37957469027625,1.0367175909900403,0,2.2330661405395644,0.31995534801919995,0,0,0.2265001291804668,0.2265001291804668,0,0,0,0.3914171031290759,0,0,0.2265001291804668,0,0,0,0,0,0.2265001291804668,0
6.600000262260437,262,15.648854961832063,35.11450381679389,12.595419847328243,0,35.11450381679389,1.5267175572519083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2445853716695177,2.9489434020462912,2.0498532656500092,0,2.9489434020462912,0.7575091998674691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.200000286102295,157,35.03184713375796,21.656050955414013,10.828025477707007,0,29.29936305732484,1.2738853503184715,0,0,0.6369426751592357,0,0,0,0.6369426751592357,0,0,0,0,0,0,0,0,0,0.6369426751592357,0,3.807430214635229,3.2873241907003603,2.4799275878384988,0,3.6323770797474833,0.895017172898945,0,0,0.6349109549106132,0,0,0,0.6349109549106132,0,0,0,0,0,0,0,0,0,0.6349109549106132,0
7.800000309944153,126,34.12698412698413,12.698412698412698,30.158730158730158,0,22.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0.7936507936507936,0,0,0,0,0,0,0,4.223937235636336,2.9662005850867095,4.088625347331374,0,3.7037037037037033,0,0,0,0,0,0,0,0,0,0,0,0.7904951119936465,0,0,0,0,0,0,0
8.40000033378601,116,37.06896551724138,7.758620689655173,39.6551724137931,0,15.517241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.484444711718831,2.4838545440913418,4.541935390120768,0,3.361725949756974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.000000357627869,105,44.761904761904766,2.857142857142857,43.80952380952381,0,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9523809523809524,0.9523809523809524,4.852650094120535,1.6258361084396906,4.841957499208792,0,2.4343224778007384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9478349552916558,0.9478349552916558
9.600000381469727,136,50.73529411764706,1.4705882352941175,45.588235294117645,0,2.2058823529411766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2870009935650355,1.0321885435797338,4.270742059246512,0,1.2594417482358076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.200000405311584,158,46.20253164556962,0,49.36708860759494,0,1.2658227848101267,0,0,0,0.6329113924050633,0,0.6329113924050633,0,0,0,0,0.6329113924050633,0,0,0,0,0,0,0.6329113924050633,0.6329113924050633,3.966297283343126,0,3.977467726296488,0,0.8893888214310475,0,0,0,0.630905329062677,0,0.630905329062677,0,0,0,0,0.630905329062677,0,0,0,0,0,0,0.630905329062677,0.630905329062677
10.800000429153442,164,53.04878048780488,0,45.73170731707317,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6097560975609756,3.8970790637200636,0,3.8900919150004243,0,0,0,0,0,0,0.6078942425350188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6078942425350188
11.4000004529953,195,52.820512820512825,0,46.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205128,0,0,0,0,0,3.574872927581553,0,3.5726086776377795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5115038982916933,0,0,0,0,0
12.000000476837158,201,47.76119402985074,0.9950248756218906,48.756218905472636,0,0.4975124378109453,0,0,0,0.4975124378109453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9950248756218906,0.4975124378109453,3.5231909354026785,0.7000796438667749,3.5256367468290777,0,0.49627330154608607,0,0,0,0.49627330154608607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7000796438667749,0.49627330154608607
12.600000500679016,216,57.407407407407405,0.4629629629629629,40.27777777777778,0,0.4629629629629629,0,0,0,0.4629629629629629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4629629629629629,0.4629629629629629,3.364527865384327,0.4618900461951638,3.337135605757085,0,0.4618900461951638,0,0,0,0.4618900461951638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4618900461951638,0.4618900461951638
13.200000524520874,238,54.20168067226891,0,44.537815126050425,0,0.42016806722689076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42016806722689076,0.42016806722689076,3.2295548770535456,0,3.221621112099888,0,0.41928443203803994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41928443203803994,0.41928443203803994
13.800000548362732,229,50.65502183406113,0,48.03493449781659,0,0.8733624454148471,0,0,0,0,0,0,0,0.43668122270742354,0,0,0,0,0,0,0,0,0,0,0,3.3038094635080757,0,3.3015402767503725,0,0.614857822811577,0,0,0,0,0,0,0,0.4357267270902411,0,0,0,0,0,0,0,0,0,0,0
14.40000057220459,242,52.066115702479344,0,47.107438016528924,0,0.4132231404958678,0.4132231404958678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211376449761459,0,3.208738768454188,0,0.4123684898591313,0.4123684898591313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.000000596046448,155,56.774193548387096,0.6451612903225806,42.58064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97906643433258,0.643076757279471,3.9716358649459065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

