Position x (Å), Position y (Å), Position z (Å)
4.41657039, 9.99609950, 2.20898371
4.36084765, 10.03841396, 2.20297772
4.26865625, 10.10186857, 2.22345263
4.15362579, 10.18802262, 2.26351703
4.02958732, 10.28903085, 2.30043829
3.91127271, 10.39096168, 2.31418355
3.81062777, 10.48198677, 2.29568302
3.74121927, 10.54540301, 2.24820502
3.72449897, 10.56129889, 2.19331119
3.77901800, 10.51998517, 2.15972263
3.88724566, 10.43502356, 2.15071825
4.00886177, 10.33217043, 2.14468296
4.11452032, 10.23817494, 2.12041477
4.19058325, 10.17145360, 2.06790220
4.23706039, 10.13558444, 1.99142181
4.26424442, 10.12544300, 1.90599547
4.28390891, 10.13593881, 1.82804266
4.30338961, 10.16307919, 1.77157282
4.32563313, 10.19811456, 1.74959796
4.35060133, 10.22537578, 1.77402380
4.37291565, 10.23132075, 1.84842838
4.38207176, 10.21817771, 1.95968740
4.36712498, 10.20132865, 2.08098304
4.32345819, 10.20347579, 2.17787877
4.25768067, 10.25159263, 2.22158691
4.18012730, 10.35186294, 2.21137574
4.09733857, 10.47505369, 2.17168578
4.01903187, 10.58276834, 2.11937858
3.95878879, 10.64395082, 2.06067250
3.92441326, 10.64621860, 2.00277002
3.91727340, 10.60442896, 1.95943047
3.93791326, 10.54272254, 1.94357676
3.98350366, 10.47845069, 1.96128373
4.04337913, 10.41995330, 2.00638538
4.10437666, 10.37029008, 2.06554609
4.15346288, 10.32960130, 2.12171132
4.18118271, 10.29306640, 2.15481937
4.18735809, 10.24953682, 2.15579679
4.18197655, 10.19039491, 2.13203508
4.17712626, 10.11713522, 2.09688901
4.18296550, 10.04288620, 2.06155001
4.20945569, 9.98710464, 2.03366924
4.25885982, 9.96848500, 2.01915243
4.31376157, 9.99719394, 2.02131405
4.34718144, 10.07224990, 2.04309630
4.34650280, 10.17473148, 2.08359507
4.31905035, 10.27086707, 2.13149601
4.28170349, 10.33078046, 2.16646888
4.24971698, 10.34858756, 2.18010477
4.23055062, 10.34248577, 2.18418169
4.22310514, 10.33137730, 2.18883982
4.21877194, 10.32561794, 2.19045060
4.20105527, 10.33151005, 2.17618310
4.15455468, 10.35058642, 2.13550370
4.08579532, 10.37441132, 2.07512130
4.02275538, 10.39121440, 2.01773562
3.99040321, 10.39462323, 1.98806416
3.99685767, 10.38242931, 2.00026371
4.03429930, 10.35455213, 2.05461902
4.08960846, 10.31268454, 2.14221288
4.15322436, 10.26096231, 2.24683495
4.21744963, 10.20626584, 2.34901220
4.26691889, 10.15994959, 2.42324247
4.27799658, 10.13770847, 2.44396800
4.23435255, 10.14677670, 2.40388896
4.14626491, 10.17821702, 2.31900782
4.04024470, 10.21512067, 2.21286021
3.93737195, 10.24257199, 2.10247854
3.85476383, 10.25098961, 2.00111632
3.80711172, 10.24103864, 1.91484858
3.80203792, 10.22252238, 1.85292800
3.83605743, 10.20779975, 1.82580292
3.89226600, 10.20212722, 1.84006439
3.94646586, 10.20427700, 1.88928562
3.98499851, 10.21591723, 1.95344906
4.01052920, 10.24259586, 2.00980444
4.03197066, 10.28328331, 2.04846254
4.05573296, 10.33156303, 2.07306023
4.08470723, 10.37913811, 2.09085125
4.11962247, 10.41849509, 2.10723220
4.15861089, 10.44374626, 2.12374444
4.19530342, 10.45269812, 2.13834376
4.21987561, 10.44870181, 2.14660885
4.22507964, 10.43796751, 2.14447752
4.21096029, 10.42650477, 2.12939651
4.18194772, 10.41961798, 2.10038900
4.14282240, 10.42062860, 2.05916882
4.09725927, 10.42725647, 2.01159765
4.04927212, 10.43128421, 1.96635284
4.00667369, 10.42249037, 1.93339634
3.97899715, 10.39478775, 1.91830768
3.97572716, 10.35190722, 1.92037032
4.00462897, 10.30437874, 1.93486105
4.06602233, 10.26728197, 1.95546520
4.14868055, 10.25620103, 1.98014051
4.22993920, 10.28697267, 2.00953242
4.28782583, 10.36266066, 2.04286582
4.31128301, 10.46400046, 2.07701033
4.29471530, 10.55798954, 2.10267240
4.23432937, 10.61200521, 2.10538619
4.13294472, 10.60876809, 2.07998401
4.00882635, 10.55433562, 2.03886721
3.89126297, 10.46286480, 1.99678249
3.81202615, 10.34936619, 1.96271193
3.79989993, 10.24181072, 1.94184588
3.86883283, 10.18055554, 1.94009925
3.99962754, 10.17375815, 1.96455847
4.15369356, 10.19937984, 2.01600768
4.29859792, 10.23712663, 2.08749347
4.40416324, 10.27514802, 2.17299393
4.44763998, 10.30375897, 2.26714800
4.42471034, 10.31584680, 2.35395522
4.34860497, 10.31582600, 2.41318863
4.23927257, 10.31337134, 2.44008717
4.11348994, 10.31216420, 2.44281201
3.98470728, 10.31133924, 2.43071397
3.86727767, 10.30567935, 2.41227334
3.78294108, 10.28257735, 2.39551007
3.75157883, 10.23235050, 2.38578491
3.77267035, 10.17013874, 2.37825141
3.82988117, 10.12771174, 2.36501834
3.90390274, 10.12489193, 2.34102679
3.98185396, 10.16290152, 2.29943923
4.06205948, 10.22771432, 2.22943901
4.14687802, 10.30038220, 2.12636669
4.23325089, 10.36447056, 1.99775057
4.31101353, 10.40527336, 1.86306244
4.36767415, 10.41367812, 1.74278933
4.39002659, 10.38773833, 1.65715502
4.37408619, 10.33235199, 1.61480475
4.32974979, 10.26045062, 1.61057915
4.27109020, 10.18730082, 1.63443043
4.20913079, 10.12894440, 1.67636917
4.14506923, 10.09602958, 1.72678975
4.07509031, 10.08903814, 1.77750275
3.99426896, 10.10072395, 1.82259478
3.90197099, 10.12256530, 1.86357782
3.80644992, 10.14710613, 1.90790773
3.72015384, 10.16927483, 1.96024755
3.65434303, 10.18662587, 2.01371424
3.62000298, 10.19629387, 2.05164683
3.62233554, 10.19570669, 2.06389171
3.65403965, 10.18663484, 2.05757346
3.69730264, 10.18126355, 2.05009914
3.72982686, 10.20330048, 2.05395635
3.73661550, 10.26952981, 2.06785967
3.72593416, 10.36444220, 2.07951337
3.72304246, 10.44926211, 2.07797471
3.74818246, 10.49434328, 2.06132063
3.80226962, 10.49785003, 2.03681619
3.87329716, 10.47610872, 2.01938954
3.94641859, 10.44651185, 2.02606104
4.00857707, 10.41744196, 2.06899755
4.04510453, 10.38300302, 2.14584316
4.04507486, 10.33114175, 2.24003672
4.01153153, 10.26268293, 2.32507375
3.96539678, 10.19165932, 2.36870331
3.93616425, 10.13041481, 2.34797058
3.94171290, 10.08430630, 2.26455762
3.98046028, 10.05324825, 2.14328976
4.04147223, 10.03347178, 2.01548293
4.10994881, 10.02298112, 1.90281630
4.16322181, 10.02939583, 1.81911590
4.17969268, 10.06342887, 1.77007619
4.15751355, 10.11528431, 1.75689149
4.11411500, 10.15473131, 1.78198667
4.06912873, 10.16472255, 1.84271529
4.03839837, 10.15555805, 1.92563123
4.03288390, 10.15142369, 2.01497522
4.05494631, 10.17275960, 2.09778146
4.09213660, 10.22883845, 2.15980011
4.11410083, 10.31409011, 2.18213640
4.09018642, 10.41278743, 2.14918334
4.02095714, 10.50031836, 2.06812205
3.93485656, 10.54827625, 1.97329984
3.86165222, 10.53758779, 1.91664775
3.81206820, 10.47116686, 1.93447135
3.77618389, 10.37173446, 2.01495534
3.74703664, 10.26775616, 2.11973519
3.73220042, 10.18169150, 2.22424179
3.74726366, 10.12896300, 2.31711672
3.79867844, 10.11412821, 2.38859539
3.88114538, 10.13422551, 2.43213002
3.97996162, 10.18071864, 2.44672922
4.07684040, 10.24208916, 2.43692606
4.15463727, 10.30823506, 2.40807820
4.19465208, 10.37412889, 2.36287287
4.18413756, 10.44071991, 2.30344812
4.13103075, 10.50822150, 2.23088149
4.06013283, 10.57089815, 2.14327566
4.00004549, 10.61482078, 2.04429889
3.97210431, 10.62611746, 1.94338655
3.98298804, 10.59514898, 1.84986493
4.01987618, 10.52089842, 1.77151381
4.06350342, 10.41407596, 1.71327282
4.10182959, 10.29790165, 1.67861759
4.12827562, 10.20199753, 1.67834913
4.14214837, 10.15125820, 1.72389242
4.14975176, 10.14627293, 1.81037536
4.15566175, 10.16859623, 1.91743936
4.16014092, 10.20051197, 2.02548817
4.16114003, 10.22953483, 2.11749953
4.15789891, 10.24735847, 2.18425253
4.15635992, 10.25049876, 2.22648334
4.16525298, 10.24212830, 2.25168970
4.18856385, 10.23070536, 2.26823430
4.22304034, 10.22597068, 2.28181800
4.25925090, 10.23668886, 2.29290058
4.27854908, 10.26421686, 2.29754525
4.25874758, 10.29568697, 2.29055739
4.19075395, 10.31552577, 2.26565531
4.09333236, 10.32040277, 2.21718300
3.99197811, 10.30981960, 2.14493612
3.90301713, 10.28139092, 2.05346914
3.83701640, 10.23671042, 1.95455314
3.80099838, 10.18209774, 1.86455409
3.80011008, 10.12470221, 1.79586722
3.83174389, 10.07075762, 1.75346164
3.88502444, 10.03320027, 1.74177460
3.93956989, 10.02886166, 1.76805287
3.97368080, 10.06535582, 1.83982682
3.98542841, 10.13014702, 1.94814503
3.99613864, 10.20143958, 2.06999509
4.03299217, 10.26369919, 2.18822687
4.11213298, 10.30846495, 2.29312397
4.22628079, 10.33878270, 2.37980214
4.34193210, 10.35911411, 2.43939973
4.41033284, 10.36201565, 2.45459158
4.40717241, 10.33798375, 2.41497609
4.36349498, 10.29431025, 2.34148530
4.32288137, 10.24668585, 2.26959590
4.30832208, 10.20200024, 2.22665500
4.31699384, 10.16221283, 2.21905195
4.33161426, 10.12970743, 2.23820672
4.33704428, 10.10750274, 2.27123733
4.32569738, 10.10199690, 2.30426453
4.29432370, 10.11989181, 2.32682256
4.24181732, 10.16498956, 2.33208384
4.17091921, 10.23594469, 2.31732793
4.08945674, 10.32576352, 2.28410789
4.01043943, 10.42308548, 2.23582443
3.95503003, 10.51167557, 2.17622814
3.94949201, 10.56385984, 2.11468655
4.00512931, 10.55884458, 2.06877291
4.10455042, 10.50516039, 2.04700385
4.21952731, 10.42721718, 2.04367628
4.32690434, 10.34697136, 2.05232049
4.40523476, 10.28380835, 2.07439406
4.43757124, 10.25010067, 2.11164255
4.41684179, 10.24665081, 2.16230113
4.35223003, 10.26390439, 2.21946398
4.26546015, 10.29039341, 2.27601193
4.18029480, 10.31430830, 2.32538788
4.11513797, 10.32323680, 2.36210200
4.07540666, 10.30408901, 2.38081711
4.05176829, 10.25247523, 2.36913158
4.02871402, 10.17671829, 2.31513785
3.99689990, 10.09608003, 2.21863432
3.95906641, 10.03435904, 2.09480612
3.92230328, 10.01057019, 1.96486732
3.88998582, 10.03735089, 1.85238309
3.86136614, 10.11856635, 1.77079420
3.83737020, 10.24485257, 1.72199295
3.82545120, 10.39276562, 1.70177999
3.83704787, 10.53228662, 1.70547284
