x-axis (inverse cm), DICING_transmission_spectrum (percent), PDMS_transmission_spectrum (percent), x-axis (inverse cm), KAPTON_transmission_spectrum (percent), PMMA_transmission_spectrum (percent)
3810.41201,1.05692,1.05987,3810.41201,1.05651,1.02699
3808.48366,1.05722,1.06004,3808.48366,1.05678,1.02726
3806.55531,1.05758,1.06032,3806.55531,1.05715,1.02752
3804.62697,1.05765,1.0605,3804.62697,1.05727,1.02758
3802.69862,1.05765,1.06057,3802.69862,1.05737,1.02764
3800.77028,1.05764,1.06042,3800.77028,1.05746,1.02758
3798.84193,1.05735,1.06006,3798.84193,1.05726,1.02719
3796.91358,1.05698,1.05979,3796.91358,1.05697,1.02682
3794.98524,1.05672,1.05955,3794.98524,1.05678,1.02661
3793.05689,1.05645,1.05917,3793.05689,1.0566,1.02642
3791.12854,1.05624,1.05881,3791.12854,1.05645,1.02625
3789.2002,1.05616,1.05862,3789.2002,1.05634,1.02612
3787.27185,1.05608,1.0585,3787.27185,1.05624,1.02602
3785.34351,1.05604,1.05844,3785.34351,1.05622,1.02604
3783.41516,1.05616,1.05849,3783.41516,1.05638,1.0262
3781.48681,1.05638,1.05861,3781.48681,1.05665,1.02639
3779.55847,1.05653,1.05867,3779.55847,1.05683,1.02641
3777.63012,1.05644,1.05863,3777.63012,1.05675,1.0262
3775.70178,1.0562,1.05854,3775.70178,1.0565,1.02591
3773.77343,1.05605,1.05843,3773.77343,1.05626,1.02574
3771.84508,1.0561,1.05836,3771.84508,1.0561,1.02571
3769.91674,1.05624,1.05843,3769.91674,1.05609,1.02576
3767.98839,1.05629,1.05857,3767.98839,1.05617,1.0257
3766.06004,1.05623,1.05863,3766.06004,1.05623,1.02554
3764.1317,1.05628,1.05865,3764.1317,1.0563,1.02548
3762.20335,1.05641,1.05872,3762.20335,1.05635,1.02556
3760.27501,1.05652,1.05884,3760.27501,1.0563,1.02563
3758.34666,1.05664,1.05904,3758.34666,1.05607,1.0256
3756.41831,1.05677,1.05924,3756.41831,1.05577,1.02555
3754.48997,1.05696,1.05947,3754.48997,1.05566,1.02572
3752.56162,1.05741,1.05993,3752.56162,1.05595,1.02622
3750.63328,1.05809,1.06065,3750.63328,1.05632,1.02664
3748.70493,1.05817,1.06096,3748.70493,1.05613,1.02632
3746.77658,1.05757,1.06066,3746.77658,1.0555,1.02552
3744.84824,1.05706,1.06004,3744.84824,1.05524,1.02498
3742.91989,1.05678,1.05932,3742.91989,1.05548,1.02483
3740.99154,1.05629,1.05865,3740.99154,1.05563,1.02473
3739.0632,1.05559,1.05814,3739.0632,1.05519,1.02438
3737.13485,1.05486,1.05763,3737.13485,1.05451,1.02391
3735.20651,1.05476,1.05745,3735.20651,1.05471,1.02405
3733.27816,1.05547,1.05782,3733.27816,1.0561,1.02509
3731.34981,1.05626,1.0584,3731.34981,1.05692,1.02582
3729.42147,1.05646,1.05876,3729.42147,1.05609,1.0254
3727.49312,1.05625,1.05883,3727.49312,1.05455,1.02443
3725.56478,1.05605,1.05878,3725.56478,1.05359,1.0238
3723.63643,1.05608,1.05882,3723.63643,1.05356,1.02377
3721.70808,1.05625,1.0589,3721.70808,1.05394,1.02401
3719.77974,1.05636,1.05889,3719.77974,1.0543,1.0242
3717.85139,1.05619,1.0586,3717.85139,1.05461,1.02431
3715.92304,1.05575,1.05809,3715.92304,1.0549,1.02436
3713.9947,1.05545,1.05767,3713.9947,1.05524,1.02452
3712.06635,1.05578,1.05777,3712.06635,1.05558,1.02485
3710.13801,1.05635,1.05816,3710.13801,1.05577,1.02504
3708.20966,1.05615,1.05798,3708.20966,1.05582,1.02482
3706.28131,1.05537,1.05733,3706.28131,1.05579,1.02444
3704.35297,1.05476,1.05681,3704.35297,1.05578,1.02421
3702.42462,1.05464,1.05664,3702.42462,1.05583,1.02418
3700.49628,1.05492,1.05677,3700.49628,1.05574,1.02421
3698.56793,1.05533,1.05706,3698.56793,1.0554,1.02419
3696.63958,1.05558,1.05736,3696.63958,1.05501,1.02409
3694.71124,1.05563,1.05764,3694.71124,1.0547,1.02392
3692.78289,1.05558,1.05783,3692.78289,1.05459,1.02384
3690.85454,1.05554,1.05777,3690.85454,1.055,1.02399
3688.9262,1.0555,1.0575,3688.9262,1.05563,1.0241
3686.99785,1.05547,1.05732,3686.99785,1.05558,1.02373
3685.06951,1.05545,1.05738,3685.06951,1.05491,1.02309
3683.14116,1.05549,1.05754,3683.14116,1.05435,1.02258
3681.21281,1.0555,1.05761,3681.21281,1.05412,1.02225
3679.28447,1.05545,1.05772,3679.28447,1.05402,1.02206
3677.35612,1.05541,1.0579,3677.35612,1.05406,1.02194
3675.42778,1.05544,1.05798,3675.42778,1.05429,1.02166
3673.49943,1.05535,1.05782,3673.49943,1.05441,1.02108
3671.57108,1.05509,1.05751,3671.57108,1.05435,1.02044
3669.64274,1.05501,1.05729,3669.64274,1.05445,1.01996
3667.71439,1.0552,1.0573,3667.71439,1.05461,1.01955
3665.78604,1.05535,1.05738,3665.78604,1.05454,1.0191
3663.8577,1.05531,1.05729,3663.8577,1.05422,1.01856
3661.92935,1.05508,1.05704,3661.92935,1.05376,1.01791
3660.00101,1.05479,1.05681,3660.00101,1.05338,1.01725
3658.07266,1.05462,1.05667,3658.07266,1.0533,1.01668
3656.14431,1.05462,1.05657,3656.14431,1.0534,1.01622
3654.21597,1.05454,1.05644,3654.21597,1.05336,1.01583
3652.28762,1.05423,1.05624,3652.28762,1.05305,1.01541
3650.35928,1.0541,1.05614,3650.35928,1.05257,1.01487
3648.43093,1.05438,1.05623,3648.43093,1.05212,1.01429
3646.50258,1.0546,1.05628,3646.50258,1.05194,1.01388
3644.57424,1.05453,1.05625,3644.57424,1.05199,1.01366
3642.64589,1.05433,1.05619,3642.64589,1.05215,1.01353
3640.71754,1.05427,1.05616,3640.71754,1.05245,1.01355
3638.7892,1.05438,1.05618,3638.7892,1.05278,1.01364
3636.86085,1.05454,1.05624,3636.86085,1.05288,1.01356
3634.93251,1.05458,1.05628,3634.93251,1.05272,1.01329
3633.00416,1.05431,1.05616,3633.00416,1.05242,1.01302
