Wavelength [nm],Voltage [V],Normalised voltage,Wavelength simulation [nm],Relative intensity simulation
609.3125,0.1123880647,0.3163311066,600.48048,0.00000000
609.40625,0.1122077676,0.3158236366,600.70070,0.00000004
609.5,0.1124339529,0.3164602651,600.92092,0.00000034
609.59375,0.1121000059,0.3155203268,601.14114,0.00000274
609.6875,0.1123613441,0.3162558979,601.36136,0.00001804
609.8125,0.1127353412,0.3173085622,601.58158,0.00009799
609.90625,0.1118137882,0.3147147293,601.80180,0.00043841
610.0,0.1122925706,0.3160623257,602.02202,0.00161555
610.09375,0.1125443118,0.3167708846,602.24224,0.00490355
610.1875,0.1124958088,0.3166343667,602.46246,0.01225897
610.3125,0.1127658441,0.3173944168,602.68268,0.02524349
610.40625,0.1126770882,0.3171446016,602.90290,0.04281511
610.5,0.1125681265,0.3168379143,603.12312,0.05981318
610.59375,0.1128432059,0.3176121618,603.34334,0.06882542
610.6875,0.1146318382,0.3226465046,603.56356,0.06523085
610.8125,0.1174699324,0.3306346967,603.78378,0.05092246
610.90625,0.1192604647,0.3356743874,604.00400,0.03274296
611.0,0.1311892765,0.3692496094,604.22422,0.01734118
611.09375,0.1658562794,0.4668244848,604.44444,0.00756470
611.1875,0.2128046912,0.5989670133,604.66466,0.00271804
611.3125,0.2327182882,0.655016472,604.88488,0.00080440
611.40625,0.243988,0.6867365697,605.10511,0.00019608
611.5,0.2746232676,0.7729635916,605.32533,0.00003937
611.59375,0.3250129412,0.9147920076,605.54555,0.00000651
611.6875,0.3541201618,0.9967181384,605.76577,0.00000089
611.8125,0.3552861618,1,605.98599,0.00000010
611.90625,0.3540389824,0.9964896482,606.20621,0.00000001
612.0,0.3390770176,0.9543772152,606.42643,0.00000000
612.09375,0.2995308147,0.8430691846,606.64665,0.00000000
612.1875,0.2445599735,0.688346465,606.86687,0.00000000
612.3125,0.2212120794,0.622630722,607.08709,0.00000000
612.40625,0.2056158353,0.5787330254,607.30731,0.00000000
612.5,0.1764465735,0.4966322714,607.52753,0.00000000
612.59375,0.1365087441,0.3842219563,607.74775,0.00000000
612.6875,0.1171076765,0.3296150795,607.96797,0.00000000
612.8125,0.1153476147,0.3246611524,608.18819,0.00000000
612.90625,0.1144959676,0.3222640788,608.40841,0.00000005
613.0,0.1126118882,0.3169610876,608.62863,0.00000049
613.09375,0.1123784294,0.3163039868,608.84885,0.00000430
613.1875,0.1125310029,0.3167334252,609.06907,0.00003123
613.3125,0.1128433029,0.3176124349,609.28929,0.00018702
613.40625,0.1126964118,0.3171989903,609.50951,0.00092241
613.5,0.1126697265,0.317123881,609.72973,0.00374723
613.59375,0.1125164794,0.3166925468,609.94995,0.01253860
613.6875,0.1124935206,0.3166279261,610.17017,0.03455729
613.8125,0.1125540735,0.3167983604,610.39039,0.07844812
613.90625,0.1119119971,0.3149911511,610.61061,0.14668225
614.0,0.1123611324,0.3162553019,610.83083,0.22590445
614.09375,0.1135468529,0.3195926697,611.05105,0.28656568
614.1875,0.1129548118,0.3179262913,611.27127,0.29941652
614.3125,0.1123367765,0.316186749,611.49149,0.25767928
614.40625,0.1116692029,0.3143077749,611.71171,0.18265662
614.5,0.1121038559,0.3155311632,611.93193,0.10664574
614.59375,0.1123739824,0.3162914699,612.15215,0.05128659
614.6875,0.1120610294,0.3154106224,612.37237,0.02031497
614.8125,0.11231785,0.316133478,612.59259,0.00662798
614.90625,0.1121630824,0.3156978639,612.81281,0.00178114
615.0,0.1126959824,0.3171977816,613.03303,0.00039425
615.09375,0.1122821235,0.3160329211,613.25325,0.00007188
615.1875,0.1120621971,0.3154139089,613.47347,0.00001079
615.3125,0.1123341559,0.3161793731,613.69369,0.00000134
615.40625,0.1125253324,0.3167174646,613.91391,0.00000014
615.5,0.1121569824,0.3156806947,614.13413,0.00000001
615.59375,0.1121247059,0.3155898483,614.35435,0.00000000
615.6875,0.1120562853,0.3153972695,614.57457,0.00000000
615.8125,0.1120520765,0.3153854232,614.79479,0.00000000
615.90625,0.1121903824,0.3157747034,615.01502,0.00000000
616.0,0.1120261059,0.3153123255,615.23524,0.00000000
616.09375,0.1120977059,0.3155138532,615.45546,0.00000000
616.1875,0.1122978265,0.3160771191,615.67568,0.00000000
616.3125,0.1119704147,0.3151555753,615.89590,0.00000000
616.40625,0.1118835971,0.3149112155,616.11612,0.00000000
616.5,0.1124189176,0.3164179463,616.33634,0.00000007
616.59375,0.1124962235,0.3166355339,616.55656,0.00000074
616.6875,0.1119497588,0.3150974366,616.77678,0.00000681
616.8125,0.1120993176,0.3155183897,616.99700,0.00005146
616.90625,0.1119484912,0.3150938686,617.21722,0.00032024
617.0,0.1122100559,0.3158300772,617.43744,0.00164165
617.09375,0.1124342853,0.3164612006,617.65766,0.00693156
617.1875,0.1120501235,0.3153799263,617.87788,0.02410652
617.3125,0.1121244882,0.3155892357,618.09810,0.06905422
617.40625,0.1120669706,0.3154273446,618.31832,0.16292889
617.5,0.1118549324,0.3148305349,618.53854,0.31663447
617.59375,0.1122615088,0.3159748983,618.75876,0.50683950
617.6875,0.11237195,0.3162857496,618.97898,0.66824372
617.8125,0.11213665,0.3156234666,619.19920,0.72569060
617.90625,0.1122352529,0.3159009976,619.41942,0.64911297
618.0,0.1123296029,0.3161665582,619.63964,0.47823488
618.09375,0.1120904412,0.3154934057,619.85986,0.29021135
618.1875,0.1124599029,0.3165333048,620.08008,0.14505734
618.3125,0.1120349,0.3153370777,620.30030,0.05971964
618.40625,0.1124651941,0.3165481975,620.52052,0.02025102
618.5,0.1121240324,0.3155879525,620.74074,0.00565625
618.59375,0.1135368706,0.319564573,620.96096,0.00130126
618.6875,0.1146635529,0.3227357699,621.18118,0.00024657
618.8125,0.1158195412,0.325989452,621.40140,0.00003848
618.90625,0.1170902206,0.3295659476,621.62162,0.00000495
619.0,0.1189437324,0.3347829022,621.84184,0.00000052
619.09375,0.1226819824,0.3453047024,622.06206,0.00000005
619.1875,0.1274260529,0.358657518,622.28228,0.00000000
619.3125,0.1301646294,0.3663656045,622.50250,0.00000000
619.40625,0.1316243824,0.3704742726,622.72272,0.00000000
619.5,0.1338164559,0.3766441542,622.94294,0.00000000
619.59375,0.1362871324,0.3835982006,623.16316,0.00000000
619.6875,0.1369549,0.3854777212,623.38338,0.00000000
619.8125,0.1362002029,0.3833535263,623.60360,0.00000000
619.90625,0.1355168176,0.3814300478,623.82382,0.00000000
620.0,0.1334952324,0.375740028,624.04404,0.00000000
620.09375,0.1296983412,0.3650531744,624.26426,0.00000001
620.1875,0.1252096353,0.3524191167,624.48448,0.00000011
620.3125,0.1225533941,0.3449427738,624.70470,0.00000125
620.40625,0.12114415,0.3409762694,624.92492,0.00001127
620.5,0.1189291294,0.3347418003,625.14515,0.00008372
620.59375,0.1157049882,0.3256670276,625.36537,0.00051246
620.6875,0.1134107676,0.3192096396,625.58559,0.00258374
620.8125,0.1127814706,0.3174383996,625.80581,0.01072962
620.90625,0.1130099059,0.318081361,626.02603,0.03670058
621.0,0.1129459559,0.3179013653,626.24625,0.10339836
621.09375,0.1129504735,0.3179140808,626.46647,0.23994216
621.1875,0.1122337,0.3158966267,626.68669,0.45861860
621.3125,0.1121249971,0.3155906678,626.90691,0.72201951
621.40625,0.1118771706,0.3148931274,627.12713,0.93626411
621.5,0.1121749294,0.315731209,627.34735,1.00000000
621.59375,0.1126530618,0.3170769759,627.56757,0.87973891
621.6875,0.1117253441,0.3144657916,627.78779,0.63747004
621.8125,0.1125442559,0.3167707274,628.00801,0.38046782
621.90625,0.1123708853,0.3162827529,628.22823,0.18703732
622.0,0.1123889176,0.3163335073,628.44845,0.07573398
622.09375,0.1119595853,0.3151250945,628.66867,0.02525838
622.1875,0.1115117294,0.3138645447,628.88889,0.00693861
622.3125,0.1121379471,0.3156271173,629.10911,0.00156997
622.40625,0.1120706971,0.3154378333,629.32933,0.00029259
622.5,0.1118785029,0.3148968775,629.54955,0.00004491
622.59375,0.1123636206,0.3162623054,629.76977,0.00000568
622.6875,0.1119684088,0.3151499295,629.98999,0.00000059
622.8125,0.1120803353,0.3154649614,630.21021,0.00000005
622.90625,0.1121330765,0.3156134084,630.43043,0.00000000
623.0,0.1123647647,0.3162655256,630.65065,0.00000000
623.09375,0.1119931324,0.3152195171,630.87087,0.00000000
623.1875,0.1122875824,0.3160482857,631.09109,0.00000000
623.3125,0.1122019118,0.3158071545,631.31131,0.00000000
623.40625,0.1118854765,0.3149165054,631.53153,0.00000000
623.5,0.1120965353,0.3155105584,631.75175,0.00000000
623.59375,0.1122667647,0.3159896917,631.97197,0.00000000
623.6875,0.1116843471,0.3143504,632.19219,0.00000000
623.8125,0.1115030618,0.3138401485,632.41241,0.00000000
623.90625,0.1118389353,0.3147855091,632.63263,0.00000002
624.0,0.1119984618,0.3152345175,632.85285,0.00000019
624.09375,0.1120142618,0.3152789887,633.07307,0.00000194
624.1875,0.1116084059,0.3141366535,633.29329,0.00001631
624.3125,0.1121167147,0.315567356,633.51351,0.00011325
624.40625,0.1123024765,0.3160902072,633.73373,0.00064767
624.5,0.1119446235,0.3150829826,633.95395,0.00305070
624.59375,0.1119054265,0.3149726573,634.17417,0.01183587
624.6875,0.1119534471,0.3151078176,634.39439,0.03782273
624.8125,0.1118501853,0.3148171737,634.61461,0.09955377
624.90625,0.1122201412,0.3158584636,634.83483,0.21583146
625.0,0.1122825029,0.316033989,635.05506,0.38541087
625.09375,0.1120043824,0.3152511817,635.27528,0.56687244
625.1875,0.1120580765,0.315402311,635.49550,0.68675037
625.3125,0.1123973529,0.3163572496,635.71572,0.68527460
625.40625,0.1121245206,0.3155893267,635.93594,0.56322581
625.5,0.1118242471,0.3147441671,636.15616,0.38128756
625.59375,0.1122711206,0.3160019519,636.37638,0.21260570
625.6875,0.1121303529,0.3156057427,636.59660,0.09764485
625.8125,0.11161385,0.3141519767,636.81682,0.03693822
625.90625,0.1120400647,0.3153516145,637.03704,0.01150946
626.0,0.1118030382,0.314684472,637.25726,0.00295383
626.09375,0.1123758441,0.3162967101,637.47748,0.00062441
626.1875,0.1124278618,0.3164431207,637.69770,0.00010872
626.3125,0.1120284706,0.3153189813,637.91792,0.00001559
626.40625,0.1126297853,0.3170114612,638.13814,0.00000184
626.5,0.1116870353,0.3143579664,638.35836,0.00000018
626.59375,0.1117073235,0.3144150703,638.57858,0.00000001
626.6875,0.1126568412,0.3170876136,638.79880,0.00000000
626.8125,0.11272905,0.3172908549,639.01902,0.00000000
626.90625,0.1128387588,0.3175996449,639.23924,0.00000000
627.0,0.1140951588,0.3211359493,639.45946,0.00000000
627.09375,0.1160107412,0.3265276097,639.67968,0.00000000
627.1875,0.1221944206,0.3439323952,639.89990,0.00000000
627.3125,0.1243046529,0.3498719239,640.12012,0.00000000
627.40625,0.1262617441,0.3553804164,640.34034,0.00000000
627.5,0.1300564441,0.3660611026,640.56056,0.00000000
627.59375,0.1379858059,0.3883793424,640.78078,0.00000000
627.6875,0.1448196971,0.4076142351,641.00100,0.00000000
627.8125,0.1461121559,0.4112520318,641.22122,0.00000001
627.90625,0.1455034559,0.4095387649,641.44144,0.00000013
628.0,0.1439553353,0.4051813743,641.66166,0.00000123
628.09375,0.1397205147,0.3932619104,641.88188,0.00000920
628.1875,0.1315150765,0.3701666167,642.10210,0.00005692
628.3125,0.1291942265,0.3636342767,642.32232,0.00029004
628.40625,0.1284008412,0.3614011887,642.54254,0.00121720
628.5,0.1235449441,0.3477336227,642.76276,0.00420751
628.59375,0.1182897941,0.3329423064,642.98298,0.01197952
628.6875,0.1140775235,0.3210863124,643.20320,0.02809351
628.8125,0.1136570735,0.3199029001,643.42342,0.05426562
628.90625,0.1130725147,0.3182575818,643.64364,0.08633673
629.0,0.1127076618,0.3172306549,643.86386,0.11314063
629.09375,0.1125266559,0.3167211898,644.08408,0.12212197
629.1875,0.1127929588,0.3174707348,644.30430,0.10857283
629.3125,0.1125677676,0.3168369043,644.52452,0.07950615
629.40625,0.1123752147,0.3162949386,644.74474,0.04795484
629.5,0.1121916765,0.3157783459,644.96496,0.02382409
629.59375,0.1121687382,0.3157137832,645.18519,0.00974883
629.6875,0.1121602294,0.3156898339,645.40541,0.00328580
629.8125,0.1116385441,0.3142214815,645.62563,0.00091218
629.90625,0.1120595059,0.3154063342,645.84585,0.00020858
630.0,0.1122573647,0.3159632341,646.06607,0.00003928
630.09375,0.1123665941,0.3162706748,646.28629,0.00000609
630.1875,0.1122043176,0.3158139261,646.50651,0.00000078
630.3125,0.1119106176,0.3149872685,646.72673,0.00000008
630.40625,0.1124913882,0.3166219244,646.94695,0.00000001
630.5,0.1123228676,0.3161476008,647.16717,0.00000000
