x_IR_A, y_IR_A, x_IR_B, y_IR_B, x_IR_C, y_IR_C
3814.27129,1.05308,3814.27129,1.03012,3814.27129,1.04220
3812.34294,1.05447,3812.34294,1.02891,3812.34294,1.04189
3810.41460,1.05402,3810.41460,1.02898,3810.41460,1.04152
3808.48625,1.05223,3808.48625,1.03009,3808.48625,1.04130
3806.55790,1.05223,3806.55790,1.03006,3806.55790,1.04136
3804.62956,1.05366,3804.62956,1.02889,3804.62956,1.04156
3802.70121,1.05243,3802.70121,1.02973,3802.70121,1.04183
3800.77286,1.05181,3800.77286,1.03032,3800.77286,1.04204
3798.84451,1.05311,3798.84451,1.02927,3798.84451,1.04191
3796.91617,1.05287,3796.91617,1.02928,3796.91617,1.04163
3794.98782,1.05265,3794.98782,1.02945,3794.98782,1.04141
3793.05947,1.05278,3793.05947,1.02916,3793.05947,1.04119
3791.13112,1.05240,3791.13112,1.02906,3791.13112,1.04101
3789.20278,1.05213,3789.20278,1.02896,3789.20278,1.04095
3787.27443,1.05191,3787.27443,1.02891,3787.27443,1.04103
3785.34608,1.05184,3785.34608,1.02895,3785.34608,1.04121
3783.41773,1.05231,3783.41773,1.02880,3783.41773,1.04136
3781.48939,1.05199,3781.48939,1.02904,3781.48939,1.04135
3779.56104,1.05112,3779.56104,1.02958,3779.56104,1.04123
3777.63269,1.05163,3777.63269,1.02928,3777.63269,1.04106
3775.70434,1.05246,3775.70434,1.02855,3775.70434,1.04090
3773.77600,1.05244,3773.77600,1.02817,3773.77600,1.04081
3771.84765,1.05156,3771.84765,1.02859,3771.84765,1.04091
3769.91930,1.05109,3769.91930,1.02916,3769.91930,1.04115
3767.99095,1.05181,3767.99095,1.02911,3767.99095,1.04131
3766.06261,1.05222,3766.06261,1.02916,3766.06261,1.04132
3764.13426,1.05282,3764.13426,1.02893,3764.13426,1.04122
3762.20591,1.05287,3762.20591,1.02880,3762.20591,1.04107
3760.27756,1.05187,3760.27756,1.02940,3760.27756,1.04106
3758.34922,1.05241,3758.34922,1.02946,3758.34922,1.04129
3756.42087,1.05426,3756.42087,1.02870,3756.42087,1.04147
3754.49252,1.05440,3754.49252,1.02874,3754.49252,1.04156
3752.56417,1.05244,3752.56417,1.03021,3752.56417,1.04190
3750.63583,1.05234,3750.63583,1.03107,3750.63583,1.04247
3748.70748,1.05528,3748.70748,1.02973,3748.70748,1.04265
3746.77913,1.05548,3746.77913,1.02976,3746.77913,1.04241
3744.85078,1.05235,3744.85078,1.03208,3744.85078,1.04229
3742.92244,1.05311,3742.92244,1.03115,3742.92244,1.04222
3740.99409,1.05530,3740.99409,1.02860,3740.99409,1.04185
3739.06574,1.05463,3739.06574,1.02836,3739.06574,1.04142
3737.13739,1.05226,3737.13739,1.02951,3737.13739,1.04124
3735.20905,1.05111,3735.20905,1.03015,3735.20905,1.04139
3733.28070,1.05184,3733.28070,1.02992,3733.28070,1.04162
3731.35235,1.05314,3731.35235,1.02935,3731.35235,1.04162
3729.42400,1.05383,3729.42400,1.02902,3729.42400,1.04133
3727.49566,1.05285,3727.49566,1.02975,3727.49566,1.04105
3725.56731,1.05201,3725.56731,1.03029,3725.56731,1.04103
3723.63896,1.05200,3723.63896,1.03023,3723.63896,1.04119
3721.71061,1.05204,3721.71061,1.03021,3721.71061,1.04131
3719.78227,1.05226,3719.78227,1.03005,3719.78227,1.04132
3717.85392,1.05279,3717.85392,1.02933,3717.85392,1.04123
3715.92557,1.05310,3715.92557,1.02836,3715.92557,1.04106
3713.99722,1.05170,3713.99722,1.02841,3713.99722,1.04094
3712.06888,1.04991,3712.06888,1.02933,3712.06888,1.04107
3710.14053,1.05035,3710.14053,1.02952,3710.14053,1.04130
3708.21218,1.05191,3708.21218,1.02870,3708.21218,1.04125
3706.28383,1.05243,3706.28383,1.02775,3706.28383,1.04100
3704.35549,1.05126,3704.35549,1.02767,3704.35549,1.04083
3702.42714,1.04975,3702.42714,1.02838,3702.42714,1.04083
3700.49879,1.04997,3700.49879,1.02857,3700.49879,1.04087
3698.57044,1.05078,3698.57044,1.02826,3698.57044,1.04075
3696.64210,1.05082,3696.64210,1.02807,3696.64210,1.04047
3694.71375,1.05080,3694.71375,1.02773,3694.71375,1.04021
3692.78540,1.05013,3692.78540,1.02778,3692.78540,1.04017
3690.85705,1.04835,3690.85705,1.02866,3690.85705,1.04044
3688.92871,1.04728,3688.92871,1.02944,3688.92871,1.04083
3687.00036,1.04846,3687.00036,1.02873,3687.00036,1.04085
3685.07201,1.04959,3685.07201,1.02784,3685.07201,1.04049
3683.14366,1.04922,3683.14366,1.02794,3683.14366,1.04013
3681.21532,1.04860,3681.21532,1.02793,3681.21532,1.03993
3679.28697,1.04784,3679.28697,1.02781,3679.28697,1.03984
3677.35862,1.04547,3677.35862,1.02901,3677.35862,1.03991
3675.43027,1.04400,3675.43027,1.02996,3675.43027,1.04017
3673.50193,1.04577,3673.50193,1.02862,3673.50193,1.04028
3671.57358,1.04462,3671.57358,1.02879,3671.57358,1.04012
3669.64523,1.04186,3669.64523,1.02987,3669.64523,1.03999
3667.71688,1.04220,3667.71688,1.02909,3667.71688,1.03986
3665.78854,1.04249,3665.78854,1.02842,3665.78854,1.03955
3663.86019,1.04129,3663.86019,1.02861,3663.86019,1.03920
3661.93184,1.04021,3661.93184,1.02852,3661.93184,1.03892
3660.00349,1.03943,3660.00349,1.02816,3660.00349,1.03873
3658.07515,1.03794,3658.07515,1.02854,3658.07515,1.03870
3656.14680,1.03729,3656.14680,1.02867,3656.14680,1.03882
3654.21845,1.03832,3654.21845,1.02747,3654.21845,1.03879
3652.29011,1.03694,3652.29011,1.02751,3652.29011,1.03862
3650.36176,1.03359,3650.36176,1.02931,3650.36176,1.03877
3648.43341,1.03293,3648.43341,1.03006,3648.43341,1.03912
3646.50506,1.03458,3646.50506,1.02908,3646.50506,1.03902
3644.57672,1.03556,3644.57672,1.02820,3644.57672,1.03856
3642.64837,1.03486,3642.64837,1.02825,3642.64837,1.03817
3640.72002,1.03392,3640.72002,1.02840,3640.72002,1.03797
3638.79167,1.03354,3638.79167,1.02822,3638.79167,1.03791
3636.86333,1.03345,3636.86333,1.02801,3636.86333,1.03792
3634.93498,1.03350,3634.93498,1.02779,3634.93498,1.03792
3633.00663,1.03374,3633.00663,1.02734,3633.00663,1.03784
3631.07828,1.03234,3631.07828,1.02814,3631.07828,1.03781
3629.14994,1.03024,3629.14994,1.02979,3629.14994,1.03800
3627.22159,1.03194,3627.22159,1.02904,3627.22159,1.03825
3625.29324,1.03451,3625.29324,1.02743,3625.29324,1.03822
3623.36489,1.03461,3623.36489,1.02716,3623.36489,1.03799
3621.43655,1.03284,3621.43655,1.02784,3621.43655,1.03772
3619.50820,1.03158,3619.50820,1.02860,3619.50820,1.03768
3617.57985,1.03287,3617.57985,1.02852,3617.57985,1.03797
3615.65150,1.03430,3615.65150,1.02845,3615.65150,1.03835
