Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 0ps to 1 ps (counts),Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 0.5 ps to 1.5 ps (counts),Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 1 ps to 2 ps (counts)
1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0
1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0
1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0
1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0
1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0
1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0
1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0
1.891866436290066,3.0,0.0191077020109463,1.891866436290066,0.0,0.0,1.891866436290066,0.0,0.0
1.944115294462075,7.0,0.0422203817779586,1.944115294462075,0.0,0.0,1.944115294462075,0.0,0.0
1.996364152634084,5.0,0.0285995123707821,1.996364152634084,0.0,0.0,1.996364152634084,0.0,0.0
2.0486130108060925,41.0,0.2227061208749417,2.0486130108060925,14.0,0.0760459924938825,2.0486130108060925,0.0,0.0
2.1008618689781016,212.0,1.0949871271771172,2.1008618689781016,76.0,0.3925425550257589,2.1008618689781016,31.0,0.1601160421815596
2.15311072715011,241.0,1.1850930824379184,2.15311072715011,105.0,0.5163268616430765,2.15311072715011,173.0,0.8507099720404974
2.2053595853221197,316.0,1.481141018345207,2.2053595853221197,369.0,1.7295602397765235,2.2053595853221197,389.0,1.8233033422034357
2.257608443494128,586.0,2.621009074292588,2.257608443494128,696.0,3.1130073646888072,2.257608443494128,575.0,2.571809245252966
2.309857301666137,769.0,3.2856718572634978,2.309857301666137,1039.0,4.439288764235077,2.309857301666137,827.0,3.533485859501836
2.3621061598381456,779.0,3.182781193592651,2.3621061598381456,1058.0,4.322698976663704,2.3621061598381456,1443.0,5.895703802765334
2.4143550180101547,803.0,3.1403744325382954,2.4143550180101547,1216.0,4.755535877916024,2.4143550180101547,1532.0,5.991349477769201
2.466603876182164,699.0,2.619066383754593,2.466603876182164,966.0,3.619482298579309,2.466603876182164,1089.0,4.080348057094065
2.518852734354172,748.0,2.687597284640922,2.518852734354172,912.0,3.2768565823429427,2.518852734354172,1001.0,3.596637542681234
2.5711015925261806,501.0,1.727696291474401,2.5711015925261806,858.0,2.9588092177346037,2.5711015925261806,978.0,3.372628688746436
2.6233504506981897,366.0,1.2123739952939203,2.6233504506981897,534.0,1.7688735341173591,2.6233504506981897,631.0,2.090185767842797
2.675599308870199,351.0,1.11772024210719,2.675599308870199,483.0,1.5380594784551935,2.675599308870199,684.0,2.178121497439653
2.7278481670422075,281.0,0.8608630797701162,2.7278481670422075,446.0,1.3663520767881558,2.7278481670422075,499.0,1.528721269769708
2.780097025214216,504.0,1.4865474636684115,2.780097025214216,231.0,0.6813342541813554,2.780097025214216,177.0,0.5220613116454541
2.832345883386225,427.0,1.213398487152306,2.832345883386225,318.0,0.9036550794249022,2.832345883386225,143.0,0.4063606174772359
2.884594741558234,265.0,0.7260130193825296,2.884594741558234,189.0,0.5177979647671627,2.884594741558234,23.0,0.063012450738861
2.936843599730243,170.0,0.4493196721171384,2.936843599730243,98.0,0.2590195756910562,2.936843599730243,23.0,0.060790308580554
2.9890924579022515,167.0,0.4260944952466897,2.9890924579022515,104.0,0.2653522605129085,2.9890924579022515,24.0,0.0612351370414404
3.04134131607426,275.0,0.6777515510029501,3.04134131607426,121.0,0.298210682441298,3.04134131607426,38.0,0.0936529415931349
3.0935901742462693,315.0,0.7503314398365312,3.0935901742462693,118.0,0.2810765393673355,3.0935901742462693,45.0,0.107190205690933
3.1458390324182783,206.0,0.474528582766876,3.1458390324182783,61.0,0.1405157453824244,3.1458390324182783,56.0,0.1289980613346847
3.198087890590287,227.0,0.5059565437138219,3.198087890590287,56.0,0.1248174733390926,3.198087890590287,99.0,0.2206594617958959
3.250336748762296,328.0,0.7077587992322955,3.250336748762296,48.0,0.1035744584242383,3.250336748762296,61.0,0.1316258742474695
3.3025856069343043,197.0,0.4117429846545857,3.3025856069343043,47.0,0.0982330978617539,3.3025856069343043,53.0,0.1107734933334672
3.3548344651063133,251.0,0.5083931372022094,3.3548344651063133,138.0,0.2795149519279079,3.3548344651063133,184.0,0.3726866025705439
3.4070833232783224,254.0,0.4988113845583459,3.4070833232783224,112.0,0.2199483270493493,3.4070833232783224,176.0,0.3456330853632632
3.459332181450331,358.0,0.6819721545967843,3.459332181450331,109.0,0.2076395666230432,3.459332181450331,389.0,0.741025609324439
3.51158103962234,344.0,0.6359474080302353,3.51158103962234,130.0,0.2403289623370075,3.51158103962234,337.0,0.6230066177505503
3.5638298977943488,268.0,0.4810265083612384,3.5638298977943488,132.0,0.2369235041182219,3.5638298977943488,194.0,0.3482057560525383
3.616078755966357,727.0,1.267438220940978,3.616078755966357,322.0,0.5613687856162242,3.616078755966357,293.0,0.5108107272843281
3.6683276141383674,538.0,0.9114108521296916,3.6683276141383674,324.0,0.5488793979368404,3.6683276141383674,313.0,0.5302446035624415
3.720576472310375,473.0,0.7789486335639823,3.720576472310375,187.0,0.3079564365252953,3.720576472310375,256.0,0.421587421125538
3.772825330482384,517.0,0.8279903867010159,3.772825330482384,543.0,0.8696301353552256,3.772825330482384,440.0,0.7046726695327794
3.825074188654393,520.0,0.8101991212115233,3.825074188654393,682.0,1.0626073089735746,3.825074188654393,585.0,0.9114740113629636
3.8773230468264015,545.0,0.8264197336420502,3.8773230468264015,499.0,0.7566668753896938,3.8773230468264015,593.0,0.8992053248619006
3.9295719049984106,505.0,0.7455367357134834,3.9295719049984106,507.0,0.7484893564489824,3.9295719049984106,609.0,0.8990730139594285
3.981820763170419,437.0,0.628327652166765,3.981820763170419,558.0,0.8023039586019564,3.981820763170419,638.0,0.9173296157491904
4.034069621342428,559.0,0.7830566452821659,4.034069621342428,709.0,0.993179179794375,4.034069621342428,667.0,0.9343448701309564
4.086318479514437,480.0,0.6553072366156504,4.086318479514437,688.0,0.9392737058157654,4.086318479514437,883.0,1.2054922706908733
4.138567337686446,765.0,1.018191654900486,4.138567337686446,777.0,1.0341632887028465,4.138567337686446,688.0,0.9157070046686724
4.190816195858455,921.0,1.195447623070078,4.190816195858455,943.0,1.2240033751955306,4.190816195858455,672.0,0.8722484285592753
4.243065054030463,949.0,1.2016416738905555,4.243065054030463,830.0,1.0509616325913185,4.243065054030463,701.0,0.8876194029476073
4.295313912202472,994.0,1.228187624416451,4.295313912202472,598.0,0.7388895366207622,4.295313912202472,775.0,0.9575909546506534
4.347562770374481,979.0,1.1807531680775605,4.347562770374481,754.0,0.9093849731669872,4.347562770374481,853.0,1.0287869789276394
4.399811628546489,1023.0,1.204690865061529,4.399811628546489,996.0,1.172895504986591,4.399811628546489,821.0,0.9668144674638468
4.452060486718499,947.0,1.089170867650152,4.452060486718499,869.0,0.999460912342114,4.452060486718499,759.0,0.8729468728051375
