Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
9.50000000e-01, -3.01734557e+00, 1.08000000e+03
9.60000000e-01, -3.02006010e+00, 1.08500000e+03
9.70000000e-01, -3.01817553e+00, 1.08000000e+03
9.80000000e-01, -3.01995920e+00, 1.08300000e+03
9.90000000e-01, -3.02174913e+00, 1.08600000e+03
1.00000000e+00, -3.02354512e+00, 1.08900000e+03
1.01000000e+00, -3.02534693e+00, 1.09200000e+03
1.02000000e+00, -3.02761079e+00, 1.09600000e+03
1.03000000e+00, -3.02668965e+00, 1.09300000e+03
1.04000000e+00, -3.02803540e+00, 1.09500000e+03
1.05000000e+00, -3.02664189e+00, 1.09100000e+03
1.06000000e+00, -3.02522008e+00, 1.08700000e+03
1.07000000e+00, -3.02469277e+00, 1.08500000e+03
1.08000000e+00, -3.02461294e+00, 1.08400000e+03
1.09000000e+00, -3.02682798e+00, 1.08800000e+03
1.10000000e+00, -3.02675510e+00, 1.08700000e+03
1.11000000e+00, -3.02805340e+00, 1.08900000e+03
1.12000000e+00, -3.02751834e+00, 1.08700000e+03
1.13000000e+00, -3.02743056e+00, 1.08600000e+03
1.14000000e+00, -3.02456235e+00, 1.07900000e+03
1.15000000e+00, -3.02674597e+00, 1.08300000e+03
1.16000000e+00, -3.02801516e+00, 1.08500000e+03
1.17000000e+00, -3.02928760e+00, 1.08700000e+03
1.18000000e+00, -3.03102215e+00, 1.09000000e+03
1.19000000e+00, -3.03092838e+00, 1.08900000e+03
1.20000000e+00, -3.03082727e+00, 1.08800000e+03
1.21000000e+00, -3.03025873e+00, 1.08600000e+03
1.22000000e+00, -3.03059964e+00, 1.08600000e+03
1.23000000e+00, -3.03093776e+00, 1.08600000e+03
1.24000000e+00, -3.02850304e+00, 1.08000000e+03
1.25000000e+00, -3.03204365e+00, 1.08700000e+03
1.26000000e+00, -3.03237734e+00, 1.08700000e+03
1.27000000e+00, -3.03224819e+00, 1.08600000e+03
1.28000000e+00, -3.03395230e+00, 1.08900000e+03
1.29000000e+00, -3.03611853e+00, 1.09300000e+03
1.30000000e+00, -3.03692046e+00, 1.09400000e+03
1.31000000e+00, -3.03680875e+00, 1.09300000e+03
1.32000000e+00, -3.03393567e+00, 1.08600000e+03
1.33000000e+00, -3.03008726e+00, 1.07700000e+03
1.34000000e+00, -3.03083017e+00, 1.07800000e+03
1.35000000e+00, -3.03018192e+00, 1.07600000e+03
1.36000000e+00, -3.03323357e+00, 1.08200000e+03
1.37000000e+00, -3.03398521e+00, 1.08300000e+03
1.38000000e+00, -3.03288925e+00, 1.08000000e+03
1.39000000e+00, -3.03224131e+00, 1.07800000e+03
