Maximum radial distance r_max (a.u.), Calculated ground state energy,Number of grid points N, Calculated ground state energy
5.0,-2.860646860434996,750.0,-2.855314768952228
10.0,-2.8612298711849142,1500.0,-2.8601891451571992
15.0,-2.861284996427094,3000.0,-2.8613179424995243
20.0,-2.86130424311348,4500.0,-2.861519148248452
25.0,-2.86131312859866,6000.0,-2.861588843453356
30.0,-2.8613179424995243,,
