Temperature (K), Average total energy (eV), Heat capacity (eV/K), Average of absolute value of order parameter P, Average order parameter r, Acceptance ratio
1.15500000e+03, -2.28269488e+03, 9.77460450e-03, 3.24009328e-02, 1.11472792e-01, 8.47292300e-01
1.16000000e+03, -2.28268704e+03, 9.42025893e-03, 3.26043762e-02, 1.11372337e-01, 8.47734100e-01
1.16500000e+03, -2.28262624e+03, 9.45998576e-03, 3.29319380e-02, 1.10592769e-01, 8.48639200e-01
1.17000000e+03, -2.28256258e+03, 9.35348870e-03, 3.21608268e-02, 1.09776630e-01, 8.49646900e-01
1.17500000e+03, -2.28252244e+03, 9.31211005e-03, 3.18810682e-02, 1.09262109e-01, 8.50109500e-01
1.18000000e+03, -2.28246776e+03, 8.93793638e-03, 3.21210386e-02, 1.08561048e-01, 8.51069000e-01
1.18500000e+03, -2.28242157e+03, 9.21517301e-03, 3.18604616e-02, 1.07968859e-01, 8.52085100e-01
1.19000000e+03, -2.28239178e+03, 8.67224126e-03, 3.17604244e-02, 1.07586986e-01, 8.52536700e-01
1.19500000e+03, -2.28233729e+03, 8.91785609e-03, 3.18641138e-02, 1.06888295e-01, 8.53269300e-01
1.20000000e+03, -2.28229761e+03, 8.71922290e-03, 3.17152292e-02, 1.06379626e-01, 8.53720000e-01
