Temperature (K), Average total energy (eV), Heat capacity (eV/K), Average of absolute value of order parameter P, Average order parameter r, Acceptance ratio
2.65000000e+02, -2.35173113e+03, 8.24267373e-03, 9.98276477e-01, 9.96552954e-01, 1.71700000e-03
2.70000000e+02, -2.35154730e+03, 1.09447211e-02, 9.97085508e-01, 9.94196136e-01, 2.96000000e-03
2.75000000e+02, -2.35167491e+03, 1.48917753e-02, 9.97855069e-01, 9.95832143e-01, 2.16270000e-03
2.80000000e+02, -2.35149437e+03, 8.50142017e-03, 9.96734916e-01, 9.93517595e-01, 3.34290000e-03
2.85000000e+02, -2.35156477e+03, 1.02252537e-02, 9.97170842e-01, 9.94420137e-01, 2.83280000e-03
2.90000000e+02, -2.35148411e+03, 1.95811589e-02, 9.96587505e-01, 9.93385984e-01, 3.47780000e-03
2.95000000e+02, -2.35128975e+03, 1.49510317e-02, 9.95358394e-01, 9.90894216e-01, 4.69370000e-03
3.00000000e+02, -2.35116463e+03, 1.40527450e-02, 9.94545344e-01, 9.89290132e-01, 5.53620000e-03
3.05000000e+02, -2.35109328e+03, 1.55608012e-02, 9.94112776e-01, 9.88375345e-01, 5.88560000e-03
3.10000000e+02, -2.35114414e+03, 1.57738122e-02, 9.94440662e-01, 9.89027426e-01, 5.64630000e-03
3.15000000e+02, -2.35095466e+03, 2.16711754e-02, 9.93192730e-01, 9.86598232e-01, 6.80140000e-03
3.20000000e+02, -2.35092662e+03, 2.42631137e-02, 9.92999642e-01, 9.86238729e-01, 7.07350000e-03
3.25000000e+02, -2.35083936e+03, 2.62134038e-02, 9.92446111e-01, 9.85120057e-01, 7.57680000e-03
3.30000000e+02, -2.35075191e+03, 2.54832650e-02, 9.91845031e-01, 9.83998910e-01, 8.21920000e-03
3.35000000e+02, -2.35067774e+03, 3.25768293e-02, 9.91385530e-01, 9.83047888e-01, 8.64960000e-03
3.40000000e+02, -2.35056766e+03, 2.81201740e-02, 9.90638746e-01, 9.81636648e-01, 9.45570000e-03
3.45000000e+02, -2.35024124e+03, 3.62740272e-02, 9.88351356e-01, 9.77451814e-01, 1.17267000e-02
3.50000000e+02, -2.35024081e+03, 2.69769241e-02, 9.88451926e-01, 9.77446305e-01, 1.16239000e-02
3.55000000e+02, -2.34991518e+03, 3.03287595e-02, 9.86268900e-01, 9.73271602e-01, 1.39223000e-02
3.60000000e+02, -2.34979531e+03, 3.40164979e-02, 9.85528776e-01, 9.71734688e-01, 1.45720000e-02
3.65000000e+02, -2.34963135e+03, 3.64177947e-02, 9.84385694e-01, 9.69632720e-01, 1.58204000e-02
3.70000000e+02, -2.34941277e+03, 3.14786253e-02, 9.82909797e-01, 9.66830434e-01, 1.73589000e-02
3.75000000e+02, -2.34917589e+03, 3.09231486e-02, 9.81348416e-01, 9.63793481e-01, 1.88217000e-02
3.80000000e+02, -2.34914153e+03, 3.89361952e-02, 9.81113600e-01, 9.63352905e-01, 1.90562000e-02
3.85000000e+02, -2.34887936e+03, 4.22062999e-02, 9.79353918e-01, 9.59991851e-01, 2.08847000e-02
3.90000000e+02, -2.34861040e+03, 4.13535811e-02, 9.77423823e-01, 9.56543654e-01, 2.28460000e-02
3.95000000e+02, -2.34824074e+03, 4.85817239e-02, 9.74953208e-01, 9.51804422e-01, 2.52114000e-02
4.00000000e+02, -2.34816447e+03, 6.05650752e-02, 9.74388767e-01, 9.50826538e-01, 2.59384000e-02
4.05000000e+02, -2.34786365e+03, 5.66990497e-02, 9.72374161e-01, 9.46969828e-01, 2.79074000e-02
4.10000000e+02, -2.34763136e+03, 5.42803226e-02, 9.70787683e-01, 9.43991770e-01, 2.95033000e-02
4.15000000e+02, -2.34727753e+03, 5.54124616e-02, 9.68184127e-01, 9.39455545e-01, 3.22535000e-02
4.20000000e+02, -2.34707730e+03, 5.66171132e-02, 9.66863321e-01, 9.36888491e-01, 3.34956000e-02
4.25000000e+02, -2.34675821e+03, 6.29167343e-02, 9.64563332e-01, 9.32797559e-01, 3.56809000e-02
4.30000000e+02, -2.34639313e+03, 6.74397214e-02, 9.62152553e-01, 9.28117037e-01, 3.81512000e-02
4.35000000e+02, -2.34606590e+03, 6.95363036e-02, 9.59693773e-01, 9.23921759e-01, 4.06441000e-02
4.40000000e+02, -2.34574538e+03, 7.28914674e-02, 9.57490592e-01, 9.19812555e-01, 4.30260000e-02
4.45000000e+02, -2.34537395e+03, 6.47340585e-02, 9.54869199e-01, 9.15050658e-01, 4.55671000e-02
4.50000000e+02, -2.34500300e+03, 6.81031294e-02, 9.52025901e-01, 9.10294894e-01, 4.82552000e-02
4.55000000e+02, -2.34469874e+03, 7.54919628e-02, 9.49897493e-01, 9.06394042e-01, 5.07055000e-02
4.60000000e+02, -2.34431395e+03, 7.68165535e-02, 9.47093735e-01, 9.01460954e-01, 5.32819000e-02
4.65000000e+02, -2.34394052e+03, 8.42903915e-02, 9.44364917e-01, 8.96673274e-01, 5.60437000e-02
4.70000000e+02, -2.34349611e+03, 8.33880064e-02, 9.41056378e-01, 8.90975707e-01, 5.93853000e-02
4.75000000e+02, -2.34302507e+03, 8.86720417e-02, 9.37619621e-01, 8.84936815e-01, 6.29682000e-02
4.80000000e+02, -2.34262248e+03, 8.92470745e-02, 9.34617923e-01, 8.79775342e-01, 6.59924000e-02
4.85000000e+02, -2.34226300e+03, 9.81960080e-02, 9.31939459e-01, 8.75166608e-01, 6.88294000e-02
4.90000000e+02, -2.34173801e+03, 8.90176168e-02, 9.28088643e-01, 8.68436019e-01, 7.26307000e-02
4.95000000e+02, -2.34129940e+03, 1.01729372e-01, 9.24764479e-01, 8.62812787e-01, 7.59305000e-02
5.00000000e+02, -2.34082331e+03, 1.03213676e-01, 9.20936705e-01, 8.56709063e-01, 8.00420000e-02
5.05000000e+02, -2.34050419e+03, 9.63218090e-02, 9.18604426e-01, 8.52617839e-01, 8.22155000e-02
5.10000000e+02, -2.33973839e+03, 1.18506141e-01, 9.12612241e-01, 8.42799863e-01, 8.82629000e-02
5.15000000e+02, -2.33938969e+03, 1.05732628e-01, 9.09992660e-01, 8.38329398e-01, 9.08976000e-02
5.20000000e+02, -2.33867617e+03, 1.14323030e-01, 9.04276635e-01, 8.29181621e-01, 9.66307000e-02
5.25000000e+02, -2.33795314e+03, 1.12129875e-01, 8.98735901e-01, 8.19912059e-01, 1.02391800e-01
5.30000000e+02, -2.33746068e+03, 1.20950345e-01, 8.94351116e-01, 8.13598423e-01, 1.06729600e-01
5.35000000e+02, -2.33671684e+03, 1.33105333e-01, 8.88301441e-01, 8.04062042e-01, 1.12838800e-01
5.40000000e+02, -2.33620677e+03, 1.29981269e-01, 8.84288027e-01, 7.97522685e-01, 1.16990400e-01
5.45000000e+02, -2.33549795e+03, 1.28772157e-01, 8.78378769e-01, 7.88435254e-01, 1.22744600e-01
5.50000000e+02, -2.33479782e+03, 1.39033337e-01, 8.73012661e-01, 7.79459214e-01, 1.28098900e-01
5.55000000e+02, -2.33416810e+03, 1.27565531e-01, 8.67203033e-01, 7.71385907e-01, 1.33911300e-01
5.60000000e+02, -2.33361356e+03, 1.43581649e-01, 8.62397906e-01, 7.64276449e-01, 1.38995500e-01
5.65000000e+02, -2.33286773e+03, 1.56721432e-01, 8.55735532e-01, 7.54714525e-01, 1.45644500e-01
5.70000000e+02, -2.33208685e+03, 1.64072905e-01, 8.49349306e-01, 7.44703240e-01, 1.52339300e-01
5.75000000e+02, -2.33143067e+03, 1.35363465e-01, 8.43337170e-01, 7.36290691e-01, 1.58040000e-01
5.80000000e+02, -2.33056313e+03, 1.48810016e-01, 8.35403847e-01, 7.25168395e-01, 1.66417700e-01
5.85000000e+02, -2.32951996e+03, 1.54032885e-01, 8.26015242e-01, 7.11794403e-01, 1.75550800e-01
5.90000000e+02, -2.32882554e+03, 1.75235010e-01, 8.19742096e-01, 7.02891540e-01, 1.81615400e-01
5.95000000e+02, -2.32817328e+03, 1.60337898e-01, 8.13516074e-01, 6.94529227e-01, 1.88382400e-01
6.00000000e+02, -2.32730933e+03, 1.74234852e-01, 8.04790250e-01, 6.83452909e-01, 1.96866900e-01
6.05000000e+02, -2.32655694e+03, 1.58844164e-01, 7.98070374e-01, 6.73806870e-01, 2.03912200e-01
6.10000000e+02, -2.32581445e+03, 1.91635292e-01, 7.91137619e-01, 6.64287847e-01, 2.11278200e-01
6.15000000e+02, -2.32432469e+03, 1.96139547e-01, 7.75029175e-01, 6.45188335e-01, 2.26861200e-01
6.20000000e+02, -2.32374404e+03, 1.89351441e-01, 7.69503636e-01, 6.37744079e-01, 2.32884700e-01
6.25000000e+02, -2.32279197e+03, 2.17111610e-01, 7.58919436e-01, 6.25538024e-01, 2.43138800e-01
6.30000000e+02, -2.32159504e+03, 2.17127342e-01, 7.46160268e-01, 6.10192798e-01, 2.55677200e-01
6.35000000e+02, -2.32051524e+03, 1.87290925e-01, 7.35048207e-01, 5.96349167e-01, 2.67257400e-01
6.40000000e+02, -2.31961864e+03, 2.13408455e-01, 7.25041657e-01, 5.84854371e-01, 2.77293300e-01
6.45000000e+02, -2.31820333e+03, 2.22803006e-01, 7.07413936e-01, 5.66709399e-01, 2.94368700e-01
6.50000000e+02, -2.31740404e+03, 2.18703968e-01, 6.98105056e-01, 5.56462071e-01, 3.04387700e-01
6.55000000e+02, -2.31627071e+03, 2.45856003e-01, 6.84436417e-01, 5.41932162e-01, 3.17173100e-01
6.60000000e+02, -2.31507401e+03, 2.49898326e-01, 6.69481427e-01, 5.26589913e-01, 3.32318400e-01
6.65000000e+02, -2.31401737e+03, 2.57288122e-01, 6.55153252e-01, 5.13043143e-01, 3.46102700e-01
6.70000000e+02, -2.31247387e+03, 2.57531778e-01, 6.32858778e-01, 4.93254737e-01, 3.67291800e-01
6.75000000e+02, -2.31139421e+03, 2.77563415e-01, 6.17892466e-01, 4.79412928e-01, 3.81558200e-01
6.80000000e+02, -2.30971072e+03, 3.15225705e-01, 5.90853699e-01, 4.57829782e-01, 4.07141200e-01
6.85000000e+02, -2.30859612e+03, 2.74471702e-01, 5.74918616e-01, 4.43540055e-01, 4.22811700e-01
6.90000000e+02, -2.30653668e+03, 3.27752493e-01, 5.32746259e-01, 4.17136954e-01, 4.56761900e-01
6.95000000e+02, -2.30508830e+03, 2.95671026e-01, 5.13838654e-01, 3.98567985e-01, 4.75878300e-01
7.00000000e+02, -2.30397480e+03, 3.21183896e-01, 4.87177237e-01, 3.84292337e-01, 4.97592200e-01
7.05000000e+02, -2.30153045e+03, 2.76487086e-01, 4.30674711e-01, 3.52954542e-01, 5.41176900e-01
7.10000000e+02, -2.29972019e+03, 3.35456434e-01, 3.77949115e-01, 3.29746066e-01, 5.75792900e-01
7.15000000e+02, -2.29823844e+03, 2.84048412e-01, 3.33644539e-01, 3.10749221e-01, 6.03247900e-01
7.20000000e+02, -2.29685627e+03, 2.64786257e-01, 2.87764890e-01, 2.93029094e-01, 6.30391600e-01
7.25000000e+02, -2.29545925e+03, 2.12261907e-01, 2.33596432e-01, 2.75118549e-01, 6.59525600e-01
7.30000000e+02, -2.29441300e+03, 1.70750961e-01, 1.96208951e-01, 2.61705073e-01, 6.79339600e-01
7.35000000e+02, -2.29386440e+03, 1.54438242e-01, 1.71692139e-01, 2.54671765e-01, 6.89149100e-01
7.40000000e+02, -2.29324442e+03, 1.19731778e-01, 1.60099616e-01, 2.46723327e-01, 6.99080000e-01
7.45000000e+02, -2.29252848e+03, 8.79750550e-02, 1.28899844e-01, 2.37544647e-01, 7.12843300e-01
7.50000000e+02, -2.29204430e+03, 8.28182395e-02, 1.18486163e-01, 2.31337175e-01, 7.18708000e-01
7.55000000e+02, -2.29170910e+03, 6.94044618e-02, 1.13411002e-01, 2.27039778e-01, 7.22774000e-01
7.60000000e+02, -2.29151321e+03, 6.58082233e-02, 1.09251546e-01, 2.24528370e-01, 7.26603000e-01
7.65000000e+02, -2.29109490e+03, 6.00746425e-02, 1.00898244e-01, 2.19165369e-01, 7.31679600e-01
7.70000000e+02, -2.29095818e+03, 6.14452828e-02, 1.01973627e-01, 2.17412597e-01, 7.33265000e-01
7.75000000e+02, -2.29064321e+03, 5.37152851e-02, 9.51297330e-02, 2.13374475e-01, 7.37826200e-01
7.80000000e+02, -2.29037638e+03, 4.83528089e-02, 8.52892914e-02, 2.09953643e-01, 7.42196100e-01
7.85000000e+02, -2.28996311e+03, 4.57742816e-02, 8.32018990e-02, 2.04655212e-01, 7.46204400e-01
7.90000000e+02, -2.28984714e+03, 4.46927523e-02, 8.07348716e-02, 2.03168469e-01, 7.48330700e-01
7.95000000e+02, -2.28957592e+03, 4.03060425e-02, 7.39284982e-02, 1.99691264e-01, 7.51763600e-01
8.00000000e+02, -2.28945205e+03, 4.09604489e-02, 6.89129918e-02, 1.98103217e-01, 7.54481800e-01
8.05000000e+02, -2.28922713e+03, 4.07716109e-02, 7.36477814e-02, 1.95219565e-01, 7.55705800e-01
8.10000000e+02, -2.28904561e+03, 4.06173114e-02, 7.25268718e-02, 1.92892376e-01, 7.57978000e-01
8.15000000e+02, -2.28884442e+03, 3.67343983e-02, 7.01939464e-02, 1.90313021e-01, 7.60732400e-01
8.20000000e+02, -2.28858263e+03, 3.39975127e-02, 6.42667028e-02, 1.86956788e-01, 7.64261600e-01
8.25000000e+02, -2.28845571e+03, 3.34105036e-02, 6.24897506e-02, 1.85329645e-01, 7.65800400e-01
8.30000000e+02, -2.28830666e+03, 3.10809482e-02, 6.17991582e-02, 1.83418720e-01, 7.67360000e-01
8.35000000e+02, -2.28821188e+03, 3.16639615e-02, 6.04132260e-02, 1.82203623e-01, 7.69308900e-01
8.40000000e+02, -2.28799778e+03, 3.17103034e-02, 5.93671062e-02, 1.79458687e-01, 7.71611700e-01
8.45000000e+02, -2.28780181e+03, 3.06034123e-02, 5.72359668e-02, 1.76946245e-01, 7.74256700e-01
8.50000000e+02, -2.28769232e+03, 2.95551793e-02, 5.65715940e-02, 1.75542620e-01, 7.75819300e-01
8.55000000e+02, -2.28750462e+03, 2.76725038e-02, 5.44312066e-02, 1.73136118e-01, 7.77941000e-01
8.60000000e+02, -2.28742721e+03, 2.79701710e-02, 5.55079074e-02, 1.72143758e-01, 7.79107100e-01
8.65000000e+02, -2.28727743e+03, 2.61023405e-02, 5.55516102e-02, 1.70223423e-01, 7.80968100e-01
8.70000000e+02, -2.28714898e+03, 2.63905041e-02, 5.27344026e-02, 1.68576644e-01, 7.82819200e-01
8.75000000e+02, -2.28703430e+03, 2.59349295e-02, 5.25311168e-02, 1.67106439e-01, 7.84429700e-01
8.80000000e+02, -2.28690032e+03, 2.51100949e-02, 5.04266814e-02, 1.65388726e-01, 7.86322400e-01
8.85000000e+02, -2.28678754e+03, 2.55028951e-02, 5.13316710e-02, 1.63942776e-01, 7.87584200e-01
8.90000000e+02, -2.28670396e+03, 2.32046570e-02, 4.98178254e-02, 1.62871316e-01, 7.89114700e-01
8.95000000e+02, -2.28659414e+03, 2.40091170e-02, 5.05979880e-02, 1.61463286e-01, 7.90393100e-01
9.00000000e+02, -2.28645912e+03, 2.38453275e-02, 4.86191646e-02, 1.59732289e-01, 7.91969800e-01
9.05000000e+02, -2.28633176e+03, 2.16871761e-02, 4.81628300e-02, 1.58099463e-01, 7.93676800e-01
9.10000000e+02, -2.28623183e+03, 2.18012634e-02, 4.64947096e-02, 1.56818310e-01, 7.95198400e-01
9.15000000e+02, -2.28613739e+03, 2.10404969e-02, 4.70313840e-02, 1.55607508e-01, 7.96406800e-01
9.20000000e+02, -2.28604795e+03, 2.07603773e-02, 4.71110710e-02, 1.54460895e-01, 7.97690200e-01
9.25000000e+02, -2.28589246e+03, 2.03914510e-02, 4.66265502e-02, 1.52467439e-01, 7.99399400e-01
9.30000000e+02, -2.28580024e+03, 2.00200800e-02, 4.53702776e-02, 1.51285136e-01, 8.00962100e-01
9.35000000e+02, -2.28571959e+03, 1.90562430e-02, 4.47566452e-02, 1.50251108e-01, 8.02182500e-01
9.40000000e+02, -2.28561639e+03, 1.93579247e-02, 4.40225560e-02, 1.48928040e-01, 8.03574600e-01
9.45000000e+02, -2.28554058e+03, 1.86953403e-02, 4.23099672e-02, 1.47956112e-01, 8.04722000e-01
9.50000000e+02, -2.28540343e+03, 1.87048508e-02, 4.18634110e-02, 1.46197810e-01, 8.06323700e-01
9.55000000e+02, -2.28536768e+03, 1.80416248e-02, 4.29686030e-02, 1.45739437e-01, 8.07160700e-01
9.60000000e+02, -2.28520566e+03, 1.74789742e-02, 4.23592814e-02, 1.43662297e-01, 8.09162600e-01
9.65000000e+02, -2.28516612e+03, 1.76882687e-02, 4.19408824e-02, 1.43155370e-01, 8.10178200e-01
9.70000000e+02, -2.28507110e+03, 1.75121543e-02, 4.11409008e-02, 1.41937116e-01, 8.11337500e-01
9.75000000e+02, -2.28499132e+03, 1.61030266e-02, 4.09996838e-02, 1.40914310e-01, 8.12492800e-01
9.80000000e+02, -2.28490393e+03, 1.68467658e-02, 4.02683668e-02, 1.39794020e-01, 8.13649700e-01
9.85000000e+02, -2.28482779e+03, 1.56577021e-02, 3.98476636e-02, 1.38817768e-01, 8.15047000e-01
9.90000000e+02, -2.28472809e+03, 1.55800219e-02, 3.99149018e-02, 1.37539648e-01, 8.15909900e-01
9.95000000e+02, -2.28470016e+03, 1.52355096e-02, 3.96437608e-02, 1.37181500e-01, 8.16919200e-01
1.00000000e+03, -2.28461604e+03, 1.58236441e-02, 3.88335886e-02, 1.36103014e-01, 8.17948100e-01
1.00500000e+03, -2.28454600e+03, 1.51567916e-02, 3.90449038e-02, 1.35205139e-01, 8.19224800e-01
1.01000000e+03, -2.28442929e+03, 1.48370862e-02, 3.85702090e-02, 1.33708870e-01, 8.20808100e-01
1.01500000e+03, -2.28431548e+03, 1.46346162e-02, 3.76325228e-02, 1.32249691e-01, 8.22272000e-01
1.02000000e+03, -2.28429946e+03, 1.42064111e-02, 3.82759400e-02, 1.32044318e-01, 8.22618400e-01
1.02500000e+03, -2.28425127e+03, 1.41879520e-02, 3.84248376e-02, 1.31426513e-01, 8.23343700e-01
1.03000000e+03, -2.28415713e+03, 1.35898887e-02, 3.67886670e-02, 1.30219610e-01, 8.24966100e-01
1.03500000e+03, -2.28406104e+03, 1.33648203e-02, 3.73650930e-02, 1.28987738e-01, 8.26146000e-01
1.04000000e+03, -2.28398525e+03, 1.37099039e-02, 3.65795790e-02, 1.28016029e-01, 8.27202400e-01
1.04500000e+03, -2.28393632e+03, 1.35728916e-02, 3.68528120e-02, 1.27388731e-01, 8.28078100e-01
