Temperature (K), Average total energy (eV), 1 sigma uncertainty total energy (eV), Statistical inefficiency total energy, Heat capacity (eV/K), 1 sigma uncertainty heat capacity (eV), Statistical inefficiency heat capacity, Average of absolute value of long range order P, 1 sigma uncertainty absolute value of long range order P, Statistical inefficiency long range order P, Average short range order r, Statistical inefficiency short range order r, 1 sigma uncertainty short range order r, Acceptance ratio
7.20000000e+02, -2.29655978e+03, 3.56849267e-01, 1.12201845e+05, 2.54067159e-01, 1.67800638e-02, 2.51188643e+04, 2.68388284e-01, 1.74262355e-02, 1.58489319e+05, 2.89227999e-01, 4.57499060e-03, 1.12201845e+05, 6.32495000e-01
7.40000000e+02, -2.29333579e+03, 1.46107559e-01, 3.98107171e+04, 1.13638591e-01, 6.70099789e-03, 1.58489319e+04, 1.65739635e-01, 7.43594568e-03, 5.01187234e+04, 2.47894761e-01, 1.87317384e-03, 3.98107171e+04, 6.90362200e-01
7.60000000e+02, -2.29136575e+03, 6.89299619e-02, 1.58489319e+04, 6.02327648e-02, 2.66153035e-03, 8.91250938e+03, 1.04456012e-01, 3.88689285e-03, 2.81838293e+04, 2.22637881e-01, 8.83717460e-04, 1.58489319e+04, 7.21631500e-01
7.80000000e+02, -2.29034471e+03, 6.11164561e-02, 1.41253754e+04, 5.04395297e-02, 1.83185041e-03, 6.30957344e+03, 8.81404912e-02, 3.05288363e-03, 2.23872114e+04, 2.09547608e-01, 7.83544309e-04, 1.41253754e+04, 7.34390200e-01
8.00000000e+02, -2.28950199e+03, 5.17575613e-02, 1.12201845e+04, 4.32923881e-02, 1.83005833e-03, 7.94328235e+03, 7.71944174e-02, 2.76953144e-03, 2.23872114e+04, 1.98743511e-01, 6.63558478e-04, 1.12201845e+04, 7.45334500e-01
8.20000000e+02, -2.28869421e+03, 4.83900207e-02, 1.12201845e+04, 3.60186821e-02, 1.27645392e-03, 5.62341325e+03, 6.93247168e-02, 1.97948375e-03, 1.41253754e+04, 1.88387250e-01, 6.20384881e-04, 1.12201845e+04, 7.55012000e-01
8.40000000e+02, -2.28799383e+03, 3.88592397e-02, 7.94328235e+03, 3.12661158e-02, 9.74245407e-04, 4.46683592e+03, 5.99801350e-02, 1.50801777e-03, 1.12201845e+04, 1.79408021e-01, 4.98195380e-04, 7.94328235e+03, 7.64270000e-01
8.60000000e+02, -2.28744315e+03, 3.52015810e-02, 7.07945784e+03, 2.74644776e-02, 6.92296277e-04, 3.16227766e+03, 5.46535948e-02, 1.15155709e-03, 7.94328235e+03, 1.72348052e-01, 4.51302320e-04, 7.07945784e+03, 7.71513400e-01
8.80000000e+02, -2.28689830e+03, 3.66405411e-02, 7.94328235e+03, 2.53280829e-02, 6.90811795e-04, 3.54813389e+03, 5.18722828e-02, 1.11280104e-03, 7.94328235e+03, 1.65362780e-01, 4.69750526e-04, 7.94328235e+03, 7.78079800e-01
9.00000000e+02, -2.28641721e+03, 2.94876005e-02, 5.62341325e+03, 2.21532657e-02, 4.95464817e-04, 2.51188643e+03, 4.76560814e-02, 9.09571308e-04, 6.30957344e+03, 1.59194973e-01, 3.78046160e-04, 5.62341325e+03, 7.84764900e-01
9.20000000e+02, -2.28599995e+03, 3.10391599e-02, 6.30957344e+03, 2.09357329e-02, 5.44967123e-04, 3.16227766e+03, 4.55099582e-02, 8.01721880e-04, 5.62341325e+03, 1.53845516e-01, 3.97937947e-04, 6.30957344e+03, 7.90758400e-01
9.40000000e+02, -2.28560055e+03, 2.74482153e-02, 5.01187234e+03, 1.97431490e-02, 4.19741792e-04, 2.23872114e+03, 4.42000638e-02, 6.88774447e-04, 4.46683592e+03, 1.48724962e-01, 3.51900196e-04, 5.01187234e+03, 7.95706000e-01
9.60000000e+02, -2.28521519e+03, 2.63161718e-02, 5.01187234e+03, 1.73999046e-02, 3.58500154e-04, 2.23872114e+03, 4.27569018e-02, 6.69034133e-04, 4.46683592e+03, 1.43784512e-01, 3.37386818e-04, 5.01187234e+03, 8.01004200e-01
9.80000000e+02, -2.28487686e+03, 2.45468329e-02, 4.46683592e+03, 1.62998154e-02, 3.49204528e-04, 2.23872114e+03, 4.04264232e-02, 5.70597243e-04, 3.54813389e+03, 1.39446873e-01, 3.14702986e-04, 4.46683592e+03, 8.05813200e-01
1.00000000e+03, -2.28458517e+03, 2.24182302e-02, 3.98107171e+03, 1.46503012e-02, 2.96935482e-04, 1.99526231e+03, 4.02494802e-02, 5.97826892e-04, 3.98107171e+03, 1.35707276e-01, 2.87413207e-04, 3.98107171e+03, 8.10460500e-01
