Radial coordinate (angstrom), Histogram of radial distances for (counts), Scaled histogram (counts),Radial coordinate (angstrom), Histogram of radial distances for (counts), Scaled histogram (counts)
1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0
1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0
1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0
1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0
1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0
1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0
1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0
1.891866436290066,0.0,0.0,1.891866436290066,0.0,0.0
1.944115294462075,0.0,0.0,1.944115294462075,0.0,0.0
1.996364152634084,0.0,0.0,1.996364152634084,28.0,0.02669287821273
2.0486130108060925,37.0,0.1148449682560675,2.0486130108060925,141.0,0.1276486302575885
2.1008618689781016,175.0,0.5165033618759987,2.1008618689781016,515.0,0.4433320522768988
2.15311072715011,370.0,1.039678578546603,2.15311072715011,1592.0,1.3047497837075837
2.2053595853221197,631.0,1.6900542180394675,2.2053595853221197,3627.0,2.8333852708534097
2.257608443494128,972.0,2.4842718870915603,2.257608443494128,4744.0,3.536424075211615
2.309857301666137,1492.0,3.642743757040415,2.309857301666137,6133.0,4.367365734849812
2.3621061598381456,2095.0,4.8911986800488565,2.3621061598381456,6342.0,4.31861324984266
2.4143550180101547,2200.0,4.916437467770326,2.4143550180101547,6878.0,4.483083301577085
2.466603876182164,1666.0,3.5670260333825072,2.466603876182164,5369.0,3.352829617162234
2.518852734354172,1587.0,3.2583780677808587,2.518852734354172,4032.0,2.414525902779011
2.5711015925261806,1366.0,2.691797130486492,2.5711015925261806,2924.0,1.6805668517202756
2.6233504506981897,924.0,1.7489985505879508,2.6233504506981897,2226.0,1.2289364815684274
2.675599308870199,951.0,1.7304875054846367,2.675599308870199,1997.0,1.0598705239734374
2.7278481670422075,680.0,1.190415646657202,2.7278481670422075,1567.0,0.800102281138655
2.780097025214216,479.0,0.8073199944412349,2.780097025214216,1177.0,0.5785933745825796
2.832345883386225,481.0,0.7810567712549469,2.832345883386225,977.0,0.4627206564979714
2.884594741558234,236.0,0.369464307437794,2.884594741558234,747.0,0.3410891355212262
2.936843599730243,140.0,0.2114445515845357,2.936843599730243,685.0,0.3017489954904311
2.9890924579022515,142.0,0.2070330823782034,2.9890924579022515,480.0,0.2041171234714681
3.04134131607426,167.0,0.2351885901662185,3.04134131607426,452.0,0.1856628491232324
3.0935901742462693,171.0,0.2327558752145974,3.0935901742462693,389.0,0.1544332963473072
3.1458390324182783,130.0,0.1711198772807042,3.1458390324182783,442.0,0.169693878303365
3.198087890590287,184.0,0.234351174432582,3.198087890590287,709.0,0.263379727968502
3.250336748762296,171.0,0.2108480046493424,3.250336748762296,831.0,0.2988554685782711
3.3025856069343043,149.0,0.1779541833605026,3.3025856069343043,771.0,0.2685734696858592
3.3548344651063133,342.0,0.3958348387550497,3.3548344651063133,917.0,0.3095594334757144
3.4070833232783224,326.0,0.3658324215208566,3.4070833232783224,965.0,0.3158484160753306
3.459332181450331,569.0,0.6193809353001921,3.459332181450331,1171.0,0.371782771430556
3.51158103962234,618.0,0.6528496647220688,3.51158103962234,1343.0,0.4137971748956424
3.5638298977943488,352.0,0.3610262919896715,3.5638298977943488,1678.0,0.501966717058556
3.616078755966357,674.0,0.6714508633635049,3.616078755966357,2523.0,0.7330918458124914
3.6683276141383674,722.0,0.6989257941982342,3.6683276141383674,2806.0,0.7922611062812622
3.720576472310375,641.0,0.6032087878157808,3.720576472310375,2822.0,0.7745570979272579
3.772825330482384,830.0,0.7595822281976714,3.772825330482384,3441.0,0.9184767635842024
3.825074188654393,1015.0,0.903683635197468,3.825074188654393,3671.0,0.9532823634511222
3.8773230468264015,945.0,0.8188379012233159,3.8773230468264015,4127.0,1.043007413070563
3.9295719049984106,933.0,0.7870843274915758,3.9295719049984106,4889.0,1.2029468979878617
3.981820763170419,941.0,0.7731367383967649,3.981820763170419,5690.0,1.3635333107661682
4.034069621342428,1117.0,0.8941214135243334,4.034069621342428,5730.0,1.3377801363943975
4.086318479514437,1229.0,0.9587768973817076,4.086318479514437,6114.0,1.391162654398641
4.138567337686446,1286.0,0.9780724318969374,4.138567337686446,6561.0,1.4554151302401066
4.190816195858455,1447.0,1.0732512552085642,4.190816195858455,6649.0,1.43838784759192
4.243065054030463,1490.0,1.0780948933294765,4.243065054030463,6502.0,1.372159143596135
4.295313912202472,1501.0,1.0597928279672852,4.295313912202472,7483.0,1.5410006696023308
4.347562770374481,1613.0,1.1116619641669954,4.347562770374481,7772.0,1.5622767487740548
4.399811628546489,1678.0,1.1291558562062536,4.399811628546489,7254.0,1.4237255677999887
4.452060486718499,1516.0,0.996339137340552,4.452060486718499,7906.0,1.515484843302024
