All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
365.0,80.47860568812986,79.51896106406832,370.0,80.25,0.25
366.0,80.37557309372973,79.3672421079564,385.0,77.5,0.25
367.0,80.26610811781737,79.2093774285876,386.0,77.0,0.25
368.0,80.1502418699464,79.0454118898588,389.0,76.75,0.25
369.0,80.02800727888898,78.87539208948292,392.0,75.75,0.25
370.0,79.89943908327757,78.69936634574638,394.0,75.0,0.25
371.0,79.76457382173234,78.51738468377731,395.0,74.75,0.25
372.0,79.623449822477,78.3294988213288,405.0,71.75,0.25
373.0,79.47610719244611,78.13576215408116,418.0,67.375,0.25
374.0,79.32258780588674,77.93622974046733,423.0,65.375,0.25
375.0,79.16293529245806,77.73095828602558,428.0,63.5,0.25
376.0,78.9971950248319,77.5200061272844,429.0,63.25,0.25
377.0,78.82541410579798,77.30343321518359,436.0,60.5,0.25
378.0,78.6476413548775,77.08130109803673,437.0,60.0,0.25
379.0,78.46392729444884,76.85367290403966,438.0,59.75,0.25
380.0,78.27432413538915,76.62061332332985,441.0,58.625,0.25
381.0,78.07888576223635,76.38218858960215,444.0,57.375,0.25
382.0,77.8776677178753,76.13846646128547,472.0,46.75,0.25
383.0,77.67072718775263,75.88951620228656,477.0,45.0,0.25
384.0,77.45812298362496,75.63540856230563,498.0,39.0,0.25
385.0,77.23991552684471,75.3762157567299,512.0,36.0,0.25
386.0,77.01616683118866,75.1120114461106,520.0,35.0,0.25
387.0,76.78694048523374,74.8428707152291,528.0,34.5,0.25
388.0,76.55230163428553,74.56887005175851,529.0,34.5,0.25
389.0,76.31231696186407,74.29008732452644,530.0,34.25,0.25
390.0,76.06705467075268,74.00660176138531,531.0,34.25,0.25
391.0,75.81658446361506,73.71849392669644,532.0,34.25,0.25
392.0,75.56097752318588,73.42584569843424,536.0,34.25,0.25
393.0,75.30030649204107,73.12874024491717,550.0,34.75,0.25
394.0,75.03464545195291,72.82726200117197,551.0,35.0,0.25
395.0,74.7640699028364,72.52149664493786,553.0,35.25,0.25
396.0,74.48865674129232,72.21153107231761,564.0,36.75,0.25
397.0,74.2084842387536,71.8974533730824,577.0,39.75,0.25
398.0,73.92363201924078,71.57935280563734,581.0,40.75,0.25
