All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77263222183005,79.91852002096763,57.0,66.5,1.5
1.0,80.70019584002738,79.84097038433259,58.0,66.0,1.5
2.0,80.62094699763377,79.75670971171007,63.0,64.5,1.5
3.0,80.53490914565668,79.66576301266777,68.0,62.0,1.5
4.0,80.44210774408076,79.56815728126546,79.0,58.0,1.5
5.0,80.34257025433374,79.4639214880427,241.0,50.0,1.5
6.0,80.23632613116023,79.35308657142012,267.0,59.5,1.5
7.0,80.12340681390559,79.23568542851653,284.0,65.0,1.5
8.0,80.00384571721251,79.11175290538458,289.0,67.0,1.5
9.0,79.87767822113304,78.98132578666811,295.0,69.0,1.5
10.0,79.74494166065911,78.84444278468405,326.0,77.5,1.5
11.0,79.60567531467449,78.70114452793206,338.0,80.0,1.5
12.0,79.45992039433153,78.55147354903559,370.0,80.25,0.5
13.0,79.30772003085615,78.39547427211767,385.0,77.5,0.5
14.0,79.14911926278455,78.23319299961526,386.0,77.0,0.5
15.0,78.98416502263566,78.06467789853619,389.0,76.75,0.5
16.0,78.812906123023,77.88997898616262,392.0,75.75,0.5
17.0,78.63539324221023,77.70914811520527,394.0,75.0,0.5
18.0,78.45167890911472,77.52223895841297,395.0,74.75,0.5
19.0,78.2618174877633,77.32930699264193,405.0,71.75,0.5
20.0,78.06586516120512,77.13040948238952,418.0,67.375,0.5
21.0,77.86387991488618,76.92560546279756,423.0,65.375,0.5
22.0,77.6559215194905,76.71495572212993,428.0,63.5,0.5
23.0,77.442051513253,76.49852278372991,429.0,63.25,0.5
24.0,77.22233318374938,76.2763708874625,436.0,60.5,0.5
25.0,76.99683154916826,76.04856597064729,437.0,60.0,0.5
26.0,76.76561333907128,75.81517564848745,438.0,59.75,0.5
27.0,76.52874697464674,75.57626919400077,441.0,58.625,0.5
28.0,76.28630254846271,75.33191751745858,444.0,57.375,0.5
29.0,76.03835180372545,75.08219314533872,472.0,46.75,0.5
30.0,75.78496811304944,74.82717019879888,477.0,45.0,0.5
31.0,75.52622645674535,74.56692437167652,498.0,39.0,0.5
32.0,75.262203400632,74.30153290802205,512.0,36.0,0.5
33.0,74.99297707337942,74.03107457917189,520.0,35.0,0.5
34.0,74.71862714338931,73.75562966036813,528.0,34.5,0.5
35.0,74.43923479521978,73.47527990693203,529.0,34.5,0.5
36.0,74.15488270556165,73.19010852999791,530.0,34.25,0.5
37.0,73.86565501877305,72.90020017181524,531.0,34.25,0.5
38.0,73.57163732197974,72.60564088062569,532.0,34.25,0.5
39.0,73.27291661974846,72.30651808512309,536.0,34.25,0.5
40.0,72.96958130834096,72.0029205685035,550.0,34.75,0.5
41.0,72.6617211495561,71.69493844211331,551.0,35.0,0.5
42.0,72.34942724416784,71.38266311870315,553.0,35.25,0.5
43.0,72.03279200496712,71.06618728529547,564.0,36.75,0.5
44.0,71.71190912941539,70.74560487567395,577.0,39.75,0.5
45.0,71.38687357191803,70.42101104250284,581.0,40.75,0.5
46.0,71.05778151572582,70.09250212908448,590.0,43.75,0.5
47.0,70.72473034447279,69.76017564076355,593.0,44.25,0.5
48.0,70.38781861335876,69.4241302159862,594.0,44.5,0.5
49.0,70.04714601998538,69.08446559702314,598.0,46.0,0.5
50.0,69.7028133748539,68.74128260036483,599.0,46.25,0.5
51.0,69.35492257153383,68.39468308679795,624.0,55.25,0.5
52.0,69.00357655651086,68.04476993117206,625.0,56.0,0.5
53.0,68.64887929872349,67.6916469918649,646.0,64.25,0.5
54.0,68.29093575879678,67.33541907995618,673.0,73.25,0.5
55.0,67.929851857983,66.97619192811828,687.0,77.0,0.5
56.0,67.56573444681763,66.61407215923364,688.0,77.25,0.5
57.0,67.19869127350077,66.24916725474772,,,
58.0,66.82883095201254,65.88158552276732,,,
59.0,66.45626292997254,65.5114360659134,,,
60.0,66.08109745625255,65.13882874893815,,,
61.0,65.70344554835206,64.7638741661158,,,
62.0,65.32341895954649,64.38668360841696,,,
63.0,64.94113014581745,64.0073690304761,,,
64.0,64.5566922325754,63.62604301736213,,,
65.0,64.17021898118388,63.24281875116179,,,
66.0,63.7818247552957,62.85780997738586,,,
67.0,63.39162448701099,62.471130971208154,,,
68.0,62.99973364286685,62.08289650354729,,,
69.0,62.60626818966898,61.6932218070013,,,
70.0,62.21134456017523,61.302222541645264,,,
71.0,61.81507961864127,60.910014760702,,,
72.0,61.417590626238606,60.51671487609609,,,
73.0,61.01899520635505,60.12243962390144,,,
74.0,60.61941130978815,59.72730602969266,,,
75.0,60.21895717984158,59.33143137381044,,,
76.0,59.81775131733507,58.93493315655135,,,
77.0,59.41591244553814,58.53792906329243,,,
78.0,59.013559475037894,58.14053692956066,,,
79.0,58.610811468551546,57.74287470605809,,,
80.0,58.20778760569383,57.34506042365259,,,
81.0,57.80460714770977,56.94721215834492,,,
82.0,57.40138940218345,56.54944799622238,,,
83.0,56.998253687732905,56.15188599840944,,,
84.0,56.59531929870188,55.754644166025805,,,
85.0,56.19270546985868,55.35784040516227,,,
86.0,55.7905313411127,54.96159249188482,,,
87.0,55.38891592225898,54.566018037277274,,,
88.0,54.987978057761346,54.17123445253292,,,
89.0,54.587836391584354,53.77735891410548,,,
90.0,54.1886093320847,53.384508328929755,,,
91.0,53.79041501697224,52.992799299722265,,,
92.0,53.39337127835114,52.60234809037216,,,
93.0,52.99759560785147,52.213270591432725,,,
94.0,52.603205121861556,51.825682285723694,,,
95.0,52.21031652687133,51.43969821405457,,,
96.0,51.819046084937035,51.05543294107917,,,
97.0,51.429509579277365,50.67300052129143,,,
98.0,51.04182228001138,50.29251446517272,,,
99.0,50.65609891004822,49.91408770550058,,,
100.0,50.27245361113876,49.53783256382891,,,
101.0,49.890999910099204,49.16386071714961,,,
102.0,49.511850685216686,48.79228316474553,,,
103.0,49.13511813284678,48.423210195244565,,,
104.0,48.760913734212764,48.05675135388468,,,
105.0,48.38934822241656,47.69301540999956,,,
106.0,48.02053154967105,47.332110324734614,,,
107.0,47.654572854763366,46.974143219002826,,,
108.0,47.29158043075905,46.619220341689946,,,
109.0,46.93166169295635,46.26744703811865,,,
110.0,46.57492314710031,45.91892771878069,,,
111.0,46.22147035786601,45.57376582834671,,,
112.0,45.87140791762033,45.232063814962586,,,
113.0,45.524839415471284,44.89392309984165,,,
114.0,45.1818674066144,44.55944404716159,,,
115.0,44.84259338198498,44.228725934275275,,,
116.0,44.50711773822534,43.901866922243954,,,
117.0,44.17553974797571,43.578964026701975,,,
118.0,43.84795753049802,43.260113089061335,,,
119.0,43.5244680226407,42.94540874806485,,,
120.0,43.205166950153554,42.6349444116962,,,
121.0,42.89014879936101,42.32881222945542,,,
122.0,42.57950678920203,42.027103065007736,,,
123.0,42.273332843645186,41.729906469214214,,,
124.0,41.971717564486816,41.43731065355197,,,
125.0,41.67475020454056,41.14940246393199,,,
126.0,41.38251864122596,40.866267354922186,,,
127.0,41.09510935056416,40.587989364383525,,,
128.0,40.812607381588236,40.314651088526524,,,
129.0,40.535096331175836,40.04633365739578,,,
130.0,40.262658319311484,39.78311671078958,,,
131.0,39.99537396478601,39.52507837462184,,,
132.0,39.7333223613401,39.27229523773347,,,
133.0,39.476581054259235,39.02484232915982,,,
134.0,39.225226017426735,38.78279309586124,,,
135.0,38.979331630841926,38.546219380923105,,,
136.0,38.73897065860983,38.31519140223196,,,
137.0,38.50421422740921,38.089777731633994,,,
138.0,38.275131805444886,37.87004527458214,,,
139.0,38.051791181891126,37.656059250277686,,,
140.0,37.83425844683163,37.447883172312515,,,
141.0,37.622597971702476,37.24557882981743,,,
142.0,37.41687239024354,37.04920626912252,,,
143.0,37.217142579964175,36.858823775934546,,,
144.0,37.0234676441286,36.6744878580372,,,
145.0,36.83590489426626,36.49625322851884,,,
146.0,36.65450983321241,36.32417278953301,,,
147.0,36.479336138684005,36.15829761659646,,,
148.0,36.31043564739552,35.99867694342932,,,
149.0,36.14785833971969,35.845358147341976,,,
150.0,35.99165232489745,35.698386735172875,,,
151.0,35.84186382680171,35.557806329781585,,,
152.0,35.69853717025893,35.423658657101,,,
153.0,35.56171476793267,35.29598353375262,,,
154.0,35.43143710777305,35.17481885522844,,,
155.0,35.307742741035675,35.060200584643184,,,
156.0,35.1906682708737,34.95216274205998,,,
157.0,35.08024834150642,34.85073739439285,,,
158.0,34.976515627967395,34.75595464588882,,,
159.0,34.879500826435475,34.66784262919264,,,
160.0,34.78923264515125,34.586427496996684,,,
161.0,34.705737795921834,34.511733414278524,,,
162.0,34.62904098621642,34.44378255112847,,,
163.0,34.55916491185492,34.382595076169224,,,
164.0,34.496130250291955,34.32818915056962,,,
165.0,34.439955654498,34.28058092265412,,,
166.0,34.39065774743972,34.23978452310983,,,
167.0,34.34825111716093,34.20581206079238,,,
168.0,34.312748312465786,34.1786736191318,,,
169.0,34.2841598392054,34.15837725313968,,,
170.0,34.262494157168945,34.144928987018375,,,
171.0,34.247757677580296,34.13833281237285,,,
172.0,34.23995476120085,34.13859068702607,,,
173.0,34.23908771703911,34.14570253443776,,,
174.0,34.24515680166739,34.15966624372719,,,
175.0,34.25816021914591,34.180477670299716,,,
176.0,34.27809412155422,34.208130637076906,,,
177.0,34.3049526101299,34.24261693633001,,,
178.0,34.33872773701408,34.28392633211608,,,
179.0,34.379409507603306,34.33204656331614,,,
180.0,34.42698588350716,34.38696334727442,,,
181.0,34.48144278611059,34.44866038403761,,,
182.0,34.54276410073997,34.51711936119291,,,
183.0,34.610931681431765,34.59231995930335,,,
184.0,34.685925356302114,34.67423985793883,,,
185.0,34.7677229335161,34.76285474230112,,,
186.0,34.856300207854616,34.858138310440744,,,
187.0,34.951630967877136,34.96006228106374,,,
188.0,35.053687003678036,35.06859640192586,,,
189.0,35.16243811523439,35.18370845881182,,,
190.0,35.277852121342654,35.30536428509685,,,
191.0,35.39989486914159,35.433527771887746,,,
192.0,35.52853024421866,35.56816087874043,,,
193.0,35.66372018129681,35.70922364495078,,,
194.0,35.80542467549867,35.856674201415515,,,
195.0,35.95360179418461,36.010468783059316,,,
196.0,36.10820768936125,36.17056174182495,,,
197.0,36.26919661065686,36.336905560222064,,,
198.0,36.43652091885956,36.50945086543099,,,
199.0,36.610131100014556,36.688146443957166,,,
200.0,36.78997578007612,36.87293925683191,,,
201.0,36.976001740110014,37.063774455355,,,
202.0,37.16815393204179,37.26059539737447,,,
203.0,37.36637549494642,37.463343664098595,,,
204.0,37.570607771874364,37.67195907743536,,,
205.0,37.78079032720909,37.88637971785397,,,
206.0,37.996860964550976,38.10654194276336,,,
207.0,38.21875574512218,38.332380405402006,,,
208.0,38.4464090066872,38.56382807423368,,,
209.0,38.679753382983336,38.80081625284316,,,
210.0,38.9187198236555,39.043274600326185,,,
211.0,39.163237614689294,39.29113115216741,,,
212.0,39.41323439933643,39.54431234160039,,,
213.0,39.668636199526276,39.802743021443035,,,
214.0,39.92936743775715,40.06634648640221,,,
215.0,40.19535095946088,40.33504449584072,,,
216.0,40.466508055834126,40.60875729700015,,,
217.0,40.74275848712959,40.88740364867235,,,
218.0,41.024020506400205,41.17090084531283,,,
219.0,41.31021088368939,41.45916474158872,,,
220.0,41.601244930660165,41.75210977735416,,,
221.0,41.897036525655714,42.04964900304548,,,
222.0,42.19749813918426,42.35169410548896,,,
223.0,42.5025408598204,42.65815543411313,,,
224.0,42.812074420515444,42.96894202755821,,,
225.0,43.12600722530884,43.283961640674455,,,
226.0,43.44424637643298,43.603120771901686,,,
227.0,43.76669770180307,43.92632469102155,,,
228.0,44.09326578288416,44.253477467274685,,,
229.0,44.42385398292713,44.58448199783405,,,
230.0,44.758364475564896,44.91924003662621,,,
231.0,45.09669827376095,45.257652223491924,,,
232.0,45.438755259101136,45.599618113677444,,,
233.0,45.784434211420304,45.94503620764769,,,
234.0,46.13363283875505,46.293803981212534,,,
235.0,46.48624780761345,46.645817915957196,,,
236.0,46.84217477355324,47.000973529967666,,,
237.0,47.20130841205884,47.359165408842316,,,
238.0,47.56354244970871,47.72028723698002,,,
239.0,47.92876969562336,48.08423182913599,,,
240.0,48.29688207318476,48.45089116223548,,,
241.0,48.667770652018035,48.82015640743648,,,
242.0,49.041325680225654,49.19191796243133,,,
243.0,49.417436616864904,49.566065483978015,,,
244.0,49.79599216465856,49.942487920651246,,,
245.0,50.17688030292963,50.321073545804,,,
246.0,50.55998832075016,50.70170999072921,,,
247.0,50.945202850294024,51.08428427801219,,,
248.0,51.33240990038441,51.46868285506357,,,
249.0,51.72149489022567,51.85479162782319,,,
250.0,52.11234268330951,52.24249599462448,,,
251.0,52.504837621485834,52.631680880209636,,,
252.0,52.898863559187795,53.02223076988527,,,
253.0,53.29430389780116,53.41402974380861,,,
254.0,53.6910416201677,53.80696151139385,,,
255.0,54.08895932521247,54.2009094458286,,,
256.0,54.48793926268469,54.59575661869001,,,
257.0,54.887863368001874,54.99138583465068,,,
258.0,55.288613297187084,55.38767966626351,,,
259.0,55.690070461888865,55.78452048881554,,,
260.0,56.092116064473316,56.18179051524046,,,
261.0,56.49463113317838,56.57937183107914,,,
262.0,56.897496557319364,56.9771464294781,,,
263.0,57.30059312253579,57.37499624621518,,,
264.0,57.703801546068796,57.77280319474265,,,
265.0,58.10700251205885,58.17044920123652,,,
266.0,58.51007670685327,58.56781623964233,,,
267.0,58.912904854312956,58.96478636670661,,,
268.0,59.31536775110818,59.36124175698394,,,
269.0,59.717346301992805,59.757064737808854,,,
270.0,60.11872155504638,60.152137824222564,,,
271.0,60.519374736874056,60.546343753843765,,,
272.0,60.91918728775342,60.93956552167365,,,
273.0,61.3180408967183,61.33168641482429,,,
274.0,61.71581753656887,61.72259004716044,,,
275.0,62.112399498797764,62.11216039384427,,,
276.0,62.507669428422005,62.500281825772994,,,
277.0,62.901510358710105,62.886839143898925,,,
278.0,63.293805745794536,63.27171761342193,,,
279.0,63.684439503158806,63.654802997843994,,,
280.0,64.07329603598942,64.03598159287613,,,
281.0,64.46026027538223,64.41514026018702,,,
282.0,64.84521771239312,64.7921664609839,,,
283.0,65.22805443192311,65.16694828941536,,,
284.0,65.60865714642769,65.53937450578634,,,
285.0,65.98691322944026,65.90933456957544,,,
286.0,66.36271074890034,66.27671867224457,,,
287.0,66.73593850027589,66.64141776983148,,,
288.0,67.10648603947068,67.00332361531532,,,
289.0,67.47424371550628,67.36232879074562,,,
290.0,67.8391027029697,67.71832673912522,,,
291.0,68.20095503421655,68.07121179603756,,,
292.0,68.55969363132036,68.4208792210093,,,
293.0,68.91521233775867,68.76722522859845,,,
294.0,69.26740594982657,69.1101470191991,,,
295.0,69.61617024776795,69.44954280955356,,,
296.0,69.96140202661597,69.78531186296289,,,
297.0,70.30299912673303,70.11735451918673,,,
298.0,70.64086046404144,70.44557222402364,,,
299.0,70.97488605993583,70.76986755856309,,,
300.0,71.30497707086839,71.09014426810069,,,
301.0,71.63103581759837,71.40630729070759,,,
302.0,71.95296581409683,71.71826278544611,,,
303.0,72.2706717960984,72.0259181602227,,,
304.0,72.58405974929167,72.3291820992705,,,
305.0,72.89303693713933,72.62796459025292,,,
306.0,73.19751192832055,72.9221769509803,,,
307.0,73.49739462378687,73.2117318557319,,,
308.0,73.7925962834241,73.49654336117521,,,
309.0,74.08302955231179,73.77652693187491,,,
310.0,74.36860848657304,74.05159946538404,,,
311.0,74.64924857880672,74.32167931690977,,,
312.0,74.92486678309442,74.58668632354649,,,
313.0,75.19538153957527,74.84654182806922,,,
