Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
0.00000000, -809.33836360, 0.00000000, -809.33836360, 0.00000000
0.01000000, -825.82559382, 14.29378810, -811.53180572, 431.95969537
0.02000000, -847.91348923, 35.02755893, -812.88593030, 1058.53630820
0.03000000, -851.68492824, 39.22877469, -812.45615355, 1185.49746555
0.04000000, -840.78455206, 29.20515699, -811.57939507, 882.58274362
0.05000000, -830.14989696, 19.36740736, -810.78248961, 585.28497310
0.06000000, -831.24325369, 19.86467207, -811.37858162, 600.31236212
0.07000000, -836.62238840, 24.71245377, -811.90993463, 746.81280617
0.08000000, -837.37922293, 25.51178897, -811.86743396, 770.96879540
0.09000000, -833.61060613, 22.07519274, -811.53541340, 667.11451598
0.10000000, -830.69249770, 19.39153439, -811.30096330, 586.01409448
0.11000000, -832.59630967, 21.23861588, -811.35769378, 641.83308046
0.12000000, -838.05768712, 26.34143063, -811.71625650, 796.04064858
0.13000000, -841.19446431, 29.24193217, -811.95253213, 883.69409329
0.14000000, -838.10157986, 26.33876548, -811.76281438, 795.96010768
0.15000000, -831.99966740, 20.73967320, -811.25999421, 626.75498292
0.16000000, -830.54088075, 19.38948052, -811.15140023, 585.95202620
0.17000000, -835.15187568, 23.51145947, -811.64041620, 710.51863933
0.18000000, -838.88381409, 27.05558550, -811.82822859, 817.62247966
0.19000000, -838.26062350, 26.58743800, -811.67318550, 803.47501579
0.20000000, -835.40646731, 23.91175859, -811.49470872, 722.61571833
0.21000000, -833.58480459, 22.18782210, -811.39698249, 670.51818659
0.22000000, -834.34960662, 22.83719991, -811.51240671, 690.14244858
0.23000000, -835.88830411, 24.21634922, -811.67195489, 731.82047757
0.24000000, -835.73070461, 24.12419371, -811.60651090, 729.03552883
0.25000000, -834.72882851, 23.32404007, -811.40478845, 704.85480627
0.26000000, -835.53320306, 24.00566828, -811.52753478, 725.45367872
0.27000000, -836.70097979, 25.07807322, -811.62290656, 757.86186238
0.28000000, -836.46412394, 24.90617693, -811.55794701, 752.66713946
0.29000000, -835.48241063, 23.95922170, -811.52318894, 724.05005822
0.30000000, -834.55620006, 23.07532803, -811.48087203, 697.33870380
0.31000000, -834.49077244, 23.03176742, -811.45900501, 696.02229794
0.32000000, -835.57993117, 24.09831982, -811.48161136, 728.25361722
0.33000000, -837.00609192, 25.37445540, -811.63163652, 766.81856123
0.34000000, -836.62754238, 25.00276086, -811.62478152, 755.58591533
0.35000000, -834.53531656, 23.08820516, -811.44711139, 697.72785214
0.36000000, -833.13686131, 21.74475029, -811.39211102, 657.12851247
0.37000000, -833.39919955, 21.94072060, -811.45847895, 663.05075476
0.38000000, -834.45552617, 22.99714440, -811.45838177, 694.97598680
0.39000000, -835.98737466, 24.55798371, -811.42939095, 742.14470571
0.40000000, -837.99555091, 26.42838028, -811.56717063, 798.66827582
0.41000000, -838.48703411, 26.82562742, -811.66140669, 810.67312366
0.42000000, -836.21746192, 24.67111901, -811.54634291, 745.56366569
0.43000000, -833.04489380, 21.70422065, -811.34067315, 655.90370274
0.44000000, -832.16839572, 20.84745266, -811.32094306, 630.01208902
0.45000000, -834.03508761, 22.53586641, -811.49922119, 681.03612029
0.46000000, -836.02078809, 24.43322105, -811.58756703, 738.37436586
0.47000000, -836.44647909, 24.88155454, -811.56492456, 751.92304822
0.48000000, -835.56310621, 24.09512850, -811.46797771, 728.15717545
0.49000000, -834.88727457, 23.50608145, -811.38119312, 710.35611497
