Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,CrH atom%,Ta atom%,P atom%,Al atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-10.05000039935112,2962,0.7089804186360568,91.28966914247131,0.4388926401080351,0,3.1060094530722484,0.8102633355840648,0,0,0.2363268062120189,0,0.0675219446320054,0,0.0675219446320054,0,0,0,0,0,0,0,0,3.2072923700202565,0.0675219446320054,0.15416279598846322,0.5181262734913077,0.1214594978122294,0,0.3187552017738431,0.16472288320998296,0,0,0.08921752707680279,0,0.04772910295409624,0,0.04772910295409624,0,0,0,0,0,0,0,0,0.3237412713180654,0.04772910295409624
-9.750000387430191,8951,0.4803932521505977,91.36409339738577,0.5585968048262764,0,3.1057982348340967,0.49156518824712325,0,0,0.5139090604401743,0,0.04468774438610211,0,0,0,0,0,0.011171936096525528,0.011171936096525528,0,0,0,3.39626857334376,0.022343872193051055,0.07308310597984503,0.2968971060259221,0.07877656993947824,0,0.1833579460723742,0.07392387580152855,0,0,0.07557680740565179,0,0.02233887914892323,0,0,0,0,0,0.011171312018313912,0.011171312018313912,0,0,0,0.19145300424239073,0.01579773833662272
-9.450000375509262,9237,0.5629533398289488,91.63148208292736,0.49799718523330083,0,2.7065064414853306,0.6820396232543033,0,0,0.49799718523330083,0.010826025765941322,0.07578218036158926,0,0.04330410306376529,0,0,0,0.010826025765941322,0,0,0,0,3.2586337555483382,0.021652051531882644,0.07784752985219906,0.2881251433921124,0.07324262205348063,0,0.16884218344072763,0.08563537960121215,0,0,0.07324262205348063,0.01082543973591053,0.028632116672593966,0,0.02164736291088097,0,0,0,0.01082543973591053,0,0,0,0,0.18473892512406792,0.015308654876692194
-9.150000363588333,9440,0.38135593220338987,91.90677966101694,0.46610169491525427,0,2.8707627118644066,0.5932203389830508,0,0,0.3601694915254237,0,0.0211864406779661,0,0.03177966101694915,0,0,0.01059322033898305,0,0.01059322033898305,0.01059322033898305,0,0,3.2733050847457625,0.0635593220338983,0.06343801264576386,0.28070390833954373,0.07010352416061234,0,0.17186507833878026,0.07903692250753486,0,0,0.061657222117008234,0,0.014979488810155046,0,0.018345080145781442,0,0,0.010592659242537359,0,0.010592659242537359,0.010592659242537359,0,0,0.18313882339124793,0.025939737071125304
-8.850000351667404,10012,0.46943667598881345,92.0495405513384,0.3495805033959249,0,2.656811825809029,0.519376747902517,0,0,0.519376747902517,0.01997602876548142,0.06991610067918498,0,0.02996404314822213,0.00998801438274071,0,0,0.00998801438274071,0,0,0,0,3.276068717538953,0.01997602876548142,0.06831346576690199,0.2703625322848908,0.05898651617289782,0,0.16072104978285345,0.07183731299925024,0,0,0.07183731299925024,0.014123774505236218,0.026416562587583174,0,0.017297156331416395,0.009987515568128432,0,0,0.009987515568128432,0,0,0,0,0.17790290952349683,0.014123774505236218
-8.550000339746475,10731,0.33547665641599106,91.94856024601621,0.363433044450657,0,2.618581679247041,0.6616345168204268,0,0,0.3913894324853229,0,0.07455036809244246,0,0.02795638803466592,0.009318796011555308,0,0,0,0.009318796011555308,0,0,0,3.541142484391017,0.018637592023110616,0.05581891012277708,0.26265709887148014,0.058090014683371896,0,0.15415265635275613,0.07826137689334052,0,0,0.060274399380155094,0,0.02634770875743316,0,0.01613837183135671,0.009318361801643762,0,0,0,0.009318361801643762,0,0,0,0.17841142429642856,0.013177539544823083
-8.250000327825546,10957,0.4198229442365611,91.8317057588756,0.31030391530528434,0,2.555444008396459,0.4837090444464726,0,0,0.42894952998083413,0,0.10039244318700373,0,0.027379757232819206,0.009126585744273066,0,0,0,0,0,0,0,3.805786255361869,0.027379757232819206,0.061769445290992146,0.26164725431346303,0.0531340515629194,0,0.15075306288347926,0.06628165803270245,0,0,0.06243438121375334,0,0.03025426258992321,0,0.01580554600422654,0.00912616926193346,0,0,0,0,0,0,0,0.18278932977988746,0.01580554600422654
-7.950000315904617,11241,0.41811226759185127,91.24633039765145,0.4270082732852949,0,2.5976336624855443,0.5960323814607241,0,0,0.4981763188328441,0,0.08896005693443644,0,0.01779201138688729,0.008896005693443645,0,0,0,0,0,0,0,4.029890579129971,0.07116804554754916,0.0608603097714566,0.2665632687064134,0.0615016048858038,0,0.1500276241811586,0.07259961425194639,0,0,0.06640558179368744,0,0.028119124323473577,0,0.012579732659528551,0.00889560999005651,0,0,0,0,0,0,0,0.18548643239575058,0.02515274866523711
-7.650000303983688,11742,0.3491739056378811,92.09674672117187,0.41730539942088235,0,2.26537216828479,0.6642820643842616,0,0,0.40027252597513197,0.017032873445750298,0.04258218361437575,0,0.0510986203372509,0.008516436722875149,0,0.008516436722875149,0.008516436722875149,0.017032873445750298,0.008516436722875149,0,0,3.593936297053313,0.0510986203372509,0.054436513731155906,0.24897403437235355,0.05949053859275501,0,0.13731657863051086,0.07496489599034624,0,0,0.05826878037756615,0.012043034548125263,0.019039276473525556,0,0.020855593894425813,0.008516074066681366,0,0.008516074066681366,0.008516074066681366,0.012043034548125263,0.008516074066681366,0,0,0.17177751858583007,0.020855593894425813
-7.350000292062759,12590,0.5083399523431295,92.02541699761716,0.33359809372517873,0,2.3431294678316124,0.6513105639396346,0,0,0.34948371723590155,0.015885623510722795,0.07148530579825257,0,0.03177124702144559,0.03177124702144559,0,0,0.007942811755361398,0,0,0,0,3.590150913423352,0.03971405877680699,0.06338078232776968,0.24143210633207438,0.05138937136053409,0,0.1348145229789717,0.07169060861260532,0,0,0.05259450653019435,0.011231939869663615,0.0238199168285458,0,0.01588309977990844,0.01588309977990844,0,0,0.007942496307804517,0,0,0,0,0.16580750673599312,0.017757139926380748
