Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,OH atom%,Al atom%,N atom%,Ta atom%,P atom%,Ni atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,OH atom% Sigma,Al atom% Sigma,N atom% Sigma,Ta atom% Sigma,P atom% Sigma,Ni atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-10.05000039935112,7608,0.6572029442691903,88.89327024185069,1.7875920084121977,0,7.439537329127234,0.1971608832807571,0,0,0.17087276550998948,0.013144058885383806,0,0.026288117770767613,0.03943217665615142,0,0,0.13144058885383808,0,0,0,0,0,0.5651945320715037,0.07886435331230283,0.09263661772684707,0.36024029723599454,0.15190851907235528,0,0.3008503146667365,0.05085651233385837,0,0,0.04735107131751779,0.013143195025576399,0,0.01858606289552661,0.022761688764861107,0,0,0.041537838046945774,0,0,0,0,0,0.08594743853577325,0.03218353923699187
-9.750000387430191,23428,0.6701382960560014,88.92777872631041,1.5963803995219394,0,7.209322178589722,0.29451937852142734,0,0,0.20488304592794948,0.03841557111149053,0,0.04695236469182175,0.017073587160662457,0.004268396790165614,0.017073587160662457,0.10244152296397474,0.012805190370496843,0,0.004268396790165614,0,0,0.7427010414888168,0.11097831654430597,0.053303352688103545,0.20500690671552446,0.08188533356263604,0,0.16897862933502095,0.035403715786717395,0,0,0.02954201056139351,0.012802730540728365,0,0.014153346773329625,0.008536064780775511,0.0042683056931377165,0.008536064780775511,0.020900074901825706,0.007392606743285474,0,0.0042683056931377165,0,0,0.05609454570976931,0.021752558157515395
-9.450000375509262,24250,0.7422680412371134,88.81649484536082,1.624742268041237,0,7.245360824742268,0.35876288659793815,0,0,0.2020618556701031,0.024742268041237116,0,0.04536082474226804,0.016494845360824743,0,0.008247422680412371,0.07422680412371134,0.004123711340206186,0,0.004123711340206186,0,0,0.7422680412371134,0.09072164948453608,0.05511967945333056,0.20238574253195143,0.08118565699502577,0,0.1664722916164168,0.03839436054540384,0,0,0.028836801067631677,0.010099738945888065,0,0.01367370095197121,0.008246742452551888,0,0.005831568012723977,0.017488931160919173,0.0041236263143535345,0,0.0041236263143535345,0,0,0.05511967945333056,0.01933314501352952
-9.150000363588333,25176,0.8222116301239275,88.48903717826502,1.6086749285033366,0,7.63425484588497,0.301874801398157,0,0,0.1271051795360661,0.01588814744200826,0,0.03972036860502066,0.01588814744200826,0,0.00794407372100413,0.08738481093104544,0.01588814744200826,0,0,0,0,0.7427708929138862,0.0913568477915475,0.056912236497598925,0.2011440524044616,0.07929014031690923,0,0.1673575967873523,0.034575109326535326,0,0,0.022454949273150802,0.00794344261286244,0,0.012558188606689514,0.00794344261286244,0,0.005617085272376309,0.01862236239454066,0.00794344261286244,0,0,0,0,0.05411468651514897,0.019040516215848277
-8.850000351667404,26546,0.7496421306411513,88.67249303096511,1.6763354177653882,0,7.364574700519852,0.3164318541399834,0,0,0.1732841106004671,0.0226022752957131,0,0.01883522941309425,0.02636932117833195,0,0.01130113764785655,0.07157387176975816,0.007534091765237701,0,0.0037670458826188505,0,0,0.8174489565282905,0.06780682588713931,0.05294116437527217,0.19451902471103708,0.07879704728432374,0,0.16031082188898985,0.034470877613410215,0,0,0.025527202158997064,0.009226297396715103,0,0.008422577349944064,0.009965352424978964,0,0.006524346169218141,0.0164142949896308,0.005327206687620941,0,0.00376697492877722,0,0,0.05526477600241947,0.015976802694234054
-8.550000339746475,27640,0.691027496382055,88.3863965267728,1.4182344428364688,0,7.858176555716353,0.3256150506512301,0,0,0.19536903039073808,0.01808972503617945,0,0.04341534008683068,0.02532561505065123,0.00361794500723589,0.00723589001447178,0.10853835021707671,0.00361794500723589,0,0.01085383502170767,0,0,0.8068017366136035,0.09768451519536904,0.04982793499184686,0.19271130467538125,0.0711218902730078,0,0.16185282088734348,0.034266914287079404,0,0,0.026560374103938595,0.00808923921518814,0,0.012530208240785972,0.009570970562423703,0.0036178795590135378,0.005116361779951233,0.019805543860038015,0.0036178795590135378,0,0.006266124486431249,0,0,0.05380905184099986,0.01879020942280753
-8.250000327825546,28548,0.6620428751576293,88.77679697351829,1.565783942833123,0,7.429592265657839,0.3502872355331372,0,0,0.16813787305590583,0.01751436177665686,0,0.05604595768530195,0.010508617065994114,0,0.02101723413198823,0.07706319181729018,0.0035028723553313717,0,0.0035028723553313717,0,0,0.7566204287515763,0.10158329830460978,0.04799685999082774,0.18681868101627808,0.07347694937449453,0,0.15521394398928945,0.03496731915951402,0,0,0.0242482006205523,0.007831974752723342,0,0.014007562434302921,0.006066834096554826,0,0.008579348191675887,0.016423595766613973,0.0035028110042204155,0,0.0035028110042204155,0,0,0.05128636985876138,0.01885396139181799
-7.950000315904617,29932,0.651476680475745,88.94494186823466,1.5568622210343446,0,7.426834157423494,0.23720432981424563,0,0,0.20379526927702796,0.026727248429774156,0,0.043431778698383,0.0033409060537217695,0.0033409060537217695,0.016704530268608846,0.06013630896699185,0.006681812107443539,0,0.0033409060537217695,0,0,0.738340237872511,0.0768408392356007,0.04650099837500341,0.18124802163180645,0.07155664099703661,0,0.15155719291913233,0.02811756729846736,0,0,0.026066708396864573,0.009448246422272929,0,0.01204319194475761,0.0033408502449893372,0.0033408502449893372,0.0074698690611173044,0.01417000137484409,0.0047245967995366255,0,0.0033408502449893372,0,0,0.04948244683164992,0.016016265503868858
-7.650000303983688,31279,0.7385146583970076,88.64413823971354,1.6272898749960036,0,7.557786374244701,0.21739825441989832,0,0,0.23338342018606734,0.04795549729850698,0,0.03516736468557179,0.012788132612935195,0.009591099459701397,0.02557626522587039,0.07353176252437738,0.006394066306467597,0,0.009591099459701397,0,0,0.6521947632596949,0.10869912720994916,0.04841093991569473,0.1793942957953663,0.0715390797378604,0,0.1494534842493626,0.02633473836957425,0,0,0.027283569734559372,0.012379086865416238,0,0.010601494786617429,0.00639365745255667,0.005537158298600768,0.009041418838850759,0.015326794236825427,0.004521143095284024,0,0.005537158298600768,0,0,0.04551361822500939,0.018631612060081498
-7.350000292062759,32792,0.8020248841180775,88.98816784581605,1.6894364479141253,0,7.190778238594779,0.26530861185655036,0,0,0.1463771651622347,0.021346669919492557,0,0.03354476701634545,0.009148572822639669,0,0.0030495242742132225,0.08538667967797023,0.0030495242742132225,0,0.006099048548426445,0,0,0.6830934374237618,0.07318858258111735,0.04925625313925723,0.1728669508017929,0.0711683783199867,0,0.14265912651443424,0.028406311495085886,0,0,0.02111225518298311,0.008067421645807331,0,0.010112431284056325,0.005281689365674515,0,0.0030494777758672304,0.01612967498316483,0.0030494777758672304,0,0.004312547069192547,0,0,0.04548494730287754,0.014934088834476562
-7.0500002801418304,34996,0.7658018059206766,88.92444850840096,1.5944679391930505,0,7.320836667047663,0.3171791061835638,0,0,0.1543033489541662,0.01428734712538576,0,0.03714710252600297,0.008572408275231454,0,0.011429877700308606,0.0885815521773917,0.008572408275231454,0,0.02000228597554006,0,0,0.660075437192822,0.07429420505200594,0.04659932990821338,0.1677583193365358,0.06695892128734077,0,0.13923942049208957,0.03005752667925636,0,0,0.020981819558115428,0.006389039417067295,0,0.010300838765420034,0.004949070084422239,0,0.005714612235560515,0.01590266833476488,0.004949070084422239,0,0.007559397338152262,0,0,0.04328620331768131,0.014564878910866408
-6.7500002682209015,36746,0.6939530833287977,89.06547651445055,1.553910629728406,0,7.407608991454852,0.22859630980242746,0,0,0.17961138627333587,0.03265661568606107,0,0.03265661568606107,0.008164153921515267,0.002721384640505089,0.010885538562020356,0.057149077450606864,0.002721384640505089,0,0.005442769281010178,0,0,0.639525390518696,0.07892015457464759,0.043305979566221724,0.16279819799701328,0.06452191043461364,0,0.1366223147680951,0.02491337777559046,0,0,0.022088769598450783,0.009425613508342843,0,0.009425613508342843,0.004713384048546142,0.002721347610581348,0.005442473035573518,0.012467387084175587,0.002721347610581348,0,0.003848514329882795,0,0,0.04158442388405124,0.014649320735624695
-6.4500002562999725,38604,0.7848927572272303,88.86384830587504,1.616412806963009,0,7.359341000932545,0.2875349704693814,0,0,0.20723241114910373,0.028494456533001762,0,0.025904051393637967,0.010361620557455186,0,0.012952025696818983,0.0777121541809139,0.007771215418091389,0,0.010361620557455186,0,0,0.6346492591441302,0.0725313439021863,0.04491360450128532,0.16010834706913504,0.06418319240002847,0,0.13289361880429337,0.02725234691896898,0,0,0.02314526833597771,0.00859017777842962,0,0.008190519258691856,0.005180541863822938,0,0.005791946857219641,0.014182719216725596,0.004486538974100099,0,0.005180541863822938,0,0,0.040417385825831376,0.013702163700786881
-6.150000244379044,41276,0.9133636980327551,89.01056303905418,1.560228704331815,0,7.229382692121329,0.2471169686985173,0,0,0.1598992150402171,0.01938172303517783,0,0.03149529993216397,0.004845430758794457,0.0024227153793972287,0.01453629227638337,0.07994960752010855,0.004845430758794457,0,0.007268146138191685,0,0,0.6323287140226767,0.08237232289950577,0.04682530492248001,0.1539429105093642,0.06100011137001152,0,0.12746971912232363,0.02443797466878597,0,0,0.01966649062244542,0.006851809798691353,0,0.008733848825360938,0.0034261539383384342,0.0024226860314704255,0.00593398513377927,0.013911875689803767,0.0034261539383384342,0,0.004196113631246195,0,0,0.039016221302845856,0.014120917372875002
