Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
3.91015313, 10.18595845, 2.03830554, 4.19917812, 0.14087256, 12.27664431, 12.56776743, 3.97736949, 0.05579537
3.92371979, 10.16255326, 2.05494308, 4.10509285, 0.08712280, 12.20900997, 12.49653105, 3.92221016, 0.05429131
3.96046829, 10.14352008, 2.06506469, 4.00684980, 0.04801695, 12.16225521, 12.39334049, 3.88691127, 0.03950885
4.02366877, 10.12761409, 2.06026476, 3.93077584, 0.02143837, 12.15308793, 12.28252901, 3.89303195, 0.01580414
4.11109666, 10.11502941, 2.03517677, 3.90280295, 0.00701395, 12.19090987, 12.18501515, 3.94901434, -0.01301901
4.21239035, 10.10876206, 1.99149802, 3.93496647, 0.00548722, 12.26750604, 12.10782749, 4.03814149, -0.04691477
4.31092439, 10.11375747, 1.93892524, 4.01814002, 0.01757315, 12.36348045, 12.05467275, 4.12879611, -0.08573185
4.38794783, 10.13606881, 1.89215014, 4.12766637, 0.03663699, 12.46004518, 12.03548517, 4.19437151, -0.12559705
4.42998165, 10.17872843, 1.86312481, 4.23169530, 0.04166225, 12.54151039, 12.05404088, 4.22378940, -0.15780721
4.43334476, 10.23303227, 1.85718240, 4.30212622, 0.00969901, 12.59527202, 12.09980187, 4.22120238, -0.17308132
4.40531433, 10.28036955, 1.87212458, 4.33566789, -0.05672535, 12.61856576, 12.15679099, 4.19850186, -0.16751325
4.35985888, 10.30396059, 1.90588490, 4.34170624, -0.12757613, 12.61707757, 12.21362722, 4.16892511, -0.14382013
4.31213820, 10.29646359, 1.96075932, 4.32215848, -0.17428755, 12.59571012, 12.26676050, 4.14383129, -0.10855031
4.27510172, 10.26098639, 2.03603619, 4.27441409, -0.18449281, 12.55703447, 12.31726406, 4.13015706, -0.06904911
4.25497859, 10.20930933, 2.11871878, 4.20347874, -0.16291336, 12.50458493, 12.36586350, 4.12763427, -0.03242450
4.24971179, 10.15569130, 2.18744980, 4.12184594, -0.12293380, 12.44217611, 12.40930725, 4.13179779, -0.00278057
4.24889362, 10.11196959, 2.22662901, 4.04274517, -0.07456411, 12.37097399, 12.43847060, 4.13525327, 0.02181711
4.23799818, 10.08715317, 2.23229728, 3.97732398, -0.02517100, 12.29225349, 12.44244335, 4.12969899, 0.04732347
4.20436566, 10.08378478, 2.21015323, 3.93499114, 0.01819266, 12.20887878, 12.41753695, 4.11051320, 0.07906847
4.14315501, 10.09492179, 2.17146771, 3.92153161, 0.04778704, 12.12739231, 12.37112410, 4.08006468, 0.11921300
4.05905981, 10.10833834, 2.12533598, 3.93528722, 0.05678534, 12.06279420, 12.31479685, 4.04672126, 0.16871281
3.96338529, 10.11644880, 2.07682777, 3.96447842, 0.04468138, 12.03791009, 12.25538641, 4.01958531, 0.22632588
3.86684910, 10.11983256, 2.03063107, 3.99389952, 0.02219737, 12.07144677, 12.19348763, 4.00432063, 0.28397636
3.77948900, 10.12125243, 1.99032546, 4.01326214, 0.00333366, 12.15758407, 12.13204850, 4.00349488, 0.32904972
3.70947707, 10.12535783, 1.95731101, 4.01815856, -0.01043604, 12.26375327, 12.08001045, 4.01656763, 0.34780546
3.66357704, 10.13948352, 1.93063099, 4.00587061, -0.02603220, 12.35207227, 12.04715845, 4.03911407, 0.33182093
3.64947850, 10.17164447, 1.90880556, 3.98036348, -0.04949027, 12.40623776, 12.03755832, 4.06064423, 0.28354265
3.67205539, 10.22241709, 1.89305308, 3.95333088, -0.08419365, 12.42905331, 12.04773279, 4.06998666, 0.21647480
3.72897630, 10.28279226, 1.88733594, 3.93664576, -0.13020070, 12.42556523, 12.07182823, 4.06095791, 0.15023937
3.81236007, 10.34139678, 1.89587363, 3.93685774, -0.18441221, 12.39744831, 12.10741487, 4.03926754, 0.10439492
3.91400594, 10.39151269, 1.92183448, 3.95309313, -0.24004406, 12.34939844, 12.15370340, 4.02161351, 0.09066641
4.02043394, 10.43232704, 1.96550983, 3.97557033, -0.28451752, 12.29663632, 12.20719434, 4.02292418, 0.10783380
4.11442362, 10.46794684, 2.02366699, 3.98430116, -0.30003482, 12.26195972, 12.25995248, 4.04696565, 0.14001088
4.18524966, 10.50133869, 2.08866044, 3.95846051, -0.27221584, 12.26171579, 12.30278039, 4.09034546, 0.16755391
4.23526051, 10.52777979, 2.15181054, 3.90093198, -0.20781498, 12.28708199, 12.33317990, 4.14881559, 0.17875361
4.27064124, 10.53896405, 2.20765841, 3.84003116, -0.13021407, 12.31525574, 12.35809540, 4.21845115, 0.16976150
4.29216757, 10.52951572, 2.25498401, 3.80583168, -0.06380593, 12.33241707, 12.38983319, 4.29214308, 0.13903721
4.29844169, 10.49935208, 2.29380988, 3.81526320, -0.02681568, 12.33646182, 12.43909990, 4.36007795, 0.08899370
4.29152438, 10.45191001, 2.32428547, 3.86773945, -0.01791852, 12.33187290, 12.50618194, 4.41095502, 0.03020843
4.27702650, 10.39558783, 2.34756194, 3.94961630, -0.02128341, 12.32092373, 12.57769317, 4.43333518, -0.01945976
4.26253822, 10.34502732, 2.36225987, 4.04269176, -0.02318640, 12.30172826, 12.63699608, 4.41806733, -0.04439160
4.25245439, 10.31660378, 2.36423653, 4.13020861, -0.01553530, 12.27151577, 12.67352450, 4.36151334, -0.03713092
4.24404158, 10.31659019, 2.34812040, 4.19858128, 0.00711544, 12.22981652, 12.68708184, 4.26970526, -0.00121547
4.22802897, 10.33579106, 2.30696376, 4.24011237, 0.05152524, 12.18307954, 12.68388693, 4.15465450, 0.05124749
