q (1/Å), Static structure factor S(q)
6.18002255e+00, 8.34194881e-01
6.21691821e+00, 8.38937798e-01
6.25381387e+00, 8.46654602e-01
6.29070952e+00, 8.56840931e-01
6.32760518e+00, 8.61705163e-01
6.36450084e+00, 8.72698769e-01
6.40139650e+00, 8.83617994e-01
6.43829215e+00, 8.94425801e-01
6.47518781e+00, 9.12248983e-01
6.51208347e+00, 9.25800348e-01
6.54897912e+00, 9.47375578e-01
6.58587478e+00, 9.62528664e-01
6.62277044e+00, 9.74729835e-01
6.65966609e+00, 9.89044358e-01
6.69656175e+00, 1.00019125e+00
6.73345741e+00, 1.01925385e+00
6.77035307e+00, 1.02966573e+00
6.80724872e+00, 1.04285031e+00
6.84414438e+00, 1.05350217e+00
6.88104004e+00, 1.06300735e+00
6.91793569e+00, 1.07348111e+00
6.95483135e+00, 1.07858100e+00
6.99172701e+00, 1.08606512e+00
7.02862266e+00, 1.09304379e+00
7.06551832e+00, 1.09714113e+00
7.10241398e+00, 1.10048591e+00
7.13930964e+00, 1.10050248e+00
7.17620529e+00, 1.10120580e+00
7.21310095e+00, 1.09877059e+00
7.24999661e+00, 1.09620638e+00
7.28689226e+00, 1.09447267e+00
7.32378792e+00, 1.09289947e+00
7.36068358e+00, 1.08874482e+00
7.39757924e+00, 1.08557093e+00
7.43447489e+00, 1.08229302e+00
7.47137055e+00, 1.07713575e+00
7.50826621e+00, 1.07169828e+00
7.54516186e+00, 1.06533867e+00
7.58205752e+00, 1.05997333e+00
7.61895318e+00, 1.05203009e+00
7.65584883e+00, 1.04361959e+00
7.69274449e+00, 1.03887158e+00
7.72964015e+00, 1.02963218e+00
7.76653581e+00, 1.02231007e+00
7.80343146e+00, 1.01706078e+00
7.84032712e+00, 1.00858526e+00
7.87722278e+00, 1.00410365e+00
7.91411843e+00, 9.96505625e-01
7.95101409e+00, 9.89983863e-01
7.98790975e+00, 9.85737930e-01
8.02480540e+00, 9.74164185e-01
8.06170106e+00, 9.69118385e-01
8.09859672e+00, 9.62717080e-01
8.13549238e+00, 9.58564035e-01
8.17238803e+00, 9.55317031e-01
8.20928369e+00, 9.50342071e-01
8.24617935e+00, 9.46371360e-01
8.28307500e+00, 9.44394981e-01
8.31997066e+00, 9.41094785e-01
8.35686632e+00, 9.39760212e-01
8.39376198e+00, 9.38948873e-01
8.43065763e+00, 9.37748782e-01
8.46755329e+00, 9.37929599e-01
8.50444895e+00, 9.39164061e-01
8.54134460e+00, 9.39691680e-01
8.57824026e+00, 9.41371057e-01
8.61513592e+00, 9.45165089e-01
8.65203157e+00, 9.46510344e-01
8.68892723e+00, 9.48695341e-01
8.72582289e+00, 9.53921888e-01
8.76271855e+00, 9.57704460e-01
8.79961420e+00, 9.61569395e-01
8.83650986e+00, 9.67913028e-01
8.87340552e+00, 9.75295438e-01
8.91030117e+00, 9.80778320e-01
8.94719683e+00, 9.84341507e-01
8.98409249e+00, 9.89717752e-01
9.02098814e+00, 9.95000305e-01
9.05788380e+00, 1.00105539e+00
9.09477946e+00, 1.00487374e+00
9.13167512e+00, 1.00893878e+00
9.16857077e+00, 1.01436096e+00
9.20546643e+00, 1.01825011e+00
9.24236209e+00, 1.02088187e+00
9.27925774e+00, 1.02430760e+00
9.31615340e+00, 1.02623258e+00
9.35304906e+00, 1.03020714e+00
9.38994472e+00, 1.03199065e+00
9.42684037e+00, 1.03323317e+00
9.46373603e+00, 1.03474315e+00
9.50063169e+00, 1.03639121e+00
9.53752734e+00, 1.03578107e+00
9.57442300e+00, 1.03707349e+00
9.61131866e+00, 1.03753784e+00
9.64821431e+00, 1.03740753e+00
9.68510997e+00, 1.03615423e+00
9.72200563e+00, 1.03568074e+00
9.75890129e+00, 1.03386262e+00
9.79579694e+00, 1.03249835e+00
9.83269260e+00, 1.03075294e+00
9.86958826e+00, 1.02904837e+00
9.90648391e+00, 1.02688556e+00
9.94337957e+00, 1.02533227e+00
9.98027523e+00, 1.02275447e+00
1.00171709e+01, 1.02108562e+00
1.00540665e+01, 1.01723749e+00
1.00909622e+01, 1.01394825e+00
1.01278579e+01, 1.01147580e+00
1.01647535e+01, 1.00791090e+00
1.02016492e+01, 1.00411781e+00
1.02385448e+01, 1.00232270e+00
1.02754405e+01, 1.00047890e+00
1.03123361e+01, 9.98402567e-01
1.03492318e+01, 9.97164559e-01
1.03861275e+01, 9.92873630e-01
1.04230231e+01, 9.90301122e-01
1.04599188e+01, 9.88704977e-01
1.04968144e+01, 9.85464021e-01
1.05337101e+01, 9.84075619e-01
1.05706057e+01, 9.81233808e-01
1.06075014e+01, 9.79238611e-01
1.06443971e+01, 9.78255469e-01
1.06812927e+01, 9.77414291e-01
1.07181884e+01, 9.76273854e-01
1.07550840e+01, 9.76572339e-01
1.07919797e+01, 9.76689297e-01
1.08288753e+01, 9.76560307e-01
1.08657710e+01, 9.77004697e-01
1.09026667e+01, 9.77616349e-01
1.09395623e+01, 9.78305872e-01
1.09764580e+01, 9.78608095e-01
1.10133536e+01, 9.80511510e-01
1.10502493e+01, 9.81466081e-01
