Distance (nm),Atom Count,C atom%,Co atom%,W atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,Ta atom%,WC atom%,CrH atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,Ta atom% Sigma,WC atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-10.05000039935112,6794,0.2502207830438622,94.90727112157786,3.1351192228436853,0.19134530468060054,0.32381513099793935,0,0,0.029437739181630854,0.014718869590815427,0.05887547836326171,0,0.029437739181630854,0.029437739181630854,0.014718869590815427,0,0.014718869590815427,0,0,0,0,0,0.971445392993818,0.029437739181630854,0.06061148014593588,0.26672409485264553,0.21142066441623583,0.05301884158404309,0.06892575013451746,0,0,0.02081256094792074,0.014717786325342694,0.029429072100865452,0,0.02081256094792074,0.02081256094792074,0.014717786325342694,0,0.014717786325342694,0,0,0,0,0,0.11899443338368612,0.02081256094792074
-9.750000387430191,20732,0.2749372950028941,94.79066177889254,3.1352498552961605,0.2267026818444916,0.2459965271078526,0,0,0.03858769052672197,0.01447038394752074,0.05305807447424271,0,0.019293845263360986,0.019293845263360986,0.01447038394752074,0.019293845263360986,0,0,0,0.01447038394752074,0,0,1.0804553347482153,0.05305807447424271,0.03636623884073884,0.15433110127140218,0.12103148431132148,0.03303048048779732,0.03440400919808611,0,0,0.013640176344485562,0.008353875582838455,0.01599336680006001,0,0.009645991955624912,0.009645991955624912,0.008353875582838455,0.009645991955624912,0,0,0,0.008353875582838455,0,0,0.07179990395542787,0.01599336680006001
-9.450000375509262,21188,0.250141589579007,94.77062488200868,3.2518406645270908,0.18406645270908062,0.250141589579007,0,0,0.03303756843496319,0.018878610534264678,0.056635831602794035,0,0.014158957900698509,0.009439305267132339,0.009439305267132339,0,0.0047196526335661695,0,0,0.009439305267132339,0,0,1.10911836888805,0.028317915801397017,0.034316589092022017,0.15293848650009162,0.12185434014688004,0.02944708267899434,0.034316589092022017,0,0,0.012484964267563159,0.009438414220236774,0.016344725858154857,0,0.008174099410306798,0.006674281738862993,0.006674281738862993,0,0.004719541256647096,0,0,0.006674281738862993,0,0,0.07194855751098858,0.011559103719110026
-9.150000363588333,22026,0.33142649595932083,94.87423953509489,3.0236992645055842,0.1316625805865795,0.2724053391446472,0,0,0.01816035594297648,0.03632071188595296,0.040860800871697085,0,0.01816035594297648,0.022700444928720604,0.013620266957232362,0.00454008898574412,0.00908017797148824,0,0,0.00454008898574412,0,0,1.1486425133932625,0.049940978843185324,0.038726202889447364,0.14858859972111269,0.11538099675613504,0.02443302694991585,0.03511944649213107,0,0,0.009079353437732036,0.012838978596493784,0.013617483997838648,0,0.009079353437732036,0.010150795261985363,0.00786312924988761,0.004539985922534324,0.00642036390793304,0,0,0.004539985922534324,0,0,0.0717985947957489,0.015054011211691466
-8.850000351667404,22908,0.38414527675921073,94.30766544438625,3.400558756766195,0.12222804260520342,0.30557010651300853,0,0,0.06984459577440195,0.026191723415400735,0.05238344683080147,0,0.01746114894360049,0.004365287235900122,0.013095861707700367,0.004365287235900122,0,0,0,0,0,0,1.2615680111751353,0.030557010651300856,0.04087129462150782,0.15308234922071973,0.11974816347921156,0.023084807854536378,0.03646676955879952,0,0,0.01745505004402792,0.010691325912286529,0.015117837385948001,0,0.008729812209217765,0.0043651919561970435,0.0075604041835441015,0.0043651919561970435,0,0,0,0,0,0,0.07374029318815455,0.011547699707196876
-8.550000339746475,23854,0.4024482267125011,94.382493502138,3.2489309968977946,0.16768676113020878,0.31441267711914145,0,0,0.050306028339062635,0.025153014169531317,0.050306028339062635,0,0.012576507084765659,0.012576507084765659,0.008384338056510439,0.008384338056510439,0,0,0,0,0,0,1.2869958916743525,0.029345183197786538,0.04099196461189401,0.14908601543691008,0.11479355945490728,0.026491365701745716,0.036248129669244435,0,0,0.014518446296460586,0.010267383512861952,0.014518446296460586,0,0.007260593143279744,0.007260593143279744,0.0059283737524415125,0.0059283737524415125,0,0,0,0,0,0,0.0729785377468702,0.011089809182092292
-8.250000327825546,25124,0.4059863079127528,94.51918484317784,3.243910205381309,0.1472695430663907,0.2547365069256488,0,0,0.023881547524279574,0.01990128960356631,0.03980257920713262,0,0.003980257920713263,0.003980257920713263,0,0.01592103168285305,0.003980257920713263,0,0,0.003980257920713263,0,0,1.277662792548957,0.03582232128641936,0.04011695105988606,0.14359462015642077,0.11177100966724807,0.024193129484674423,0.03180148082461384,0,0,0.009748436703112215,0.008899241614577575,0.012584175543296848,0,0.003980178707659457,0.003980178707659457,0,0.00795988211807708,0.003980178707659457,0,0,0.003980178707659457,0,0,0.07085515391044137,0.011938634839399106
-7.950000315904617,25907,0.3358165746709384,94.76203342725904,2.9914694870112326,0.1582583857644652,0.27019724398811135,0,0,0.030879685027212726,0.01929980314200795,0.06947929131122862,0,0.007719921256803181,0.01929980314200795,0.01929980314200795,0.0038599606284015907,0,0,0,0,0,0,1.281506928629328,0.030879685027212726,0.0359428125221518,0.13841717597332018,0.10583728465029991,0.02469624229235827,0.032251088347296834,0,0,0.010915931548747645,0.008630301419418288,0.016370735911835053,0,0.00545859795897945,0.008630301419418288,0.008630301419418288,0.0038598861312024286,0,0,0,0,0,0,0.06987972309478224,0.010915931548747645
-7.650000303983688,27126,0.47555850475558503,94.71724544717244,2.9197080291970803,0.158519501585195,0.26542800265428,0,0,0.033178500331785,0.014746000147460001,0.04423800044238001,0,0.011059500110595002,0.011059500110595002,0,0.007373000073730001,0,0,0,0.011059500110595002,0,0,1.3050210130502102,0.025805500258055003,0.04177091342419295,0.13581629142247148,0.1022215284264823,0.02415482951230637,0.03123944826109149,0,0,0.011057665270248804,0.00737245644238742,0.012767585732266003,0,0.006384852270294541,0.006384852270294541,0,0.005213306150662034,0,0,0,0.006384852270294541,0,0,0.06890700961167717,0.009752303746802644
-7.350000292062759,28148,0.43342333380702003,94.69589313627966,2.8918573255648714,0.1456586613613756,0.2664487707830041,0,0,0.03552650277106721,0.039079153048173935,0.07105300554213442,0,0.0071053005542134435,0.017763251385533606,0.0035526502771067218,0,0.0071053005542134435,0,0,0,0,0,1.3500071053005542,0.03552650277106721,0.03915517421544557,0.13358199762917952,0.09988320836618965,0.022731487798514933,0.030725837615264578,0,0,0.011232470821866802,0.011780505444758244,0.015882289609115773,0,0.005024027708606503,0.007943261935098731,0.0035525871699262656,0,0.005024027708606503,0,0,0,0,0,0.06878484850523768,0.011232470821866802
