Volume (Å^3), Energy (eV),quadratic fit to left part of parabola (eV)
67.015,-13.43144602,-13.430368659865358
67.02,-13.43139304,-13.430295704707369
67.025,-13.43133987,-13.430222513816709
67.03,-13.43128653,-13.430149087193382
67.035,-13.43123301,-13.43007542483739
67.04,-13.43117932,-13.430001526748729
67.045,-13.43112545,-13.4299273929274
67.05,-13.43107141,-13.429853023373404
67.055,-13.43101719,-13.429778418086741
67.06,-13.43096279,-13.429703577067418
67.065,-13.43090822,-13.42962850031542
67.07,-13.43085347,-13.429553187830756
67.075,-13.43079854,-13.429477639613431
67.08,-13.43074344,-13.429401855663436
67.085,-13.43068816,-13.42932583598077
67.09,-13.43063271,-13.42924958056544
67.095,-13.43057709,-13.429173089417446
67.1,-13.43052128,-13.429096362536782
67.105,-13.4304653,-13.429019399923451
67.11,-13.43040915,-13.428942201577453
67.115,-13.43035282,-13.428864767498794
67.12,-13.43029631,-13.428787097687461
67.125,-13.43023963,-13.428709192143462
67.13,-13.43018278,-13.428631050866802
67.135,-13.43012575,-13.428552673857467
67.14,-13.43006854,-13.42847406111547
67.145,-13.43001116,-13.428395212640805
67.15,-13.42995361,-13.428316128433469
67.155,-13.42989587,-13.428236808493473
67.16,-13.42983797,-13.428157252820807
67.165,-13.42977989,-13.428077461415473
67.17,-13.42972163,-13.427997434277472
67.175,-13.4296632,-13.427917171406808
67.18,-13.4296046,-13.427836672803476
67.185,-13.42954582,-13.427755938467474
67.19,-13.42948686,-13.427674968398808
67.195,-13.42942773,-13.427593762597475
67.2,-13.42936843,-13.427512321063475
67.205,-13.42930895,-13.427430643796804
67.21,-13.4292493,-13.427348730797473
67.215,-13.42918947,-13.42726658206547
67.22,-13.42912947,-13.427184197600802
67.225,-13.42906929,-13.427101577403466
67.23,-13.42900894,-13.427018721473466
67.235,-13.42894842,-13.426935629810796
67.24,-13.42888772,-13.426852302415458
67.245,-13.42882685,-13.426768739287454
67.25,-13.4287658,-13.426684940426789
67.255,-13.42870458,-13.42660090583345
67.26,-13.42864319,-13.426516635507447
67.265,-13.42858162,-13.426432129448774
67.27,-13.42851988,-13.42634738765744
67.275,-13.42845796,-13.426262410133436
67.28,-13.42839587,-13.426177196876765
67.285,-13.42833361,-13.426091747887423
67.29,-13.42827117,-13.426006063165424
67.295,-13.42820856,-13.425920142710751
67.3,-13.42814578,-13.425833986523411
67.305,-13.42808282,-13.425747594603404
67.31,-13.42801969,-13.425660966950733
67.315,-13.42795638,-13.425574103565395
67.32,-13.4278929,-13.425487004447387
67.325,-13.42782925,-13.425399669596715
67.33,-13.42776543,-13.425312099013375
67.335,-13.42770143,-13.425224292697369
67.34,-13.42763726,-13.425136250648695
67.345,-13.42757292,-13.425047972867358
67.35,-13.4275084,-13.42495945935335
67.355,-13.42744371,-13.424870710106674
67.36,-13.42737885,-13.424781725127332
67.365,-13.42731381,-13.424692504415326
67.37,-13.42724861,-13.424603047970649
67.375,-13.42718322,-13.424513355793309
67.38,-13.42711767,-13.424423427883298
67.385,-13.42705194,-13.424333264240627
67.39,-13.42698605,-13.424242864865281
67.395,-13.42691997,-13.424152229757272
67.4,-13.42685373,-13.424061358916596
67.405,-13.42678731,-13.423970252343256
67.41,-13.42672072,-13.423878910037246
67.415,-13.42665396,-13.423787331998568
67.42,-13.42658703,-13.423695518227223
67.425,-13.42651992,-13.423603468723215
67.43,-13.42645264,-13.423511183486536
67.435,-13.42638519,-13.42341866251719
67.44,-13.42631757,-13.42332590581518
67.445,-13.42624978,-13.423232913380502
67.45,-13.42618181,-13.423139685213158
67.455,-13.42611367,-13.423046221313143
67.46,-13.42604536,-13.422952521680468
67.465,-13.42597688,-13.422858586315122
67.47,-13.42590822,-13.42276441521711
67.475,-13.4258394,-13.42267000838643
67.48,-13.4257704,-13.422575365823082
67.485,-13.42570123,-13.422480487527071
67.49,-13.42563189,-13.42238537349839
