Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Ta atom%,Noise atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Ta atom% Sigma,Noise atom% Sigma,H atom% Sigma,O atom% Sigma
19.5,10744,47.10536113179449,0.20476545048399106,51.62881608339538,0,0.1768428890543559,0.09307520476545049,0,0,0.07446016381236038,0.08376768428890544,0.1303052866716307,0,0.05584512285927029,0.06515264333581534,0.07446016381236038,0.009307520476545048,0,0.06515264333581534,0,0.027922561429635145,0,0.09307520476545049,0.11169024571854058,0.4815684176722508,0.04361142147732855,0.48212143646774236,0,0.04053465223986123,0.02941926349004378,0,0,0.026315840496247262,0.027910863937890554,0.034802855579134186,0,0.022792309074727755,0.024617361152042407,0.026315840496247262,0.009307087316778598,0,0.024617361152042407,0,0.016118847488931626,0,0.02941926349004378,0.03222418599089827
20,10921,48.19155754967494,0.2563867777676037,50.489881878948815,0,0.17397674205658822,0.10072337698013004,0,0,0.06409669444190093,0.1373500595183591,0.1373500595183591,0,0.054940023807343655,0.0366266825382291,0.0366266825382291,0.027470011903671827,0,0.01831334126911455,0,0.009156670634557275,0,0.16482007142203095,0.10072337698013004,0.4781394150647142,0.04839039384767888,0.4784295050434256,0,0.03987826717090396,0.030353942508015985,0,0,0.024218507971634027,0.03543926984538345,0.03543926984538345,0,0.022423008655017135,0.01830998717727889,0.01830998717727889,0.015857640270556923,0,0.012948302001335654,0,0.009156251401874567,0,0.03881643515748548,0.030353942508015985
20.5,11129,48.01868990924611,0.18869619911941773,50.65145116362656,0,0.18869619911941773,0.08086979962260761,0,0,0.0628987330398059,0.17072513253661606,0.09884086620540929,0,0.05391319974840506,0.03594213316560338,0.03594213316560338,0,0,0.05391319974840506,0,0.044927666457004224,0,0.17072513253661606,0.14376853266241352,0.4735880035619834,0.041138018513304404,0.4739200340821358,0,0.041138018513304404,0.026945697795482764,0,0,0.023766008699395394,0.03913358330550917,0.02978691072689869,0,0.022004037690836174,0.017967836700212195,0.017967836700212195,0,0,0.022004037690836174,0,0.020087749254084953,0,0.03913358330550917,0.03591628713391708
21,11287,48.00212634003721,0.22149375387614068,50.74864888810136,0,0.14175600248073006,0.12403650217063877,0,0,0.07087800124036503,0.0974572517055019,0.08859750155045629,0,0.05315850093027376,0.017719500310091257,0.04429875077522814,0.02657925046513688,0,0.04429875077522814,0,0.035439000620182515,0,0.13289625232568442,0.15061575263577567,0.47025537426277225,0.04424966409617223,0.4705784707968389,0,0.035413873256838875,0.03312958409040881,0,0,0.025050275367791593,0.02937014486325493,0.02800457606318721,0,0.021696098168011133,0.012528468689943046,0.019806615110722153,0.015343497910963476,0,0.019806615110722153,0,0.017716360224950514,0,0.03429085643438572,0.03650216560899987
21.5,11356,48.04508629799225,0.255371609721733,50.440295878830575,0,0.1585065163790067,0.14970059880239522,0,0,0.07925325818950335,0.18492426910884113,0.1585065163790067,0,0.07925325818950335,0.05283550545966889,0.008805917576611482,0.017611835153222965,0,0.03522367030644593,0,0.026417752729834446,0,0.18492426910884113,0.12328284607256076,0.4688404896729317,0.04736072843076002,0.46918106123636877,0,0.03733072316543136,0.036280541677070156,0,0,0.026407282189972826,0.040316454622745454,0.03733072316543136,0,0.026407282189972826,0.02156430571629571,0.00880552984715368,0.012452351377322566,0,0.01760873311266113,0,0.01525028185987323,0,0.040316454622745454,0.03292841022036666
22,11223,48.445157266328074,0.3385903947251181,49.95099349550031,0,0.2049362915441504,0.0623719148177849,0,0,0.07128218836318276,0.18711574445335472,0.11583355609017197,0,0.07128218836318276,0.02673082063619353,0.04455136772698921,0.02673082063619353,0,0.07128218836318276,0,0.04455136772698921,0,0.2049362915441504,0.13365410318096765,0.4717429698160227,0.054833548046492375,0.471970999789687,0,0.04268836143053203,0.02356701487560654,0,0,0.025193075493726732,0.040793783544349496,0.032107836151379965,0,0.025193075493726732,0.015430983662116055,0.019919538648991,0.015430983662116055,0,0.025193075493726732,0,0.019919538648991,0,0.04268836143053203,0.03448627176549121
22.5,11652,47.66563680054926,0.29179539993134224,50.78956402334364,0,0.17164435290078955,0.1201510470305527,0,0,0.06865774116031582,0.11156882938551321,0.13731548232063165,0,0.04291108822519739,0.025746652935118432,0.06007552351527635,0.017164435290078956,0,0.04291108822519739,0,0.025746652935118432,0,0.2488843117061449,0.18022657054582905,0.462696201084688,0.04996943404695492,0.46314353996074165,0,0.03834789068151744,0.03209242096558412,0,0,0.024265842696024952,0.030926359238494978,0.03430529305637365,0,0.019186304200736574,0.014862923280638471,0.022699592063117793,0.012136046912792678,0,0.019186304200736574,0,0.014862923280638471,0,0.046159107595799526,0.039293205656969615
23,11458,46.893000523651594,0.2705533251876418,51.60586489788794,0,0.13091289928434283,0.08727526618956188,0,0,0.017455053237912375,0.15709547914121139,0.13091289928434283,0,0.06109268633269332,0.026182579856868567,0.05236515971373713,0.026182579856868567,0,0.0698202129516495,0,0.04363763309478094,0,0.18327805899807995,0.24437074533077327,0.46620345175338795,0.04852703242864159,0.46686518379160785,0,0.033779432698300756,0.027586816336418917,0,0,0.0123415092609662,0.03699866363179735,0.033779432698300756,0,0.023083810501983815,0.01511454045149155,0.021372388891548008,0.01511454045149155,0,0.024676553896079173,0,0.019511084313955988,0,0.03995788393384656,0.046125268154868324
23.5,11512,48.288742182070884,0.3040305767894371,50.07817929117443,0,0.19979152189020152,0.052119527449617786,0,0,0.09555246699096595,0.1911049339819319,0.12161223071577484,0,0.0781792911744267,0.017373175816539264,0.10423905489923557,0.008686587908269632,0,0.026059763724808893,0,0.008686587908269632,0,0.23453787352328004,0.1911049339819319,0.4657363195823258,0.051312366151098424,0.4660087625596236,0,0.041617775326669645,0.021272162337979995,0,0,0.02879638510466711,0.0407047585872593,0.03248246645351782,0,0.026049575063782898,0.012283623263835329,0.03007553571054627,0.008686210616028558,0,0.0150436510483821,0,0.008686210616028558,0,0.045083872245801446,0.0407047585872593
24,11790,48.252756573367265,0.33078880407124683,49.94062765055132,0,0.24597116200169633,0.10178117048346055,0,0,0.05089058524173028,0.22052586938083124,0.13570822731128074,0,0.09329940627650551,0.033927056827820185,0.06785411365564037,0.04240882103477523,0,0.05937234944868532,0,0.05089058524173028,0,0.18659881255301103,0.18659881255301103,0.46020122644525935,0.05288092082657166,0.4604821453490374,0,0.045619489001180756,0.02936673676631508,0,0,0.02077070724030989,0.04320096761613165,0.03390402810850102,0,0.028117703423977604,0.01696065055683384,0.023981911448945056,0.018961779323035628,0,0.022433976014351726,0,0.02077070724030989,0,0.039745865872850276,0.039745865872850276
24.5,11538,46.975212341827,0.3293465071936211,51.5600624024961,0,0.19934130698561278,0.06933610677760445,0,0,0.060669093430403886,0.1386722135552089,0.11267117351360721,0,0.060669093430403886,0.017334026694401112,0.026001040041601666,0.017334026694401112,0,0.034668053388802224,0,0.034668053388802224,0,0.17334026694401108,0.1906742936384122,0.4646314228809277,0.05333900580660409,0.46525734423923815,0,0.04152408651559098,0.024505515636080152,0,0,0.022923804928334467,0.03464400757117794,0.031231751555971448,0,0.022923804928334467,0.012255945458336309,0.015009755740318646,0.012255945458336309,0,0.017331021749125104,0,0.017331021749125104,0,0.03872645404464471,0.04061312114430358
25,11658,47.10070337965346,0.32595642477268827,51.243781094527364,0,0.18013381369016984,0.11151140847486705,0,0,0.0857780065191285,0.1544004117344313,0.14582261108251846,0,0.1029336078229542,0.06862240521530279,0.06862240521530279,0.02573340195573855,0,0.03431120260765139,0,0.017155601303825697,0,0.13724481043060557,0.19728941499399552,0.46230290196004975,0.052790865936918695,0.462938784785283,0,0.03927300094693739,0.030910451314268502,0,0,0.027113751070763588,0.036364420093651796,0.03534138204446611,0,0.029699076117042172,0.024253358130366685,0.024253358130366685,0.014855274793546187,0,0.017152657904764175,0,0.012129801413189902,0,0.034287649350983385,0.041097086581499846
25.5,11743,47.90939282977092,0.3150813250447075,50.5662948139317,0,0.2469556331431491,0.02554713446308439,0,0,0.07664140338925317,0.16179851826620115,0.14476709529081155,0,0.059609980413863575,0.02554713446308439,0.05109426892616878,0.017031422975389593,0,0.017031422975389593,0,0.017031422975389593,0,0.18734565272928552,0.17882994124159074,0.4609995620834653,0.051717381806782814,0.46137346929883666,0,0.04580184972167332,0.01474776078312411,0,0,0.025537342745408195,0.037089084552939994,0.03508575402013703,0,0.02252373863232898,0.01474776078312411,0.020853818346170346,0.012042009085396547,0,0.012042009085396547,0,0.012042009085396547,0,0.039904794814419955,0.0389889836729251
26,11726,47.33071806242538,0.1961453180965376,51.20245608050487,0,0.16203308886235715,0.06822445846836091,0,0,0.07675251577690602,0.13644891693672181,0.1279208596281767,0,0.059696401159815796,0.051168343851270684,0.09380863039399624,0.017056114617090227,0,0.025584171925635342,0,0,0,0.20467337540508274,0.2473136619478083,0.4610789552740034,0.04085899552426365,0.46160386207186016,0,0.03714281155176737,0.02411275900205847,0,0,0.025574351793177155,0.03408894840619363,0.03300789166552096,0,0.022556383114567972,0.02088404384214489,0.02827109658201799,0.012059465736712969,0,0.014769138904719602,0,0,0,0.04173600088947596,0.04586816954341818
26.5,11967,47.72290465446645,0.2005515166708448,50.71446477813989,0,0.25904570903317453,0.08356313194618534,0,0,0.1002757583354224,0.1504136375031336,0.1420573243085151,0,0.1002757583354224,0.016712626389237067,0.06685050555694827,0.016712626389237067,0,0.0501378791677112,0,0,0,0.2005515166708448,0.17548257708698922,0.4565901240585062,0.04089633601776456,0.45701769575792334,0,0.04646568195159686,0.026413939457732686,0,0,0.028932600922813894,0.03542616137120029,0.03442948105661548,0,0.028932600922813894,0.011816623893378345,0.023627321448772408,0.011816623893378345,0,0.020463571527457525,0,0,0,0.04089633601776456,0.038259823836279044
27,11042,47.06574895852201,0.26263358087303024,51.53051983336352,0,0.1630139467487774,0.18112660749864154,0,0,0.07245064299945662,0.09961963412425286,0.07245064299945662,0,0.06339431262452455,0.054337982249592465,0.054337982249592465,0,0,0.045281651874660385,0,0.018112660749864156,0,0.1539576163738453,0.1630139467487774,0.4750037102997719,0.048705746534386585,0.4756007944199973,0,0.03839142572612839,0.04046444489503026,0,0,0.025605889623945385,0.03002148500252995,0.025605889623945385,0,0.02395320186726264,0.022177360538876523,0.022177360538876523,0,0,0.020245984929514394,0,0.012806425291801015,0,0.037311451598293036,0.03839142572612839

