Time [s],Wavelength [nm],Voltage [V]
3726654597.5017247200,695.8125000000,0.0008619000
3726654598.3814840300,696.0000000000,0.0008476000
3726654599.2650194200,696.1875000000,0.0009538000
3726654600.1381406800,696.4062500000,0.0010293000
3726654601.0192375200,696.5937500000,0.0010518000
3726654601.9023938200,696.8125000000,0.0008802000
3726654602.7814450300,697.0000000000,0.0008762000
3726654603.6617031100,697.1875000000,0.0008721000
3726654604.5469136200,697.4062500000,0.0008659000
3726654605.4311718900,697.5937500000,0.0008802000
3726654606.3150239000,697.8125000000,0.0008966000
3726654607.1969766600,698.0000000000,0.0008905000
3726654608.0807647700,698.1875000000,0.0009048000
3726654608.9606056200,698.4062500000,0.0008945000
3726654609.8411593400,698.5937500000,0.0009007000
3726654610.7195096000,698.8125000000,0.0009150000
3726654611.6031575200,699.0000000000,0.0009211000
3726654612.4848222700,699.1875000000,0.0009395000
3726654613.3699359900,699.4062500000,0.0009272000
3726654614.2468485800,699.5937500000,0.0009190000
3726654615.1273794200,699.8125000000,0.0009150000
3726654616.0088696500,700.0000000000,0.0009129000
3726654616.8945488900,700.1875000000,0.0009231000
3726654617.7724070500,700.4062500000,0.0009231000
3726654618.6471982000,700.5937500000,0.0009252000
3726654619.5267062200,700.8125000000,0.0009252000
3726654620.4111552200,701.0000000000,0.0009293000
3726654621.2850689900,701.1875000000,0.0009313000
3726654622.1641688300,701.4062500000,0.0009374000
3726654623.0468807200,701.5937500000,0.0009354000
3726654623.9362463900,701.8125000000,0.0009456000
3726654624.8155889500,702.0000000000,0.0009497000
3726654625.6942577400,702.1875000000,0.0009517000
3726654626.5725712800,702.4062500000,0.0009558000
3726654627.4517688700,702.5937500000,0.0009762000
3726654628.3326945300,702.8125000000,0.0011988000
3726654629.2171158800,703.0000000000,0.0012009000
3726654630.1021528200,703.1875000000,0.0010355000
3726654630.9848961800,703.4062500000,0.0010171000
3726654631.8658175500,703.5937500000,0.0010069000
3726654632.7447710000,703.8125000000,0.0010130000
3726654633.6243047700,704.0000000000,0.0010212000
3726654634.5051999100,704.1875000000,0.0010457000
3726654635.3943648300,704.4062500000,0.0010600000
3726654636.2771358500,704.5937500000,0.0010804000
3726654637.1528048500,704.8125000000,0.0011641000
3726654638.0387935600,705.0000000000,0.0011723000
3726654638.9247918100,705.1875000000,0.0013459000
3726654639.8061518700,705.4062500000,0.0014010000
3726654640.6881375300,705.5937500000,0.0016951000
3726654641.5739774700,705.8125000000,0.0122213000
3726654642.4568882000,706.0000000000,0.0235654000
3726654643.3370208700,706.1875000000,0.4050741000
3726654644.2181983000,706.4062500000,0.4757469000
3726654645.1023902900,706.5937500000,0.3233637000
3726654645.9838886200,706.8125000000,0.0267524000
3726654646.8706774700,707.0000000000,0.0131332000
3726654647.7490592000,707.1875000000,0.0013234000
3726654648.6300959600,707.4062500000,0.0012805000
3726654649.5148472800,707.5937500000,0.0011478000
3726654650.3957090400,707.8125000000,0.0010641000
3726654651.2795085900,708.0000000000,0.0010538000
3726654652.1620321300,708.1875000000,0.0010171000
3726654653.0457825600,708.4062500000,0.0010048000
3726654653.9288744900,708.5937500000,0.0009987000
3726654654.8109526600,708.8125000000,0.0009742000
3726654655.6909208300,709.0000000000,0.0009762000
3726654656.5699887300,709.1875000000,0.0009517000
3726654657.4573512100,709.4062500000,0.0009579000
3726654658.3386349700,709.5937500000,0.0009456000
3726654659.2226977300,709.8125000000,0.0009395000
3726654660.1022238700,710.0000000000,0.0009456000
3726654660.9898495700,710.1875000000,0.0009272000
3726654661.8747367800,710.4062500000,0.0009395000
3726654662.7518463100,710.5937500000,0.0009517000
3726654663.6333079300,710.8125000000,0.0009354000
3726654664.5158958400,711.0000000000,0.0009313000
3726654665.3968353300,711.1875000000,0.0009190000
3726654666.2807922400,711.4062500000,0.0009231000
3726654667.1587376600,711.5937500000,0.0009150000
3726654668.0489230100,711.8125000000,0.0009170000
3726654668.9233222000,712.0000000000,0.0009150000
3726654669.8066782900,712.1875000000,0.0009150000
3726654670.6890802400,712.4062500000,0.0009150000
3726654671.5734257700,712.5937500000,0.0009150000
3726654672.4598960900,712.8125000000,0.0009109000
3726654673.3391199100,713.0000000000,0.0009150000
3726654674.2135343500,713.1875000000,0.0009150000
3726654675.0952792200,713.4062500000,0.0009129000
3726654675.9747920000,713.5937500000,0.0009170000
3726654676.8585720000,713.8125000000,0.0009681000
3726654677.7352113700,714.0000000000,0.0009844000
3726654678.6145567900,714.1875000000,0.0010661000
3726654679.4929113400,714.4062500000,0.0010375000
3726654680.3777914000,714.5937500000,0.0009579000
3726654681.2589073200,714.8125000000,0.0008802000
3726654682.1326680200,715.0000000000,0.0008741000
3726654683.0118222200,715.1875000000,0.0008700000
3726654683.8973040600,715.4062500000,0.0008721000
3726654684.7851462400,715.5937500000,0.0008659000
3726654685.6667304000,715.8125000000,0.0008659000
3726654686.5426607100,716.0000000000,0.0008639000
3726654687.4260368300,716.1875000000,0.0008598000
3726654688.3095631600,716.4062500000,0.0008619000
3726654689.1962447200,716.5937500000,0.0008557000
3726654690.0765423800,716.8125000000,0.0008578000
3726654690.9534878700,717.0000000000,0.0008659000
3726654691.8354826000,717.1875000000,0.0008802000
3726654692.7235159900,717.4062500000,0.0008721000
3726654693.6071186100,717.5937500000,0.0008598000
3726654694.4826264400,717.8125000000,0.0008476000
3726654695.3613390900,718.0000000000,0.0008414000
3726654696.2498498000,718.1875000000,0.0008414000
3726654697.1325879100,718.4062500000,0.0008394000
3726654698.0146975500,718.5937500000,0.0008353000
3726654698.9020185500,718.8125000000,0.0008271000
3726654699.7859430300,719.0000000000,0.0008292000
3726654700.6687817600,719.1875000000,0.0008353000
3726654701.5493774400,719.4062500000,0.0008353000
3726654702.4280509900,719.5937500000,0.0008312000
3726654703.3128681200,719.8125000000,0.0008271000
3726654704.1880073500,720.0000000000,0.0008251000
